category_name,subcategory_or_tool,tool_title,tool_url,sku_count,sku_list,variant_count,variants_json
The Tool Sets,The Sabre Set,The Sabre Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-sabre-set/,1,SBSET,1,"[{""label"": ""The Sabre Set"", ""sku"": ""SBSET""}]"
Automatic Tapers,Columbia One Predator Taper,Columbia One Predator Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/columbia-one-predator-taper/,1,PTAPER,1,"[{""label"": ""Columbia One Predator Taper"", ""sku"": ""PTAPER""}]"
Automatic Tapers,Automatic Taper,Automatic Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/automatic-taper/,1,TAPER,1,"[{""label"": ""Automatic Taper"", ""sku"": ""TAPER""}]"
Automatic Tapers,Sawed Off Taper,Sawed Off Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/sawed-off-taper/,2,STAPER | SPTAPER,2,"[{""label"": ""39\"""", ""sku"": ""STAPER""}, {""label"": ""53\"""", ""sku"": ""SPTAPER""}]"
Automatic Tapers,The Predator Family is Expanding,The Predator Family is Expanding,https://www.columbiatools.com/columbia-tools/the-predator-family/,1,PCMT42,1,"[{""label"": ""The Predator Family is Expanding"", ""sku"": ""PCMT42""}]"
Pumps,Tall Boy Mud Pump,Tall Boy Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/tall-boy-mud-pump/,1,TBMP,1,"[{""label"": ""Tall Boy Mud Pump"", ""sku"": ""TBMP""}]"
Pumps,Mud Pump,Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/mud-pump/,1,HMP,1,"[{""label"": ""Mud Pump"", ""sku"": ""HMP""}]"
Pumps,Gooseneck,Gooseneck,https://www.columbiatools.com/columbia-tools/pumps/gooseneck/,2,GN | TBGN,2,"[{""label"": ""GN"", ""sku"": ""GN""}, {""label"": ""TBGN"", ""sku"": ""TBGN""}]"
Pumps,Box Filler,Box Filler,https://www.columbiatools.com/columbia-tools/pumps/box-filler/,2,BF | TBBF,2,"[{""label"": ""BF"", ""sku"": ""BF""}, {""label"": ""TBBF"", ""sku"": ""TBBF""}]"
Pumps,Columbia X Graco PowerFill 3.5,Columbia X Graco PowerFill 3.5,https://www.columbiatools.com/columbia-tools/pumps/columbiapowerfill/,1,CPFP,2,"[{""label"": ""Columbia PowerFill Pump (comes with box filler)"", ""sku"": ""CPFP""}, {""label"": ""Columbia PowerFill Gooseneck (sold seperately)"", ""sku"": ""CPFGN""}]"
