brand,optionGroup,type,sku,parentSku,name,price,inStock,mpn,sizeLabel,categories
Columbia,hand_tool,variation,12-4.7-0.4-S-C-C,COL-COLUMBIA-SILVER-0-4-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Silver 0.4 Curved Blade Stainless Steel Finishing Trowel - [12-4.7-0.4-S-C-C],59.0,True,12-4.7-0.4-S-C-C,"Size: 4.7"" x 12"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,14-4.7-0.4-S-C-C,COL-COLUMBIA-SILVER-0-4-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Silver 0.4 Curved Blade Stainless Steel Finishing Trowel - [14-4.7-0.4-S-C-C],65.0,True,14-4.7-0.4-S-C-C,"Size: 4.7"" x 14"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,12-4.7-0.7-G-C-C,COL-COLUMBIA-PRO-FLEX-0-7-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel - [12-4.7-0.7-G-C-C],63.0,True,12-4.7-0.7-G-C-C,"Size: 4.7"" x 12"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,14-4.7-0.7-G-C-C,COL-COLUMBIA-PRO-FLEX-0-7-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel - [14-4.7-0.7-G-C-C],68.0,True,14-4.7-0.7-G-C-C,"Size: 4.7"" x 14"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,16-4.7-0.7-G-C-C,COL-COLUMBIA-PRO-FLEX-0-7-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel - [16-4.7-0.7-G-C-C],74.0,True,16-4.7-0.7-G-C-C,"Size: 4.7"" x 16"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,12-4.7-0.7-G-C,COL-DEWALT-PRO-FLEX-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL-COPY,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel - [12-4.7-0.7-G-C],63.0,True,12-4.7-0.7-G-C,"Size: 4.7"" x 12"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,14-4.7-0.7-G-C,COL-DEWALT-PRO-FLEX-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL-COPY,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel - [14-4.7-0.7-G-C],68.0,True,14-4.7-0.7-G-C,"Size: 4.7"" x 14"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,16-4.7-0.7-G-C,COL-DEWALT-PRO-FLEX-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL-COPY,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel - [16-4.7-0.7-G-C],74.0,True,16-4.7-0.7-G-C,"Size: 4.7"" x 16"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,18-4.7-0.7-G-C,COL-DEWALT-PRO-FLEX-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL-COPY,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel - [18-4.7-0.7-G-C],78.0,True,18-4.7-0.7-G-C,"Size: 4.7"" x 18"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,OPPK1.5,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,Columbia One Piece Stainless Steel Putty Knives - [OPPK1.5],16.0,True,OPPK1.5,"Size: 1.5""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,NPK1.5,COL-COLUMBIA-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia Stainless Steel Putty Knives with Nylon Handle - [NPK1.5],11.0,True,NPK1.5,"Size: 1.5""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,OPPK2,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,Columbia One Piece Stainless Steel Putty Knives - [OPPK2],16.0,True,OPPK2,"Size: 2""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,NPK2,COL-COLUMBIA-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia Stainless Steel Putty Knives with Nylon Handle - [NPK2],12.0,True,NPK2,"Size: 2""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,3NPK4,COL-COLUMBIA-3WAY-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia 3Way Stainless Steel Putty Knives with Nylon Handle - [3NPK4],14.0,True,3NPK4,"Size: 4""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,3NPK5,COL-COLUMBIA-3WAY-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia 3Way Stainless Steel Putty Knives with Nylon Handle - [3NPK5],17.0,True,3NPK5,"Size: 5""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,3NPK6,COL-COLUMBIA-3WAY-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia 3Way Stainless Steel Putty Knives with Nylon Handle - [3NPK6],17.0,True,3NPK6,"Size: 6""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,OPPK3,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,Columbia One Piece Stainless Steel Putty Knives - [OPPK3],17.0,True,OPPK3,"Size: 3""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,NPK3,COL-COLUMBIA-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia Stainless Steel Putty Knives with Nylon Handle - [NPK3],12.0,True,NPK3,"Size: 3""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,PJK3.5,COL-COLUMBIA-SPECIALTY-KNIFE-WITH-NYLON-HANDLE,Columbia Specialty Knife with Nylon Handle - [PJK3.5],14.0,True,PJK3.5,"Option: 3.5"" Pointed Knife",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,OPPK4,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,Columbia One Piece Stainless Steel Putty Knives - [OPPK4],18.0,True,OPPK4,"Size: 4""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,CGPK4,COL-COLUMBIA-STAINLESS-STEEL-JOINT-KNIFE-WITH-SOFT-GRIP-HANDLE,Columbia Stainless Steel Joint Knife with Soft Grip Handle - [CGPK4],15.0,True,CGPK4,"Size: 4""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,NPK4,COL-COLUMBIA-STAINLESS-STEEL-PUTTY-KNIVES-WITH-NYLON-HANDLE,Columbia Stainless Steel Putty Knives with Nylon Handle - [NPK4],14.0,True,NPK4,"Size: 4""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,OPPK5,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,Columbia One Piece Stainless Steel Putty Knives - [OPPK5],19.0,True,OPPK5,"Size: 5""",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,CGPK5,COL-COLUMBIA-STAINLESS-STEEL-JOINT-KNIFE-WITH-SOFT-GRIP-HANDLE,Columbia Stainless Steel Joint Knife with Soft Grip Handle - [CGPK5],16.0,True,CGPK5,Size: 5,Drywall Finishing Tools > Columbia > Taping & Finishing Tools
