brand,sku,mpn,name,local_gallery
tapetech,70115,CF30COMBO,"TapeTech 3"" Combo Flusher CF30COMBO",tapetech\tapetech-3in-combo-flusher\01.webp|tapetech\tapetech-3in-combo-flusher\02.webp|tapetech\tapetech-3in-combo-flusher\03.webp
tapetech,14167,NS03TT,"NS03TT TapeTech 3"" EasyClean® Nail Spotter Head",tapetech\tapetech-3in-nail-spotter-head\01.webp|tapetech\tapetech-3in-nail-spotter-head\02.webp|tapetech\tapetech-3in-nail-spotter-head\03.webp|tapetech\tapetech-3in-nail-spotter-head\04.webp|tapetech\tapetech-3in-nail-spotter-head\05.webp|tapetech\tapetech-3in-nail-spotter-head\06.webp
tapetech,70117,CF40COMBO,"TapeTech 4"" Combo Flusher CF40COMBO",tapetech\tapetech-4in-combo-flusher\01.webp|tapetech\tapetech-4in-combo-flusher\02.webp|tapetech\tapetech-4in-combo-flusher\03.webp|tapetech\tapetech-4in-combo-flusher\04.webp|tapetech\tapetech-4in-combo-flusher\05.webp|tapetech\tapetech-4in-combo-flusher\06.webp
tapetech,12651,CA07/XHTT,"TT50EXT TapeTech 7"" Angle Box w/ Extendable Handle",tapetech\tapetech-7-angle-box-w-extendable-handle\01.webp|tapetech\tapetech-7-angle-box-w-extendable-handle\02.webp|tapetech\tapetech-7-angle-box-w-extendable-handle\03.webp|tapetech\tapetech-7-angle-box-w-extendable-handle\04.webp|tapetech\tapetech-7-angle-box-w-extendable-handle\05.webp
tapetech,10101,CA08/FHTT,"TapeTech 8"" Angle Box w/ Handle",tapetech\tapetech-8-angle-box\01.webp
tapetech,12650,CA08TT/XHTT,"TT35EXT TapeTech 8"" Angle Box w/ Extendable Handle",tapetech\tapetech-8-angle-box-w-extendable-handle\01.webp|tapetech\tapetech-8-angle-box-w-extendable-handle\02.webp|tapetech\tapetech-8-angle-box-w-extendable-handle\03.webp|tapetech\tapetech-8-angle-box-w-extendable-handle\04.webp|tapetech\tapetech-8-angle-box-w-extendable-handle\05.webp
tapetech,15071,PFKHATT,PFKHATT TapeTech Premium Finishing Knife Handle Adapter,tapetech\tapetech-adapter-pfkhatt\01.webp
tapetech,10102,CA07/FHTT,"TapeTech 7"" Angle Box w/ Handle",tapetech\tapetech-angle-box-7inch\01.webp|tapetech\tapetech-angle-box-7inch\02.webp
tapetech,14251,FHTT/CAA-TT,TapeTech Fiberglass Angle Box Handle FHTT/CAA,tapetech\tapetech-angle-box-handle-caa\01.webp|tapetech\tapetech-angle-box-handle-caa\02.webp|tapetech\tapetech-angle-box-handle-caa\03.webp|tapetech\tapetech-angle-box-handle-caa\04.webp|tapetech\tapetech-angle-box-handle-caa\05.webp|tapetech\tapetech-angle-box-handle-caa\06.webp
tapetech,13865,42TT,"42TT TapeTech 2.5"" Angle Head",tapetech\tapetech-angle-head-25\01.webp|tapetech\tapetech-angle-head-25\02.webp|tapetech\tapetech-angle-head-25\03.webp|tapetech\tapetech-angle-head-25\04.webp|tapetech\tapetech-angle-head-25\05.webp
tapetech,14247,FHTT/CFA,TapeTech Fiberglass Angle Head Handle FHTT/CFA,tapetech\tapetech-angle-head-handle-fhtt\01.webp|tapetech\tapetech-angle-head-handle-fhtt\02.webp|tapetech\tapetech-angle-head-handle-fhtt\03.webp
