sku,type,image_count,filenames
8ITFB,variation,2,columbia-8-inside-track-fat-boy-flat-box-8ITFB-01.webp|columbia-8-inside-track-fat-boy-flat-box-8ITFB-02.webp
COL-NS,variable,1,columbia-3-nailspotter-3NS-01.webp
2NS,variation,0,
3NS,variation,1,columbia-3-nailspotter-3NS-01.webp
COL-SB2,variable,11,columbia-replacement-12-inch-blade-for-tomaha-SB212-01.webp|columbia-replacement-14-blade-for-tomahawk-SB214-01.webp|columbia-replacement-14-inch-blade-for-tomaha-SB214-01.webp|columbia-replacement-18-blade-for-tomahawk-SB218-01.webp|columbia-replacement-18-inch-blade-for-tomaha-SB218-01.webp|columbia-replacement-24-blade-for-tomahawk-SB224-01.webp|columbia-replacement-24-inch-blade-for-tomaha-SB224-01.webp|columbia-replacement-32-blade-for-tomahawk-SB232-01.webp|columbia-replacement-32-inch-blade-for-tomaha-SB232-01.webp|columbia-replacement-7-blade-for-tomahawk-SB27-01.webp|columbia-replacement-7-inch-blade-for-tomahaw-SB27-01.webp
SB212,variation,1,columbia-replacement-12-inch-blade-for-tomaha-SB212-01.webp
SB214,variation,2,columbia-replacement-14-blade-for-tomahawk-SB214-01.webp|columbia-replacement-14-inch-blade-for-tomaha-SB214-01.webp
SB218,variation,2,columbia-replacement-18-blade-for-tomahawk-SB218-01.webp|columbia-replacement-18-inch-blade-for-tomaha-SB218-01.webp
SB224,variation,2,columbia-replacement-24-blade-for-tomahawk-SB224-01.webp|columbia-replacement-24-inch-blade-for-tomaha-SB224-01.webp
SB232,variation,2,columbia-replacement-32-blade-for-tomahawk-SB232-01.webp|columbia-replacement-32-inch-blade-for-tomaha-SB232-01.webp
SB27,variation,2,columbia-replacement-7-blade-for-tomahawk-SB27-01.webp|columbia-replacement-7-inch-blade-for-tomahaw-SB27-01.webp
COL-SF,variable,2,columbia-3-5-standard-corner-flusher-35SF-01.webp|columbia-3-standard-corner-flusher-3SF-01.webp
25SF,variation,0,
35SF,variation,1,columbia-3-5-standard-corner-flusher-35SF-01.webp
3SF,variation,1,columbia-3-standard-corner-flusher-3SF-01.webp
COL-SSB,variable,19,columbia-12-sabre-smoothing-blade-SSB12-01.webp|columbia-12-sabre-smoothing-blade-SSB12-02.webp|columbia-14-sabre-smoothing-blade-SSB14-01.webp|columbia-14-sabre-smoothing-blade-SSB14-02.webp|columbia-16-sabre-smoothing-blade-SSB16-01.webp|columbia-16-sabre-smoothing-blade-SSB16-02.webp|columbia-18-sabre-smoothing-blade-SSB18-01.webp|columbia-18-sabre-smoothing-blade-SSB18-02.webp|columbia-24-sabre-smoothing-blade-SSB24-01.webp|columbia-24-sabre-smoothing-blade-SSB24-02.webp|columbia-40-sabre-smoothing-blade-SSB40-01.webp|columbia-40-sabre-smoothing-blade-SSB40-02.webp|columbia-48-sabre-smoothing-blade-SSB48-01.webp|columbia-48-sabre-smoothing-blade-SSB48-02.webp|columbia-7-sabre-smoothing-blade-SSB7-01.webp|columbia-7-sabre-smoothing-blade-SSB7-02.webp|columbia-32-sabre-smoothing-blade-SSB32-01.webp|columbia-32-inch-sabre-smoothing-blade-SSB32-02.webp|columbia-32-sabre-smoothing-blade-SSB32-02.webp
SSB10,variation,0,
SSB12,variation,2,columbia-12-sabre-smoothing-blade-SSB12-01.webp|columbia-12-sabre-smoothing-blade-SSB12-02.webp
