"attachment_id","schematic_id","brand","model_number","model_name","part_count","notes","product_ids"
"","columbia-compound-tube-sch","Columbia Tools","COLCOMPOUNDTUBE","Columbia Compound Tube","25","dir_map=CompoundTubes/CompoundTube; catalog=wc-product-export-current.csv; dir_map=CompoundTubes/CompoundTube; catalog=wc-product-export-current.csv; normalized_from=columbia-compound-tube-schematic-2022; slug=columbia-compound-tube; sku=COLCOMPOUNDTUBE",""
"","columbia-throttle-box-sch","Columbia Tools","COLTHROTTLEBOX","Columbia Throttle Box","43","source=Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json; images=columbia-throttle-box-schematic-page-001.webp|columbia-throttle-box-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-corner-cobra-sch","Columbia Tools","CC","Columbia Corner Cobra","16","dir_map=CornerRollers/CornerCobra; catalog=wc-product-export-current.csv; dir_map=CornerRollers/CornerCobra; catalog=wc-product-export-current.csv; normalized_from=columbia-corner-cobra; slug=columbia-corner-cobra; sku=CC",""
"","columbia-direct-flusher-sch","Columbia Tools","COLDIRECTFLUSHER","Columbia Direct Flusher","35","dir_map=CornerFlushers/DirectCornerFlusher; catalog=wc-product-export-current.csv; dir_map=CornerFlushers/DirectCornerFlusher; catalog=wc-product-export-current.csv; normalized_from=columbia-directstandardflusher-2015; slug=columbia-direct-flusher; sku=COLDIRECTFLUSHER",""
"","columbia-one-handle-4-8-long-extendible-chxl-sch","Columbia Tools","CHXL","Columbia One Handle - 4' - 8' Long Extendible","15","dir_map=Handles/LongExtendableHandle; catalog=wc-product-export-current.csv; dir_map=Handles/LongExtendableHandle; catalog=wc-product-export-current.csv; normalized_from=columbia-extendable-handle; slug=columbia-one-handle-4-8-long-extendible-chxl; sku=CHXL",""
"","columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch","Columbia Tools","COLMATRIXBOXHANDLE","Columbia Matrix Box Handle","10","source=Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json; images=columbia-matrix-box-handle-schematic-page-001.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-fat-boy-finishing-box-sch","Columbia Tools","COLFATBOYBOX","Columbia Fat Boy Finishing Box","49","source=Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json; images=columbia-fat-boy-finishing-box-schematic-page-001.webp|columbia-fat-boy-finishing-box-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-flat-finishing-box-sch","Columbia Tools","COLFLATFINISHINGBOXES","Columbia Flat Finishing Box","58","source=Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json; images=columbia-flat-finishing-box-schematic-page-001.webp|columbia-flat-finishing-box-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-gooseneck-sch","Columbia Tools","COLGOOSENECK","Columbia Gooseneck","4","dir_map=Pumps/GooseneckAdapter; catalog=wc-product-export-current.csv; dir_map=Pumps/GooseneckAdapter; catalog=wc-product-export-current.csv; normalized_from=columbia-gooseneck-1-1; slug=columbia-gooseneck; sku=COLGOOSENECK",""
"","columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch","Columbia Tools","ICA21","Columbia Billet Mud Applicator - Inside Corner 2 Wheels - 1""","10","dir_map=Applicators/InsideCornerApplicator/2Wheel; catalog=wc-product-export-current.csv; dir_map=Applicators/InsideCornerApplicator/2Wheel; catalog=wc-product-export-current.csv; normalized_from=columbia-ica1-2-2015; slug=columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1; sku=ICA21",""
