sku_code,product_id,sellable_id,before_product_title,before_sellable_title,before_full_title,after_sellable_title,after_full_title,status,message
CT109,353657434,716870067,1/4 - 20 Hex Nut,1/4 - 20 Hex Nut,1/4 - 20 Hex Nut 1/4 - 20 Hex Nut,Standard,1/4 - 20 Hex Nut Standard,updated,"{""id"": 353657434, ""title"": ""1/4 - 20 Hex Nut"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:14.787Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:13.580Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", """
FA296,353657438,716870079,"1/4 -20 x 1/2"" Hex Bolt","1/4 -20 x 1/2"" Hex Bolt","1/4 -20 x 1/2"" Hex Bolt 1/4 -20 x 1/2"" Hex Bolt",Standard,"1/4 -20 x 1/2"" Hex Bolt Standard",updated,"{""id"": 353657438, ""title"": ""1/4 -20 x 1/2\"" Hex Bolt"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:15.081Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:15.175Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"
FA295,353657440,716870084,"1/4 x 1/2"" Flathead Socket","1/4 x 1/2"" Flathead Socket","1/4 x 1/2"" Flathead Socket 1/4 x 1/2"" Flathead Socket",Standard,"1/4 x 1/2"" Flathead Socket Standard",updated,"{""id"": 353657440, ""title"": ""1/4 x 1/2\"" Flathead Socket"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:15.334Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:16.598Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_"
FA379,353657442,716870087,"1/4"" SS E-Clip","1/4"" SS E-Clip","1/4"" SS E-Clip 1/4"" SS E-Clip",Standard,"1/4"" SS E-Clip Standard",updated,"{""id"": 353657442, ""title"": ""1/4\"" SS E-Clip"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:15.589Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:17.971Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""e"
FA286,353657445,716870093,"1/4"" x 1/2"" Flat Washer","1/4"" x 1/2"" Flat Washer","1/4"" x 1/2"" Flat Washer 1/4"" x 1/2"" Flat Washer",Standard,"1/4"" x 1/2"" Flat Washer Standard",updated,"{""id"": 353657445, ""title"": ""1/4\"" x 1/2\"" Flat Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:15.842Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:19.498Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_ur"
FA288,353657449,716870098,"1/4"" X 3/4"" Split Pin","1/4"" X 3/4"" Split Pin","1/4"" X 3/4"" Split Pin 1/4"" X 3/4"" Split Pin",Standard,"1/4"" X 3/4"" Split Pin Standard",updated,"{""id"": 353657449, ""title"": ""1/4\"" X 3/4\"" Split Pin"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:16.102Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:21.087Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"""
FA291,353657453,716870104,1/4-20 Hex Nut,1/4-20 Hex Nut,1/4-20 Hex Nut 1/4-20 Hex Nut,Standard,1/4-20 Hex Nut Standard,updated,"{""id"": 353657453, ""title"": ""1/4-20 Hex Nut"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:16.372Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:22.582Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
FA299,353657455,716870108,"1/4-20 x 1 1/2"" Pan Phillips","1/4-20 x 1 1/2"" Pan Phillips","1/4-20 x 1 1/2"" Pan Phillips 1/4-20 x 1 1/2"" Pan Phillips",Standard,"1/4-20 x 1 1/2"" Pan Phillips Standard",updated,"{""id"": 353657455, ""title"": ""1/4-20 x 1 1/2\"" Pan Phillips"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:16.645Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:23.987Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_pag"
FA313,353657459,716870114,1/4-20 X 1/4 Socket Head Set Screw,1/4-20 X 1/4 Socket Head Set Screw,1/4-20 X 1/4 Socket Head Set Screw 1/4-20 X 1/4 Socket Head Set Screw,Standard,1/4-20 X 1/4 Socket Head Set Screw Standard,updated,"{""id"": 353657459, ""title"": ""1/4-20 X 1/4 Socket Head Set Screw"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:16.920Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:25.448Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""we"
FA301,353657463,716870122,"1/4-20 x 2 1/4"" Hex Bolt","1/4-20 x 2 1/4"" Hex Bolt","1/4-20 x 2 1/4"" Hex Bolt 1/4-20 x 2 1/4"" Hex Bolt",Standard,"1/4-20 x 2 1/4"" Hex Bolt Standard",updated,"{""id"": 353657463, ""title"": ""1/4-20 x 2 1/4\"" Hex Bolt"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:17.175Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:26.849Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_ur"
