sku_code,product_id,sellable_id,before_product_title,before_sellable_title,before_full_title,after_sellable_title,after_full_title,status,message
HH15,353657894,716871027,Grip Sleeve Octagon,Grip Sleeve Octagon,Grip Sleeve Octagon Grip Sleeve Octagon,Standard,Grip Sleeve Octagon Standard,updated,"{""id"": 353657894, ""title"": ""Grip Sleeve Octagon"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:12.350Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:22.070Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """""
CT115,353657895,716871031,Guard Ring,Guard Ring,Guard Ring Guard Ring,Standard,Guard Ring Standard,updated,"{""id"": 353657895, ""title"": ""Guard Ring"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:12.621Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:23.714Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estima"
CT58,353657897,716871034,Guide Rod Bushing,Guide Rod Bushing,Guide Rod Bushing Guide Rod Bushing,Standard,Guide Rod Bushing Standard,updated,"{""id"": 353657897, ""title"": ""Guide Rod Bushing"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:12.901Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:25.198Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", "
CT126,353657898,716871037,Hand Grip Body,Hand Grip Body,Hand Grip Body Hand Grip Body,Standard,Hand Grip Body Standard,updated,"{""id"": 353657898, ""title"": ""Hand Grip Body"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:13.160Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:28.563Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
CT124,353657901,716871041,Hand Grip Guard Ring,Hand Grip Guard Ring,Hand Grip Guard Ring Hand Grip Guard Ring,Standard,Hand Grip Guard Ring Standard,updated,"{""id"": 353657901, ""title"": ""Hand Grip Guard Ring"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:13.460Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:30.078Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """
HNS12,353657903,716871045,Handle Clamp,Handle Clamp,Handle Clamp Handle Clamp,Standard,Handle Clamp Standard,updated,"{""id"": 353657903, ""title"": ""Handle Clamp"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:13.717Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:31.511Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""esti"
CR11,353657906,716871053,Handle Connecting Link,Handle Connecting Link,Handle Connecting Link Handle Connecting Link,Standard,Handle Connecting Link Standard,updated,"{""id"": 353657906, ""title"": ""Handle Connecting Link"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:14.028Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:32.893Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"":"
HH35,353657908,716871059,Handle Grip,Handle Grip,Handle Grip Handle Grip,Standard,Handle Grip Standard,updated,"{""id"": 353657908, ""title"": ""Handle Grip"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:14.292Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:34.235Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estim"
MH4,353657908,716871068,Handle Grip,Handle Grip,Handle Grip Handle Grip,Standard,Handle Grip Standard,updated,"{""id"": 353657908, ""title"": ""Handle Grip"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:14.292Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:34.235Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estim"
MH11,353657914,716871074,Handle Grip Bushing,Handle Grip Bushing,Handle Grip Bushing Handle Grip Bushing,Standard,Handle Grip Bushing Standard,updated,"{""id"": 353657914, ""title"": ""Handle Grip Bushing"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:14.838Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:36.995Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """""
MP6,353657916,716871078,Handle Link,Handle Link,Handle Link Handle Link,Standard,Handle Link Standard,updated,"{""id"": 353657916, ""title"": ""Handle Link"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:15.101Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:38.589Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estim"
HNSA-14,353657918,716871084,Handle Link Assembly,Handle Link Assembly,Handle Link Assembly Handle Link Assembly,Standard,Handle Link Assembly Standard,updated,"{""id"": 353657918, ""title"": ""Handle Link Assembly"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:15.360Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:40.127Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """
MH1,353657921,716871090,Handle Mount Plate,Handle Mount Plate,Handle Mount Plate Handle Mount Plate,Standard,Handle Mount Plate Standard,updated,"{""id"": 353657921, ""title"": ""Handle Mount Plate"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:15.625Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:42.600Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """","
CR6,353657923,716871097,Handle Mounting Swivel,Handle Mounting Swivel,Handle Mounting Swivel Handle Mounting Swivel,Standard,Handle Mounting Swivel Standard,updated,"{""id"": 353657923, ""title"": ""Handle Mounting Swivel"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:15.952Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:44.335Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"":"
HPA-48,353657927,716871104,Handle Pin Assembly,Handle Pin Assembly,Handle Pin Assembly Handle Pin Assembly,Standard,Handle Pin Assembly Standard,updated,"{""id"": 353657927, ""title"": ""Handle Pin Assembly"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:16.220Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:46.205Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """""
HH8,353657928,716871107,Handle Tube,Handle Tube,Handle Tube Handle Tube,Standard,Handle Tube Standard,updated,"{""id"": 353657928, ""title"": ""Handle Tube"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:16.496Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:47.742Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estim"
MP5,353657931,716871113,Head Bushing,Head Bushing,Head Bushing Head Bushing,Standard,Head Bushing Standard,updated,"{""id"": 353657931, ""title"": ""Head Bushing"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:16.783Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:50.535Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""esti"
CR1,353657934,716871123,Head Casting,Head Casting,Head Casting Head Casting,Standard,Head Casting Standard,updated,"{""id"": 353657934, ""title"": ""Head Casting"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:17.076Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:52.255Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""esti"
FFB39,353657938,716871147,Hex Bolt,Hex Bolt,Hex Bolt Hex Bolt,Standard,Hex Bolt Standard,updated,"{""id"": 353657938, ""title"": ""Hex Bolt"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:18.280Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:53.828Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estimate"
CT20,353657939,716871151,Hinge Block,Hinge Block,Hinge Block Hinge Block,Standard,Hinge Block Standard,updated,"{""id"": 353657939, ""title"": ""Hinge Block"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:18.584Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:55.280Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estim"
CFB15A,353657941,716871159,Hinge Bushing (Plastic Washer),Hinge Bushing (Plastic Washer),Hinge Bushing (Plastic Washer) Hinge Bushing (Plastic Washer),Standard,Hinge Bushing (Plastic Washer) Standard,updated,"{""id"": 353657941, ""title"": ""Hinge Bushing (Plastic Washer)"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:19.397Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:56.756Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_pa"
BH6,353657945,716871166,Hinge Pin,Hinge Pin,Hinge Pin Hinge Pin,Standard,Hinge Pin Standard,updated,"{""id"": 353657945, ""title"": ""Hinge Pin"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:19.695Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:58.285Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estimat"
MH6,353657945,716871169,Hinge Pin,Hinge Pin,Hinge Pin Hinge Pin,Standard,Hinge Pin Standard,updated,"{""id"": 353657945, ""title"": ""Hinge Pin"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:19.695Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:32:58.285Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estimat"
CT79,353657946,716871171,Hollow Shaft,Hollow Shaft,Hollow Shaft Hollow Shaft,Standard,Hollow Shaft Standard,updated,"{""id"": 353657946, ""title"": ""Hollow Shaft"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:20.343Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:01.276Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""esti"
CT68,353657948,716871175,Hub,Hub,Hub Hub,Standard,Hub Standard,updated,"{""id"": 353657948, ""title"": ""Hub"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:20.630Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:02.801Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estimated_del"
CT2,353657949,716871177,Insert Bushing for CT#7A,Insert Bushing for CT#7A,Insert Bushing for CT#7A Insert Bushing for CT#7A,Standard,Insert Bushing for CT#7A Standard,updated,"{""id"": 353657949, ""title"": ""Insert Bushing for CT#7A"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:20.895Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:04.656Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"
MH13,353657953,716871182,Large Nyliner Bushing,Large Nyliner Bushing,Large Nyliner Bushing Large Nyliner Bushing,Standard,Large Nyliner Bushing Standard,updated,"{""id"": 353657953, ""title"": ""Large Nyliner Bushing"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:21.371Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:06.154Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": "
HP47,353657954,716871187,Latch Clamp Assembly,Latch Clamp Assembly,Latch Clamp Assembly Latch Clamp Assembly,Standard,Latch Clamp Assembly Standard,updated,"{""id"": 353657954, ""title"": ""Latch Clamp Assembly"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:21.637Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:07.547Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """
HP46,353657955,716871189,Latch Keeper,Latch Keeper,Latch Keeper Latch Keeper,Standard,Latch Keeper Standard,updated,"{""id"": 353657955, ""title"": ""Latch Keeper"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:21.941Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:09.005Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""esti"
MP8,353657965,716871207,Leg,Leg,Leg Leg,Standard,Leg Standard,updated,"{""id"": 353657965, ""title"": ""Leg"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:22.853Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:10.526Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estimated_del"
HH17C,353657968,716871213,Line Pincher,Line Pincher,Line Pincher Line Pincher,Standard,Line Pincher Standard,updated,"{""id"": 353657968, ""title"": ""Line Pincher"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:23.131Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:11.984Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""esti"
BH4,353657971,716871219,Lower Brake Lever,Lower Brake Lever,Lower Brake Lever Lower Brake Lever,Standard,Lower Brake Lever Standard,updated,"{""id"": 353657971, ""title"": ""Lower Brake Lever"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:23.392Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:13.585Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", "
MH3,353657972,716871223,Lower Mount Bracket,Lower Mount Bracket,Lower Mount Bracket Lower Mount Bracket,Standard,Lower Mount Bracket Standard,updated,"{""id"": 353657972, ""title"": ""Lower Mount Bracket"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:23.649Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:15.188Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """""
BH3,353657975,716871229,Lower Mounting Bracket,Lower Mounting Bracket,Lower Mounting Bracket Lower Mounting Bracket,Standard,Lower Mounting Bracket Standard,updated,"{""id"": 353657975, ""title"": ""Lower Mounting Bracket"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:23.915Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:16.703Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"":"
CT80,353657977,716871234,Manual Drive Grip,Manual Drive Grip,Manual Drive Grip Manual Drive Grip,Standard,Manual Drive Grip Standard,updated,"{""id"": 353657977, ""title"": ""Manual Drive Grip"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:24.176Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:18.250Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", "
MH2,353657980,716871242,Matrix Handle Head,Matrix Handle Head,Matrix Handle Head Matrix Handle Head,Standard,Matrix Handle Head Standard,updated,"{""id"": 353657980, ""title"": ""Matrix Handle Head"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:24.509Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:20.255Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """","
CT43,353657986,716871252,Micro Chain,Micro Chain,Micro Chain Micro Chain,Standard,Micro Chain Standard,updated,"{""id"": 353657986, ""title"": ""Micro Chain"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:24.779Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:21.814Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""estim"
MH3A,353657988,716871265,Mounting Bracket Stem,Mounting Bracket Stem,Mounting Bracket Stem Mounting Bracket Stem,Standard,Mounting Bracket Stem Standard,updated,"{""id"": 353657988, ""title"": ""Mounting Bracket Stem"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:25.052Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:23.233Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": "
BH1,353657990,716871276,Mounting Plate,Mounting Plate,Mounting Plate Mounting Plate,Standard,Mounting Plate Standard,updated,"{""id"": 353657990, ""title"": ""Mounting Plate"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:25.328Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:33:24.722Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
