"schematic_id","part_id","part_name","qty"
"asgard-ehc10-ad-sch","289148","289148","1"
"asgard-ehc10-ad-sch","260031B","260031B","1"
"asgard-ehc10-ad-sch","259225","259225","1"
"asgard-ehc10-ad-sch","200032F","200032F","1"
"asgard-ehc10-ad-sch","210067","210067","1"
"asgard-ehc10-ad-sch","310051F","310051 - Flat Box Wheel","1"
"asgard-ehc10-ad-sch","280045","280045","1"
"asgard-ehc10-ad-sch","809006","809006 - #14 S Brass Washer","1"
"asgard-ehc10-ad-sch","200036","200036","1"
"asgard-ehc10-ad-sch","289042","289042","1"
"asgard-ehc10-ad-sch","289047","289047","1"
"asgard-ehc12-ad-sch","202021","202021 - Special Nut","1"
"asgard-ehc12-ad-sch","206003","206003 - Dial Assembly","1"
"asgard-ehc12-ad-sch","303010","303010 - Crown Spring","1"
"asgard-ehc12-ad-sch","304005","304005 - 12"" Blade Holder Clamp","1"
"asgard-ehc12-ad-sch","209012","209012 - 4-40 X 1/4 Head Screw","1"
"asgard-ehc12-ad-sch","489023","489023 - #6 SS Flat Washer","1"
"asgard-ehc12-ad-sch","219064","219064 - Spring Washer","1"
"asgard-ehc12-ad-sch","210059","210059 - Shoulder Screw","1"
"asgard-ehc12-ad-sch","502034","502034 - Corner Box Latch","1"
"asgard-ehc12-ad-sch","310024F","310024 - 12"" Wiper For Power Assist TTEC/ECH Boxes","1"
"asgard-ehc12-ad-sch","202028","202028 - Threaded Washer","1"
"asgard-ehc12-ad-sch","209030","209030 - 10-24 Stainless Steel Wingnut","1"
"asgard-ehc12-ad-sch","339073","339073 - 10-24 x 1-1/4 Fillister Head Screw","1"
"asgard-ehc12-ad-sch","202044F","202044 - Pressure Plate Spring","1"
"asgard-ehc12-ad-sch","209039","209039 - Left Skid Cover","1"
"asgard-ehc12-ad-sch","2800258","2800258","1"
"asgard-ehc12-ad-sch","059051","059051 - 6-32 X 3/16 Fillister Screw","1"
"asgard-ehc12-ad-sch","889030","889030 - 4-40 X 3/16 Fill. Head Screw","1"
"asgard-ehc12-ad-sch","310097","310097 - Seal Plate, 12""","1"
"asgard-ehc12-ad-sch","310096","310096 - Seal for 12"" Power Assist and Easy Clean Flat Boxes","1"
"asgard-ehc12-ad-sch","3500508","3500508","1"
"asgard-ehc12-ad-sch","330031B","330031B","1"
"asgard-ehc12-ad-sch","209047","209047 - Nyliner Bearing","1"
"asgard-ehc12-ad-sch","209042","209042 - #10 Brass Washer","1"
"asgard-ehc12-ad-sch","059225","059225 - 10-32 Thin Pattern Stop Nut","1"
"asgard-ehc12-ad-sch","202036","202036 - Shoulder Screw","1"
"asgard-ehc12-ad-sch","809006","809006 - #14 S Brass Washer","1"
"asgard-ehc12-ad-sch","310045","310045","1"
"asgard-ehc12-ad-sch","310051F","310051 - Flat Box Wheel","1"
"asgard-ehc12-ad-sch","219067","Flat Box Box Wheel O-Ring - FFB6A","1"
"asgard-ehc12-ad-sch","200052F","200052 - Shoulder Screw","1"
"asgard-ehc12-ad-sch","209148","209148 - Nyliner Bearing","1"
"asgard-ehc12-ad-sch","209042","209042 - #10 Brass Washer","1"
"asgard-ehc12-ad-sch","059029","059029 - 6-32 X 5/8 Flat Hd Screw","1"
"asgard-ehc12-ad-sch","3100338","3100338","1"
"asgard-ehc12-ad-sch","509010","509010 - 4-40 X 5/16 Flat Hd Screw","1"
"asgard-ehc12-ad-sch","330052","330052 - 4-40 Standoff","1"
"asgard-ehc12-ad-sch","209148","209148 - Nyliner Bearing","1"
"asgard-ehc12-ad-sch","210060","210060 - Flat Box Pivot Bearing","1"
"asgard-ehc12-ad-sch","202020","202020 - Spring Anchor","1"
"asgard-ehc12-ad-sch","059016","#6 Med. Spring Lockwasher - 059016","1"
"asgard-ehc12-ad-sch","059020","6-32 X 3/8 Bind Hd Screw - 059020","1"
"asgard-ehc12-ad-sch","059102","059102 - 4-40 X 1/4 Flat Hd Screw","1"
"asgard-ehc12-ad-sch","202022","202022 - Repair Clip","1"
"asgard-ehc12-ad-sch","209006","209006  - Right Skid Cover","1"
"asgard-ehc12-ad-sch","059015","6-32 X 1/4 Fillister Hd Screw - 059015","1"
"asgard-ehc12-ad-sch","059038","059038 - Lock Washer #4","1"
"asgard-ehc12-ad-sch","059161","059161 - 4-40 X 3/8 Fillister Head Screw","1"
"asgard-ehc12-ad-sch","280023B","280023B","1"
"asgard-ehc12-ad-sch","310071","310071 - 12"" Spacer Rod","1"
"asgard-ehc12-ad-sch","3301328","3301328","1"
"asgard-ehc12-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ehc12-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ehc12-ad-sch","202007","202007 - Push Rod Crown Adjustment","1"
"asgard-ehc12-ad-sch","300001","300001 - 12"" Flat Box Blade","1"
"asgard-ehc12-ad-sch","304002","304002 - 12"" Blade Holder Assembly","1"
"asgard-ehc12-ad-sch","209016","209016 - Screw 4-40 X 7/32 Bind Hd","1"
"asgard-ehc12-ad-sch","209058","209058 - 6-32 Brass Nut","1"
"asgard-ehc12-ad-sch","330009B","330009B","1"
"asgard-ehc12-ad-sch","319081","319081","1"
"asgard-ehc12-ad-sch","209017","209017 - 10-24 Nylock Nut","1"
"asgard-ehc12-ad-sch","209046","209046 - Flat Box Washer","1"
"asgard-ehc12-ad-sch","310027B","310027B","1"
"asgard-ez07-ad-sch","202007","202007 - Push Rod Crown Adjustment","1"
"asgard-ez07-ad-sch","209016","209016 - Screw 4-40 X 7/32 Bind Hd","1"
"asgard-ez07-ad-sch","200001","200001 - 7"" Blade","1"
"asgard-ez07-ad-sch","204002","204002 - 7"" Blade Holder Assembly","1"
"asgard-ez07-ad-sch","200040F","200040 -  4-40 Tie Rod- 7""","1"
"asgard-ez07-ad-sch","2010328","2010328","1"
"asgard-ez07-ad-sch","059012","6-32 X 3/8 Fillister Hd  - 059012","1"
"asgard-ez07-ad-sch","609012","609012 - 4-40 Elastic Stopnut","1"
"asgard-ez07-ad-sch","202022","202022 - Repair Clip","1"
"asgard-ez07-ad-sch","209039","209039 - Left Skid Cover","1"
"asgard-ez07-ad-sch","059015","6-32 X 1/4 Fillister Hd Screw - 059015","1"
"asgard-ez07-ad-sch","251025B","Side Plate, CFS","1"
"asgard-ez07-ad-sch","209050","4-40 x 7/16 Slotted FL. Head, SS","1"
"asgard-ez07-ad-sch","2020338","2020338","1"
"asgard-ez07-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ez07-ad-sch","209041","209041 - Spring Clip","1"
"asgard-ez07-ad-sch","206007B","206007B","1"
"asgard-ez07-ad-sch","209049","209049 - 6-32 X 5/16 Bd Hd Sst Screw","1"
"asgard-ez07-ad-sch","200052F","200052 - Shoulder Screw","1"
"asgard-ez07-ad-sch","209148","209148 - Nyliner Bearing","1"
"asgard-ez07-ad-sch","310051F","310051 - Flat Box Wheel","1"
"asgard-ez07-ad-sch","219067","Flat Box Box Wheel O-Ring - FFB6A","1"
"asgard-ez07-ad-sch","209042","209042 - #10 Brass Washer","1"
"asgard-ez07-ad-sch","200045","200045","1"
"asgard-ez07-ad-sch","209058","209058 - 6-32 Brass Nut","1"
"asgard-ez07-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ez07-ad-sch","202021","202021 - Special Nut","1"
"asgard-ez07-ad-sch","206003","206003 - Dial Assembly","1"
"asgard-ez07-ad-sch","203010","203010 - Flat Box Crown Spring","1"
"asgard-ez07-ad-sch","204005","204005 - 7"" Clamp Assembly","1"
"asgard-ez07-ad-sch","209012","209012 - 4-40 X 1/4 Head Screw","1"
"asgard-ez07-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ez07-ad-sch","489024","489024","1"
"asgard-ez07-ad-sch","219064","219064 - Spring Washer","1"
"asgard-ez07-ad-sch","210059","210059 - Shoulder Screw","1"
"asgard-ez07-ad-sch","502034","502034 - Corner Box Latch","1"
"asgard-ez07-ad-sch","200026F","200026 - 7"" Wiper Gasket","1"
"asgard-ez07-ad-sch","209006","209006  - Right Skid Cover","1"
"asgard-ez07-ad-sch","2510238","2510238","1"
"asgard-ez07-ad-sch","202028","202028 - Threaded Washer","1"
"asgard-ez07-ad-sch","202020","202020 - Spring Anchor","1"
"asgard-ez07-ad-sch","209030","209030 - 10-24 Stainless Steel Wingnut","1"
"asgard-ez07-ad-sch","339073","339073 - 10-24 x 1-1/4 Fillister Head Screw","1"
"asgard-ez07-ad-sch","202044F","202044 - Pressure Plate Spring","1"
"asgard-ez07-ad-sch","059015","6-32 X 1/4 Fillister Hd Screw - 059015","1"
"asgard-ez07-ad-sch","209048","209048 - 4-40 X 1/8 Bind Hd Screw","1"
"asgard-ez07-ad-sch","200009","200009 - Shim- 7""","1"
"asgard-ez07-ad-sch","059225","059225 - 10-32 Thin Pattern Stop Nut","1"
"asgard-ez07-ad-sch","209042","209042 - #10 Brass Washer","1"
"asgard-ez07-ad-sch","209047","209047 - Nyliner Bearing","1"
"asgard-ez07-ad-sch","809006","809006 - #14 S Brass Washer","1"
"asgard-ez07-ad-sch","202036","202036 - Shoulder Screw","1"
"asgard-ez07-ad-sch","209017","209017 - 10-24 Nylock Nut","1"
"asgard-ez07-ad-sch","209046","209046 - Flat Box Washer","1"
"asgard-ez07-ad-sch","IZXXX","IZXXX","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","8","8","1"
"asgard-ez10-ad-sch","250001","250001 - 10"" Box Blade","1"
"asgard-ez10-ad-sch","254002","254002 - 10"" Blade Holder Assembly","1"
"asgard-ez10-ad-sch","250040F","10"" Tie Rod","1"
"asgard-ez10-ad-sch","251032G","251032G - 10"" Radius Plate (Gold)","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","209039","209039 - Left Skid Cover","1"
"asgard-ez10-ad-sch","4","4","1"
"asgard-ez10-ad-sch","251025G","251025G - Right Side Plate","1"
"asgard-ez10-ad-sch","209050 ASSEMBLE WITH LOCTITE 243 TORQUE 10-12 IN-LB","209050 ASSEMBLE WITH LOCTITE 243 TORQUE 10-12 IN-LB","1"
"asgard-ez10-ad-sch","255033G","255033G","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","256027G","256027 - 10"" Pressure Plate (Gold)","1"
"asgard-ez10-ad-sch","2","2","1"
"asgard-ez10-ad-sch","200052F","200052 - Shoulder Screw","1"
"asgard-ez10-ad-sch","2","2","1"
