Import complete! 2,874 products updated. 767 products were skipped. Failed to import 181 products. View import log. File uploaded: product-wp-catalog-x4aksntfxl.csv
Product	Reason for failure
Columbia 1/4-20 x 1-1/4 Socket Head (FA340), SKU FA340	No matching product exists to update.
Columbia 1/4-20 x 1-3/4 Hex Bolt (FA341), SKU FA341	No matching product exists to update.
Columbia 1/4-20 x 2-1/2 Hex Bolt (FA301), SKU FA301	No matching product exists to update.
Columbia 1/4-20 x 3/4 Hex Bolt (FA342), SKU FA342	No matching product exists to update.
Columbia 1/4-20 x 3/8 Flat Head Screw (FA383), SKU FA383	No matching product exists to update.
Columbia 1/4-20 x 5/8 Flat Socket Head (FA337), SKU FA337	No matching product exists to update.
Columbia 1/4-28 x 3/8 Set Screw (FA303), SKU FA303	No matching product exists to update.
Columbia 10-24 x 7/8 Hex Bolt (FA371), SKU FA371	No matching product exists to update.
Columbia 10-32 x 3/8 Flat Head Screw (FA375), SKU FA375	No matching product exists to update.
Columbia 10" Inside Track Fat Boy Flat Box (10ITFB), SKU 10ITFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/10itfb_0.webp. Error: Not Found
Columbia 12" Fat Boy Automatic Assist Drywall Flat Box (12FBBA), SKU 12FBBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/12fbba_0.webp. Error: Not Found
Columbia 12" Fat Boy Drywall Flat Finishing Box (12FBB), SKU 12FBB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/12fbb_0.webp. Error: Not Found
Columbia 12" Mud Pan w/ Grip (C12MPX6), SKU C12MPX6	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/c12mpx6_0.webp. Error: Not Found
Columbia 14" Drywall Flat Finishing Box (14FFB), SKU 14FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/14ffb_0.webp. Error: Not Found
