SKU,Type,Name,current_image_basenames,parts_meta_hit,classification,best_score,best_reason,best_source,best_basename,best_relpath,top_candidates,top_live_candidates
MP2,simple,Foot Valve Casting,columbia-foot-valve-casting-mp2-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-foot-valve-casting-MP2-1.webp,products/Production/Images/columbia-foot-valve-casting-MP2-1.webp,100::current_basename::production_images::columbia-foot-valve-casting-MP2-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp2-01.webp | 74::name_overlap_2::production_images::tapetech-foot-valve-universal-762011-1.webp,100::current_basename::columbia-foot-valve-casting-MP2-1.webp | 74::name_overlap_2::tapetech-foot-valve-universal-762011-1.webp
MP23,simple,Mud Pump Seal,columbia-mud-pump-seal-mp23-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-mud-pump-seal-MP23-1.webp,products/Production/Images/columbia-mud-pump-seal-MP23-1.webp,100::current_basename::production_images::columbia-mud-pump-seal-MP23-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp23-01.webp | 90::sku_compact::production_images::columbia-o-ring-MP23A-1.webp | 90::sku_compact::production_images::columbia-o-ring-MP23A-2.webp | 86::sku_compact::columbia_parts_scrape::columbia-mp23a-01.webp,100::current_basename::columbia-mud-pump-seal-MP23-1.webp | 90::sku_compact::columbia-o-ring-MP23A-1.webp | 90::sku_compact::columbia-o-ring-MP23A-2.webp | 75::name_overlap_2::columbia-mud-pump-screen-MP24-1.webp | 74::name_overlap_2::columbia-mud-pump-maintenance-kit-mpr1-1.webp
MP23A,simple,O - Ring,columbia-o-ring-mp23a-1.webp | columbia-o-ring-mp23a-2.webp,yes,strong_exact,100,current_basename,production_images,columbia-o-ring-MP23A-1.webp,products/Production/Images/columbia-o-ring-MP23A-1.webp,100::current_basename::production_images::columbia-o-ring-MP23A-1.webp | 100::current_basename::production_images::columbia-o-ring-MP23A-2.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp23a-01.webp | 86::sku_compact::columbia_parts_scrape::columbia-parts-mp23a-01.webp,100::current_basename::columbia-o-ring-MP23A-1.webp | 100::current_basename::columbia-o-ring-MP23A-2.webp
MP24,simple,Mud Pump Screen,columbia-mud-pump-screen-mp24-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-mud-pump-screen-MP24-1.webp,products/Production/Images/columbia-mud-pump-screen-MP24-1.webp,100::current_basename::production_images::columbia-mud-pump-screen-MP24-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp24-01.webp | 75::name_overlap_2::production_images::columbia-mud-pump-seal-MP23-1.webp | 74::name_overlap_2::production_images::columbia-mud-pump-maintenance-kit-mpr1-1.webp | 74::name_overlap_2::production_images::tapetech-pump-coarse-mesh-screen-700033f-1.webp,100::current_basename::columbia-mud-pump-screen-MP24-1.webp | 75::name_overlap_2::columbia-mud-pump-seal-MP23-1.webp | 74::name_overlap_2::columbia-mud-pump-maintenance-kit-mpr1-1.webp | 74::name_overlap_2::tapetech-pump-coarse-mesh-screen-700033f-1.webp | 74::name_overlap_2::tapetech-pump-fine-mesh-screen-700032f-1.webp
MP25,simple,Filler Studs,columbia-filler-studs-mp25-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-filler-studs-MP25-1.webp,products/Production/Images/columbia-filler-studs-MP25-1.webp,100::current_basename::production_images::columbia-filler-studs-MP25-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp25-01.webp,100::current_basename::columbia-filler-studs-MP25-1.webp
MP28,simple,Filler Nut,columbia-filler-nut-mp28-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-filler-nut-MP28-1.webp,products/Production/Images/columbia-filler-nut-MP28-1.webp,100::current_basename::production_images::columbia-filler-nut-MP28-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp28-01.webp,100::current_basename::columbia-filler-nut-MP28-1.webp
MP3,simple,Pump Flapper Valve,columbia-pump-flapper-valve-mp3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-pump-flapper-valve-MP3-1.webp,products/Production/Images/columbia-pump-flapper-valve-MP3-1.webp,100::current_basename::production_images::columbia-pump-flapper-valve-MP3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp3-01.webp,100::current_basename::columbia-pump-flapper-valve-MP3-1.webp
MP32,simple,Backing Washer Locator,columbia-backing-washer-locator-mp32-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-backing-washer-locator-MP32-1.webp,products/Production/Images/columbia-backing-washer-locator-MP32-1.webp,100::current_basename::production_images::columbia-backing-washer-locator-MP32-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp32-01.webp | 75::name_overlap_2::production_images::columbia-piston-backing-washer-large-MP13-1.webp | 75::name_overlap_2::production_images::columbia-piston-backing-washer-small-MP13A-1.webp | 74::name_overlap_2::production_images::columbia-stainless-steel-backing-washer-FFB4B-1.webp,100::current_basename::columbia-backing-washer-locator-MP32-1.webp | 75::name_overlap_2::columbia-piston-backing-washer-large-MP13-1.webp | 75::name_overlap_2::columbia-piston-backing-washer-small-MP13A-1.webp | 74::name_overlap_2::columbia-stainless-steel-backing-washer-FFB4B-1.webp
MP33,simple,Filler Gasket,columbia-filler-gasket-mp33-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-filler-gasket-MP33-1.webp,products/Production/Images/columbia-filler-gasket-MP33-1.webp,100::current_basename::production_images::columbia-filler-gasket-MP33-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp33-01.webp,100::current_basename::columbia-filler-gasket-MP33-1.webp
MP36,simple,Nylatron Bushing,columbia-nylatron-bushing-mp36-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-nylatron-bushing-MP36-1.webp,products/Production/Images/columbia-nylatron-bushing-MP36-1.webp,100::current_basename::production_images::columbia-nylatron-bushing-MP36-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp36-01.webp | 76::name_overlap_2::production_images::columbia-nylatron-bushing-HFFB4D-1.webp,100::current_basename::columbia-nylatron-bushing-MP36-1.webp | 76::name_overlap_2::columbia-nylatron-bushing-HFFB4D-1.webp
