"Brand","Type","SKU","Parent SKU","Name","Categories","Images"
"Columbia","simple","FA285","","1/4"" Plastic Washer (FA285)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA287","","1/4 x 5/8 Split Pin (FA287)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA290","","1/4 - 20 Nyloc Nut (FA290)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA2AS","","1/4 in Plastic Washer (FA285)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA2J0","","#10 Belleville Washer (FA280)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA2L3","","4 - 40 X 3/4"" Hex Bolt (FA283)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA304","","5/16 Flat Washer (FA - 304)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA309","","5/16 - 18 x 1/2 Socket Head Screw (FA309)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA314","","10 - 24 X 1 - 1/2 Pan Slot (FA314)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA318","","3/8 - 16 x 1 - 1/4 Hex Bolt (FA318)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA323","","1/4 - 20 X 1"" Hex Bolt (FA323)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA324","","10 - 24 x 1/4 Set Screw (FA324)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA327","","8 - 32 x 1/4 Pan Head Screw (FA327)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA328","","3/8 Flat Washer (FA328)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA32S","","1/4 - 20 X 1"" Hex Bolt (FA323)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA337","","1/4 - 20 x 5/8 Flat Socket Head (FA337)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA340","","1/4 - 20 x 1 - 1/4 Socket Head (FA340)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA341","","1/4 - 20 x 1 - 3/4 Hex Bolt (FA341)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA342","","1/4 - 20 x 3/4 Hex Bolt (FA342)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA345","","1/4 x 1/4 Roll Pin (FA345)","Drywall Finishing Tools > Columbia > Parts",""
