brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,removal_reason
TapeTech,056133,056133,Pyramid Blade,,Tapers / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,056133,"PK-AT02 - Taper Tune Up Kit (03TT, 07TT, 07TT0C) 200 - Gooser Assembly Replacement Kit 340 - Cutter Chain Assembly Replacement Kit 059049 - Needle Gooser 056133 - Pyramid Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,059010,059010,Spring,,Tapers / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,059010,"501A - Taper Wear Parts Kit (04TT, 05TT) 215 - Drive Dog Assembly Replacement Kit 054209F - Cable 059010 - Spring",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,059049,059049,Needle Gooser,,Tapers / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,059049,"PK-AT02 - Taper Tune Up Kit (03TT, 07TT, 07TT0C) 200 - Gooser Assembly Replacement Kit 340 - Cutter Chain Assembly Replacement Kit 059049 - Needle Gooser 056133 - Pyramid Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,200,200,Gooser Assembly Replacement Kit,,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,200,"PK-AT02 - Taper Tune Up Kit (03TT, 07TT, 07TT0C) 200 - Gooser Assembly Replacement Kit 340 - Cutter Chain Assembly Replacement Kit 059049 - Needle Gooser 056133 - Pyramid Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,215,215,Drive Dog Assembly Replacement Kit,,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,215,"501A - Taper Wear Parts Kit (04TT, 05TT) 215 - Drive Dog Assembly Replacement Kit 054209F - Cable 059010 - Spring",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,335,335,Piston Assembly Replacement Kit,,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,335,"PK-AT01 - Taper Wear Parts Kit (03TT, 07TT, 07TT0C) 502A - Taper Tune Up Kit (04TT, 05TT) 335 - Piston Assembly Replacement Kit 03TT, 04TT, 05TT, 07TT, 07TT-C:",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,340,340,Cutter Chain Assembly Replacement Kit,,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,340,"PK-AT02 - Taper Tune Up Kit (03TT, 07TT, 07TT0C) 200 - Gooser Assembly Replacement Kit 340 - Cutter Chain Assembly Replacement Kit 059049 - Needle Gooser 056133 - Pyramid Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,501A,501A,"Taper Wear Parts Kit (04TT, 05TT)",,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,501A,"501A - Taper Wear Parts Kit (04TT, 05TT) 215 - Drive Dog Assembly Replacement Kit 054209F - Cable 059010 - Spring",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,502A,502A,"Taper Tune Up Kit (04TT, 05TT)",,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,502A,"PK-AT01 - Taper Wear Parts Kit (03TT, 07TT, 07TT0C) 502A - Taper Tune Up Kit (04TT, 05TT) 335 - Piston Assembly Replacement Kit 03TT, 04TT, 05TT, 07TT, 07TT-C:",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,PK-AT01,PK-AT01,"Taper Wear Parts Kit (03TT, 07TT, 07TT0C)",,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,PK-AT01,"PK-AT01 - Taper Wear Parts Kit (03TT, 07TT, 07TT0C) 502A - Taper Tune Up Kit (04TT, 05TT) 335 - Piston Assembly Replacement Kit 03TT, 04TT, 05TT, 07TT, 07TT-C:",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,PK-AT02,PK-AT02,"Taper Tune Up Kit (03TT, 07TT, 07TT0C)",,Tapers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,PK-AT02,"PK-AT02 - Taper Tune Up Kit (03TT, 07TT, 07TT0C) 200 - Gooser Assembly Replacement Kit 340 - Cutter Chain Assembly Replacement Kit 059049 - Needle Gooser 056133 - Pyramid Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,501RD,501RD,Corner Roller Replacement Kit - 17TT,,Corner Rollers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,8,16,501RD,501RD - Corner Roller Replacement Kit–17TT,pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
