brand,name,sku,upc
Columbia Taping Tools,"Columbia One Predator Taper 77"" Tall Boy",C1TBPTAPER,824149009270
Columbia Taping Tools,Columbia One Predator Taper Body,C1PBODY,
Columbia Taping Tools,Columbia One Predator Taper Head Only,C1PHEAD,824149009270
Columbia Taping Tools,Columbia One Sawed Off Predator Taper Body,C1SPBODY,
Columbia Taping Tools,Columbia One Tall Boy Predator Taper Body,C1TBBODY,
Columbia Taping Tools,Columbia Outside 90 Corner Applicator Head,CEXT90,824149007986
Columbia Taping Tools,Columbia Outside Bullnose Corner Roller,CBNCR,0824149008006
Columbia Taping Tools,Columbia Phantom Dustless Pole Sander,DDM,824149009362
Columbia Taping Tools,Columbia Pole Sander Head Only,CS,824149009393
Columbia Taping Tools,"Columbia Predator ""Sawed Off"" Mini Carbon Fiber Automatic Taper",SPTAPER,
Columbia Taping Tools,Columbia Carbon Fiber Automatic Taper,PREDATOR,824149009270
Columbia Taping Tools,Columbia Road Case,RC,824149009430
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 10""",SSB10,
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 12""",SSB12,824149011495
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 14""",SSB14,824149011501
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 16""",SSB16,824149011518
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 18""",SSB18,824149011525
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 24""",SSB24,824149011532
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 32""",SSB32,824149011549
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 40""",SSB40,824149011556
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 48""",SSB48,824149011563
Columbia Taping Tools,"Columbia Sabre Smoothing Blade 7""",ssb7,824149011471
Columbia Taping Tools,Columbia Semi Auto Taper Drywall Taping Tool,SAT,824149008365
Columbia Taping Tools,Columbia Semi-Automatic Starter Set,COLSEMI,810135984294
Columbia Taping Tools,"Columbia Short Matrix Flat Box Handle 29""-39""",MHS,824149010184
Columbia Taping Tools,Columbia Tactical Set with Predator Upgrade,PTS,824149010269
Columbia Taping Tools,Columbia Tall Boy Gooseneck,TBGN,824149008549
Columbia Taping Tools,Columbia Tall Boy Loading Pump,TBMP,824149008532
Columbia Taping Tools,"Columbia 2"" Nail Spotter",2NS,824149000079
Columbia Taping Tools,"Columbia 2.5"" Direct Drywall Corner Flusher",2.5DF,824149008211
Columbia Taping Tools,"Columbia 2.5"" Standard Drywall Corner Flusher with Wheels",2.5SF,824149008181
Columbia Taping Tools,"Columbia 3"" Direct Drywall Corner Flusher",3DF,824149008228
Columbia Taping Tools,"Columbia 3"" Hinged Nail Spotter",3NS,824149000116
Columbia Taping Tools,"Columbia 3"" Standard Drywall Corner Flusher with Wheels",3SF,824149008198
Columbia Taping Tools,"Columbia 3"" Widetrack Direct Drywall Corner Flusher",3WTDF,810135982528
Columbia Taping Tools,"Columbia 3.5"" Direct Drywall Corner Flusher with Wheels",3.5DF,824149008235
Columbia Taping Tools,"Columbia 3.5"" Standard Drywall Corner Flusher with Wheels",3.5SF,824149008204
Columbia Taping Tools,"Columbia 4"" Standard Drywall Corner Flusher with Wheels",4SF,824149008679
