SKU,Part Name,Brand,Status,WooCommerce Type,Price
AHR-BK-3.5,"3.5""",,UPDATE,simple,82.00
AHR-K,Columbia Angle Head Maintenance Kit,,UPDATE,simple,38.00
BH11,BH11 - Strap Connecting Pin,,UPDATE,simple,3.00
BH2,BH2 - Plate,,UPDATE,simple,41.00
BH24A,BH24A - Bearing Sleeve,,UPDATE,simple,4.00
BH26,BH26 - Cam,,UPDATE,simple,9.00
BH3,BH3 - Lower Mounting Bracket,,UPDATE,simple,33.00
BH4,BH4 - Lower Brake Lever,,UPDATE,simple,27.00
BH7,BH7 - Cam Follower,,UPDATE,simple,15.00
BH9-3,BH9-3 - Brake Connecting Strap - 3',,UPDATE,simple,27.00
