Catalog,SKU,Type,Name,Image,Filename,Reason,Action,LocalPath
products\Production\launch\wc-product-export-current.csv,4-760,simple,LEVEL5 Automatic Taper,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_01.webp,level5_4_760_01.webp,min_corner_mean=147.9;min_channel=144.7;corner_spread=107.1,removed,products\Production\launch\launch_images\level5_4_760_01.webp
products\Production\launch\wc-product-export-current.csv,4-760,simple,LEVEL5 Automatic Taper,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_02.webp,level5_4_760_02.webp,min_corner_mean=109.1;min_channel=108.3;corner_spread=145.9,removed,products\Production\launch\launch_images\level5_4_760_02.webp
products\Production\launch\wc-product-export-current.csv,4-760,simple,LEVEL5 Automatic Taper,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_09.webp,level5_4_760_09.webp,min_corner_mean=109.1;min_channel=108.3;corner_spread=145.9,removed,products\Production\launch\launch_images\level5_4_760_09.webp
products\Production\launch\wc-product-export-current.csv,4-741,simple,LEVEL5 Compound Tube,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_741_01.webp,level5_4_741_01.webp,min_corner_mean=200.1;min_channel=199.9;corner_spread=54.9,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_741_01.webp
products\Production\launch\wc-product-export-current.csv,5-311,simple,LEVEL5 Drywall Banjo,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_5_311_03.webp,level5_5_311_03.webp,min_corner_mean=232.3;min_channel=225.6;corner_spread=22.7,removed,products\Production\launch\launch_images\level5_5_311_03.webp
products\Production\launch\wc-product-export-current.csv,4-687P,simple,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_687p_01.webp,level5_4_687p_01.webp,min_corner_mean=207.8;min_channel=205.0;corner_spread=46.2,removed,products\Production\launch\launch_images\level5_4_687p_01.webp
products\Production\launch\wc-product-export-current.csv,4-687P,simple,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_733_01.webp,level5_4_733_01.webp,min_corner_mean=161.8;min_channel=161.4;corner_spread=93.2,removed,products\Production\launch\launch_images\level5_4_733_01.webp
products\Production\launch\wc-product-export-current.csv,4-687P,simple,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_734_01.webp,level5_4_734_01.webp,min_corner_mean=150.7;min_channel=150.1;corner_spread=104.3,removed,products\Production\launch\launch_images\level5_4_734_01.webp
products\Production\launch\wc-product-export-current.csv,4-687P,simple,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_5_623_01.webp,level5_5_623_01.webp,min_corner_mean=124.3;min_channel=123.4;corner_spread=125.9,removed,products\Production\launch\launch_images\level5_5_623_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_602_01.webp,level5_4_602_01.webp,min_corner_mean=211.4;min_channel=208.0;corner_spread=43.6,removed,products\Production\launch\launch_images\level5_4_602_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_733_01.webp,level5_4_733_01.webp,min_corner_mean=161.8;min_channel=161.4;corner_spread=93.2,removed,products\Production\launch\launch_images\level5_4_733_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_779_01.webp,level5_4_779_01.webp,min_corner_mean=173.3;min_channel=172.8;corner_spread=81.7,removed,products\Production\launch\launch_images\level5_4_779_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_778_01.webp,level5_4_778_01.webp,min_corner_mean=152.9;min_channel=139.9;corner_spread=102.1,removed,products\Production\launch\launch_images\level5_4_778_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_777_01.webp,level5_4_777_01.webp,min_corner_mean=138.5;min_channel=137.7;corner_spread=116.5,removed,products\Production\launch\launch_images\level5_4_777_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_600p_01.webp,level5_4_600p_01.webp,min_corner_mean=196.4;min_channel=190.1;corner_spread=39.3,removed,products\Production\launch\launch_images\level5_4_600p_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_01.webp,level5_4_760_01.webp,min_corner_mean=147.9;min_channel=144.7;corner_spread=107.1,removed,products\Production\launch\launch_images\level5_4_760_01.webp
products\Production\launch\wc-product-export-current.csv,LV5-ENTRY-FINISHING-SET,variable,LEVEL5 Entry to Automatic Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_5_623_01.webp,level5_5_623_01.webp,min_corner_mean=124.3;min_channel=123.4;corner_spread=125.9,removed,products\Production\launch\launch_images\level5_5_623_01.webp
products\Production\launch\wc-product-export-current.csv,PT-CF,variable,Platinum Angle Head Corner Finisher with Wheels,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_02.webp,platinum_pt_cf2_5_02.webp,min_corner_mean=201.1;min_channel=199.4;corner_spread=53.9,removed,products\Production\launch\launch_images\platinum_pt_cf2_5_02.webp
products\Production\launch\wc-product-export-current.csv,PT-CF,variable,Platinum Angle Head Corner Finisher with Wheels,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_05.webp,platinum_pt_cf2_5_05.webp,min_corner_mean=193.9;min_channel=191.2;corner_spread=59.9,removed,products\Production\launch\launch_images\platinum_pt_cf2_5_05.webp
products\Production\launch\wc-product-export-current.csv,PT-CF,variable,Platinum Angle Head Corner Finisher with Wheels,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_01.webp,platinum_pt_cf2_5_01.webp,min_corner_mean=201.5;min_channel=199.8;corner_spread=53.5,removed,products\Production\launch\launch_images\platinum_pt_cf2_5_01.webp
products\Production\launch\wc-product-export-current.csv,PT-CF,variable,Platinum Angle Head Corner Finisher with Wheels,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_03.webp,platinum_pt_cf2_5_03.webp,min_corner_mean=201.0;min_channel=199.1;corner_spread=54.0,removed,products\Production\launch\launch_images\platinum_pt_cf2_5_03.webp
products\Production\launch\wc-product-export-current.csv,PT-CF,variable,Platinum Angle Head Corner Finisher with Wheels,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_04.webp,platinum_pt_cf2_5_04.webp,min_corner_mean=202.9;min_channel=201.5;corner_spread=52.1,removed,products\Production\launch\launch_images\platinum_pt_cf2_5_04.webp
products\Production\launch\wc-product-export-current.csv,PT-CT,variable,Platinum Compound Tube,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_ct36_02.webp,platinum_pt_ct36_02.webp,min_corner_mean=201.3;min_channel=200.6;corner_spread=53.7,removed,products\Production\launch\launch_images\platinum_pt_ct36_02.webp
products\Production\launch\wc-product-export-current.csv,PT-CT,variable,Platinum Compound Tube,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_ct42_02.webp,platinum_pt_ct42_02.webp,min_corner_mean=151.2;min_channel=148.6;corner_spread=103.8,removed,products\Production\launch\launch_images\platinum_pt_ct42_02.webp
products\Production\launch\wc-product-export-current.csv,PT-CT,variable,Platinum Compound Tube,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_ct36_01.webp,platinum_pt_ct36_01.webp,min_corner_mean=199.8;min_channel=196.4;corner_spread=55.2,removed,products\Production\launch\launch_images\platinum_pt_ct36_01.webp
products\Production\launch\wc-product-export-current.csv,PT-BH,variable,Platinum Flat Box Handle,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_bh54_01.webp,platinum_pt_bh54_01.webp,min_corner_mean=232.0;min_channel=231.8;corner_spread=23.0,removed,products\Production\launch\launch_images\platinum_pt_bh54_01.webp
products\Production\launch\wc-product-export-current.csv,PT-BH,variable,Platinum Flat Box Handle,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_bh54_02.webp,platinum_pt_bh54_02.webp,min_corner_mean=177.4;min_channel=173.3;corner_spread=77.6,removed,products\Production\launch\launch_images\platinum_pt_bh54_02.webp
products\Production\launch\wc-product-export-current.csv,PT-FB,variable,Platinum Flat Finishing Box,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_14fb_01.webp,platinum_pt_14fb_01.webp,min_corner_mean=224.2;min_channel=223.1;corner_spread=11.3,removed,products\Production\launch\launch_images\platinum_pt_14fb_01.webp
products\Production\launch\wc-product-export-current.csv,PT-FB,variable,Platinum Flat Finishing Box,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_14fb_02.webp,platinum_pt_14fb_02.webp,min_corner_mean=231.2;min_channel=230.8;corner_spread=4.2,removed,products\Production\launch\launch_images\platinum_pt_14fb_02.webp
products\Production\launch\wc-product-export-current.csv,PT-FB,variable,Platinum Flat Finishing Box,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_14fb_03.webp,platinum_pt_14fb_03.webp,min_corner_mean=168.8;min_channel=167.3;corner_spread=8.2,removed,products\Production\launch\launch_images\platinum_pt_14fb_03.webp
products\Production\launch\wc-product-export-current.csv,PT-FB,variable,Platinum Flat Finishing Box,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_8fb_03.webp,platinum_pt_8fb_03.webp,min_corner_mean=129.3;min_channel=125.4;corner_spread=125.7,removed,products\Production\launch\launch_images\platinum_pt_8fb_03.webp
products\Production\launch\wc-product-export-current.csv,PT-FB,variable,Platinum Flat Finishing Box,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_fb12_02.webp,platinum_pt_fb12_02.webp,min_corner_mean=37.6;min_channel=19.2;corner_spread=178.7,removed,products\Production\launch\launch_images\platinum_pt_fb12_02.webp
