category_name,subcategory_or_tool,tool_title,tool_url,gallery_index,source_url,saved_path,file_size,sha256,content_type,assigned_sku,assigned_name,assignment_reason,normalized_path
Corner Rollers,Wide Outside Corner Roller,Wide Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/wide-outside-corner-roller/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/COBCRW.jpg,corner-rollers/wide-outside-corner-roller/wide-outside-corner-roller_01.jpg,130817,3d9181a261c3adc09fa63b6ed5cf408964132fe70ccfacae37feed012c1b3304,image/jpeg,COBCRW,Columbia Wide Outside Corner Roller (COBCRW),single_candidate,corner-rollers/wide-outside-corner-roller/columbia-wide-outside-corner-roller-COBCRW-01.webp
Corner Rollers,Wide Outside Corner Roller,Wide Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/wide-outside-corner-roller/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,corner-rollers/wide-outside-corner-roller/wide-outside-corner-roller_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,COBCRW,Columbia Wide Outside Corner Roller (COBCRW),single_candidate,corner-rollers/wide-outside-corner-roller/columbia-wide-outside-corner-roller-COBCRW-02.webp
Corner Rollers,European/Micro Outside Corner Roller,European/Micro Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/european-micro-outside-corner-roller/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/COBCRE.jpg,corner-rollers/european-micro-outside-corner-roller/european-micro-outside-corner-roller_01.jpg,100945,815c13046cd37d935a8281413d7303d4fa3e4ef0b08456ca209de1f71ea8c454,image/jpeg,COBCRE,Columbia European/Micro Outside Corner Roller (COBCRE),single_candidate,corner-rollers/european-micro-outside-corner-roller/columbia-european-micro-outside-corner-roller-COBCRE-01.webp
Angleheads,2″ Anglehead,2″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg,angleheads/2-anglehead/2-anglehead_01.jpg,42010,6fee8ca5b291fe7f2ae9b4aa7d6379219973376b4d1b910abcdca5d6fcfacfdb,image/jpeg,2AH,"Columbia 2"" Anglehead (2AH)",single_candidate,angleheads/2-anglehead/columbia-2-inch-anglehead-2AH-01.webp
Angleheads,2″ Anglehead,2″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg,angleheads/2-anglehead/2-anglehead_02.jpg,152693,c686d3bb839d80502862889c20ab0edd61a0c5730c6a36e83aa2134043331ced,image/jpeg,2AH,"Columbia 2"" Anglehead (2AH)",single_candidate,angleheads/2-anglehead/columbia-2-inch-anglehead-2AH-02.webp
Angleheads,2″ Anglehead,2″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/,3,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg,angleheads/2-anglehead/2-anglehead_03.jpg,57802,53acb999888872efa7e399fb82548f57d89504a4e6b6ada884c0cd0159c713bb,image/jpeg,2AH,"Columbia 2"" Anglehead (2AH)",single_candidate,angleheads/2-anglehead/columbia-2-inch-anglehead-2AH-03.webp
Angleheads,2″ Anglehead,2″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/,4,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,angleheads/2-anglehead/2-anglehead_04.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,2AH,"Columbia 2"" Anglehead (2AH)",single_candidate,angleheads/2-anglehead/columbia-2-inch-anglehead-2AH-04.webp
Angleheads,2.5″ AngleHead,2.5″ AngleHead,https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg,angleheads/2-5-anglehead/2-5-anglehead_01.jpg,52058,41243596107c1bc599c395ce82c3d5fe6a8bf538e56ad9602ae5d8cc2a5e9768,image/jpeg,2.5AH,"Columbia 2.5"" Anglehead (2.5AH)",single_candidate,angleheads/2-5-anglehead/columbia-2-5-inch-anglehead-2.5AH-01.webp
Angleheads,2.5″ AngleHead,2.5″ AngleHead,https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg,angleheads/2-5-anglehead/2-5-anglehead_02.jpg,152693,c686d3bb839d80502862889c20ab0edd61a0c5730c6a36e83aa2134043331ced,image/jpeg,2.5AH,"Columbia 2.5"" Anglehead (2.5AH)",single_candidate,angleheads/2-5-anglehead/columbia-2-5-inch-anglehead-2.5AH-02.webp
Angleheads,2.5″ AngleHead,2.5″ AngleHead,https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/,3,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg,angleheads/2-5-anglehead/2-5-anglehead_03.jpg,57802,53acb999888872efa7e399fb82548f57d89504a4e6b6ada884c0cd0159c713bb,image/jpeg,2.5AH,"Columbia 2.5"" Anglehead (2.5AH)",single_candidate,angleheads/2-5-anglehead/columbia-2-5-inch-anglehead-2.5AH-03.webp
Angleheads,2.5″ AngleHead,2.5″ AngleHead,https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/,4,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,angleheads/2-5-anglehead/2-5-anglehead_04.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,2.5AH,"Columbia 2.5"" Anglehead (2.5AH)",single_candidate,angleheads/2-5-anglehead/columbia-2-5-inch-anglehead-2.5AH-04.webp
Angleheads,3″ Anglehead,3″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg,angleheads/3-anglehead/3-anglehead_01.jpg,41372,b5cb8f81c5c50d7a7f07b0f597c4ccab091daf8f6240434e370eb5768f882463,image/jpeg,3AH,"Columbia 3"" Anglehead (3AH)",single_candidate,angleheads/3-anglehead/columbia-3-inch-anglehead-3AH-01.webp
Angleheads,3″ Anglehead,3″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg,angleheads/3-anglehead/3-anglehead_02.jpg,152693,c686d3bb839d80502862889c20ab0edd61a0c5730c6a36e83aa2134043331ced,image/jpeg,3AH,"Columbia 3"" Anglehead (3AH)",single_candidate,angleheads/3-anglehead/columbia-3-inch-anglehead-3AH-02.webp
Angleheads,3″ Anglehead,3″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/,3,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg,angleheads/3-anglehead/3-anglehead_03.jpg,57802,53acb999888872efa7e399fb82548f57d89504a4e6b6ada884c0cd0159c713bb,image/jpeg,3AH,"Columbia 3"" Anglehead (3AH)",single_candidate,angleheads/3-anglehead/columbia-3-inch-anglehead-3AH-03.webp
Angleheads,3″ Anglehead,3″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/,4,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,angleheads/3-anglehead/3-anglehead_04.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,3AH,"Columbia 3"" Anglehead (3AH)",single_candidate,angleheads/3-anglehead/columbia-3-inch-anglehead-3AH-04.webp
