schematic_id,source_json,old_name,new_name
columbia-180-grip-flat-box-handle-sch,Columbia/Schematics/Handles/FlatBoxHandle/schematic_data.json,180GRIPBOXHANDLE-SCHEMATIC.webp,columbia-180-grip-flat-box-handle-sch-schematic-page-01.webp
columbia-angle-head-sch,Columbia/Schematics/Angleheads/AngleHead/schematic_data.json,ANGLEHEAD-2014-3-SCHEMATIC.webp,columbia-angle-head-sch-schematic-page-01.webp
columbia-automatic-flat-finishing-box-sch,Columbia/Schematics/FinishingBoxes/AutomaticFlatBox/schematic_data.json,AUTO-BOX-SCHEMATIC.webp,columbia-automatic-flat-finishing-box-sch-schematic-page-01.webp
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,Columbia/Schematics/AutomaticTapers/PredatorTaper/Body/schematic_data.json,PREDATOR-TAPER-BODY-SCHEMATIC.webp,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch-schematic-page-01.webp
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,Columbia/Schematics/AutomaticTapers/PredatorTaper/Head/schematic_data.json,PREDATOR-TAPER-HEAD-SCHEMATIC.webp,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch-schematic-page-01.webp
columbia-billet-mud-applicator-external-90-cext90-sch,Columbia/Schematics/Applicators/ExternalCorner/schematic_data.json,8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp,columbia-billet-mud-applicator-external-90-cext90-sch-schematic-page-01.webp
columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,Columbia/Schematics/Applicators/InsideCornerApplicator/2Wheel/schematic_data.json,ICA1-2-SCHEMATIC.webp,columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch-schematic-page-01.webp
columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,Columbia/Schematics/Applicators/InsideCornerApplicator/4Wheel/schematic_data.json,ICA1-4-SCHEMATIC.webp,columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch-schematic-page-01.webp
columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,Columbia/Schematics/Applicators/TwoWayInternalCorner/schematic_data.json,2-WAY-INTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch-schematic-page-01.webp
columbia-box-filler-sch,Columbia/Schematics/Pumps/BoxFiller/schematic_data.json,BOX-FILLER-SCHEMATIC.webp,columbia-box-filler-sch-schematic-page-01.webp
