section,schematic_id,brand,old_model_number,new_or_current_model_number,old_model_name,new_or_current_model_name,method
unmatched,columbia-fat-boy-box,Columbia Tools,FAT-BOY-BOX,FAT-BOY-BOX,FAT BOY BOX,FAT BOY BOX,
unmatched,columbia-flat-box-hinged-schematic-2022,Columbia Tools,FLAT-BOX-HINGED-SCHEMATIC,FLAT-BOX-HINGED-SCHEMATIC,FLAT BOX HINGED SCHEMATIC 2022,FLAT BOX HINGED SCHEMATIC 2022,
unmatched,columbia-gooseneck-1-1,Columbia Tools,GOOSENECK-1-1,GOOSENECK-1-1,Gooseneck 1 1,Gooseneck 1 1,
unmatched,columbia-ica1-2-2015,Columbia Tools,ICA1-2,ICA1-2,ICA1 2 2015,ICA1 2 2015,
unmatched,columbia-ica1-4-2015,Columbia Tools,ICA1-4,ICA1-4,ICA1 4 2015,ICA1 4 2015,
unmatched,columbia-insidecornerroller-2014-1-squared,Columbia Tools,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,
unmatched,columbia-matrix-handle,Columbia Tools,MATRIX-HANDLE,MATRIX-HANDLE,MATRIX HANDLE,MATRIX HANDLE,
unmatched,columbia-matrix-head,Columbia Tools,MATRIX-HEAD,MATRIX-HEAD,MATRIX HEAD,MATRIX HEAD,
unmatched,columbia-matrix-lever-1,Columbia Tools,MATRIX-LEVER-1,MATRIX-LEVER-1,MATRIX LEVER 1,MATRIX LEVER 1,
unmatched,columbia-matrix-pinchbox-1,Columbia Tools,MATRIX-PINCHBOX-1,MATRIX-PINCHBOX-1,MATRIX PINCHBOX 1,MATRIX PINCHBOX 1,
unmatched,columbia-mud-pump-schematic-2022,Columbia Tools,MUD-PUMP-SCHEMATIC,MUD-PUMP-SCHEMATIC,MUD PUMP SCHEMATIC 2022,MUD PUMP SCHEMATIC 2022,
unmatched,columbia-nail-spotter-schematic-2022,Columbia Tools,NAIL-SPOTTER-SCHEMATIC,NAIL-SPOTTER-SCHEMATIC,NAIL SPOTTER SCHEMATIC 2022,NAIL SPOTTER SCHEMATIC 2022,
unmatched,columbia-outsidecornerrollers-2016-1,Columbia Tools,OUTSIDECORNERROLLERS-2016-1,OUTSIDECORNERROLLERS-2016-1,OutsideCornerRollers 2016 1,OutsideCornerRollers 2016 1,
unmatched,columbia-predator-taper-body,Columbia Tools,PREDATOR-TAPER-BODY,PREDATOR-TAPER-BODY,PREDATOR TAPER BODY,PREDATOR TAPER BODY,
unmatched,columbia-predator-taper-head,Columbia Tools,PREDATOR-TAPER-HEAD,PREDATOR-TAPER-HEAD,PREDATOR TAPER HEAD,PREDATOR TAPER HEAD,
unmatched,columbia-sander-head-schematic,Columbia Tools,SANDER-HEAD,SANDER-HEAD,SANDER HEAD,SANDER HEAD,
unmatched,columbia-semi-automatic-taper-schematic-2022,Columbia Tools,SEMI-AUTOMATIC-TAPER-SCHEMATIC,SEMI-AUTOMATIC-TAPER-SCHEMATIC,SEMI AUTOMATIC TAPER SCHEMATIC 2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,
unmatched,columbia-tall-boy-mud-pump-schematic-2022,Columbia Tools,TALL-BOY-MUD-PUMP-SCHEMATIC,TALL-BOY-MUD-PUMP-SCHEMATIC,TALL BOY MUD PUMP SCHEMATIC 2022,TALL BOY MUD PUMP SCHEMATIC 2022,
unmatched,columbia-tomahawk-schematic-2022,Columbia Tools,TOMAHAWK-SCHEMATIC,TOMAHAWK-SCHEMATIC,TOMAHAWK SCHEMATIC 2022,TOMAHAWK SCHEMATIC 2022,
unmatched,platinum-platinum-corner-roller-handle-page-001,Platinum Drywall Tools,PLATINUM-CORNER-ROLLER-HANDLE,PLATINUM-CORNER-ROLLER-HANDLE,PLATINUM CORNER ROLLER HANDLE PAGE 001,PLATINUM CORNER ROLLER HANDLE PAGE 001,
unmatched,platinum-flat-box,Platinum Drywall Tools,PTFB,PTFB,Platinum Flat Finishing Box,Platinum Flat Finishing Box,
unmatched,platinum-outside-corner-roller,Platinum Drywall Tools,PLATINUM-OUTSIDE-CORNERROLLER,PLATINUM-OUTSIDE-CORNERROLLER,Outside Corner Roller,Outside Corner Roller,
unmatched,platinum-compound-pump,Platinum Drywall Tools,PT-COMPOUND-PUMP,PT-COMPOUND-PUMP,Compound Pump,Compound Pump,
unmatched,tapetech-17tt-sch,TapeTech,17TT,17TT,TapeTech Corner Roller - Outside Corner,TapeTech Corner Roller - Outside Corner,
unmatched,tapetech-20ttx-sch,TapeTech,20TTX,20TTX,20TTX SCH,20TTX SCH,
unmatched,tapetech-25ttx-sch,TapeTech,25TTX,25TTX,25TTX SCH,25TTX SCH,
unmatched,tapetech-30ttx-sch,TapeTech,30TTX,30TTX,30TTX SCH,30TTX SCH,
unmatched,tapetech-35tt-sch,TapeTech,35TT,35TT,35TT SCH,35TT SCH,
unmatched,tapetech-40tt-sch,TapeTech,40TT,40TT,40TT SCH,40TT SCH,
unmatched,tapetech-45tt-sch,TapeTech,45TT,45TT,45TT SCH,45TT SCH,
unmatched,tapetech-48tt-sch,TapeTech,48TT,48TT,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable","TapeTech Corner Finisher - 3"" EasyRoll® Adjustable",
unmatched,tapetech-50tt-sch,TapeTech,50TT,50TT,50TT SCH,50TT SCH,
unmatched,tapetech-63tt-sch,TapeTech,63TT,63TT,63TT SCH,63TT SCH,
unmatched,tapetech-68tt-sch,TapeTech,68TT,68TT,68TT SCH,68TT SCH,
