status,schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,match_method,match_input,catalog_source,json_sku,json_product_name,json_title
unresolved,columbia-outsidecornerrollers-2016-1,Columbia Tools,OUTSIDECORNERROLLERS-2016-1,OUTSIDECORNERROLLERS-2016-1,OutsideCornerRollers 2016 1,OutsideCornerRollers 2016 1,,,,,,
unresolved,columbia-predator-taper-body,Columbia Tools,PREDATOR-TAPER-BODY,PREDATOR-TAPER-BODY,PREDATOR TAPER BODY,PREDATOR TAPER BODY,,,,,,
unresolved,columbia-predator-taper-head,Columbia Tools,PREDATOR-TAPER-HEAD,PREDATOR-TAPER-HEAD,PREDATOR TAPER HEAD,PREDATOR TAPER HEAD,,,,,,
unresolved,columbia-sander-head-schematic,Columbia Tools,SANDER-HEAD,SANDER-HEAD,SANDER HEAD,SANDER HEAD,,,,,,
unresolved,columbia-semi-automatic-taper-schematic-2022,Columbia Tools,SEMI-AUTOMATIC-TAPER-SCHEMATIC,SEMI-AUTOMATIC-TAPER,SEMI AUTOMATIC TAPER SCHEMATIC 2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,,,,,,
unresolved,columbia-tall-boy-mud-pump-schematic-2022,Columbia Tools,TALL-BOY-MUD-PUMP-SCHEMATIC,TALL-BOY-MUD-PUMP,TALL BOY MUD PUMP SCHEMATIC 2022,TALL BOY MUD PUMP SCHEMATIC 2022,,,,,,
unresolved,columbia-tomahawk-schematic-2022,Columbia Tools,TOMAHAWK-SCHEMATIC,TOMAHAWK,TOMAHAWK SCHEMATIC 2022,TOMAHAWK SCHEMATIC 2022,,,,,,
unresolved,platinum-platinum-corner-roller-handle-page-001,Platinum Drywall Tools,PLATINUM-CORNER-ROLLER-HANDLE,PLATINUM-CORNER-ROLLER-HANDLE,PLATINUM CORNER ROLLER HANDLE PAGE 001,PLATINUM CORNER ROLLER HANDLE PAGE 001,,,,,,
unresolved,tapetech-20ttx-sch,TapeTech,20TTX,20TTX,20TTX SCH,20TTX SCH,,,,,,
unresolved,tapetech-25ttx-sch,TapeTech,25TTX,25TTX,25TTX SCH,25TTX SCH,,,,,,
unresolved,tapetech-30ttx-sch,TapeTech,30TTX,30TTX,30TTX SCH,30TTX SCH,,,,,,
unresolved,tapetech-35tt-sch,TapeTech,35TT,35TT,35TT SCH,35TT SCH,,,,,,
unresolved,tapetech-40tt-sch,TapeTech,40TT,40TT,40TT SCH,40TT SCH,,,,,,
unresolved,tapetech-45tt-sch,TapeTech,45TT,45TT,45TT SCH,45TT SCH,,,,,,
unresolved,tapetech-50tt-sch,TapeTech,50TT,50TT,50TT SCH,50TT SCH,,,,,,
unresolved,tapetech-63tt-sch,TapeTech,63TT,63TT,63TT SCH,63TT SCH,,,,,,
unresolved,tapetech-68tt-sch,TapeTech,68TT,68TT,68TT SCH,68TT SCH,,,,,,
