ID,Type,SKU,Name,sku_norm,reason
,variation,CF25COMBO,"TapeTech Combo Corner Flusher - 2.5""",CF25COMBO,no-safe-candidate
,variation,CF30COMBO,"TapeTech Combo Corner Flusher - 3""",CF30COMBO,no-safe-candidate
,variation,CF35COMBO,"TapeTech Combo Corner Flusher - 3.5""",CF35COMBO,no-safe-candidate
,variation,CF40COMBO,"TapeTech Combo Corner Flusher - 4""",CF40COMBO,no-safe-candidate
,variable,TT-CORNER-APPLICATOR-WITH-FHTT-HANDLE,TapeTech Corner Applicator with FHTT Fiberglass Handle,TTCORNERAPPLICATORWITHFHTTHANDLE,no-safe-candidate
,variation,CA07FHTT,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""",CA07FHTT,no-safe-candidate
,variation,CA08FHTT,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""",CA08FHTT,no-safe-candidate
,variable,TT-DIRECT-CORNER-FLUSHER,TapeTech Direct Corner Flusher,TTDIRECTCORNERFLUSHER,no-safe-candidate
,variation,CF25TT,"TapeTech Direct Corner Flusher - 2.5""",CF25TT,no-safe-candidate
,variation,CF30TT,"TapeTech Direct Corner Flusher - 3""",CF30TT,no-safe-candidate
,variation,CF35TT,"TapeTech Direct Corner Flusher - 3.5""",CF35TT,no-safe-candidate
,variable,TT-EASYCLEAN-NAIL-SPOTTER-WITH-FHTT-HANDLE,TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle,TTEASYCLEANNAILSPOTTERWITHFHTTHANDLE,no-safe-candidate
,variation,NS02FHTT,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""",NS02FHTT,no-safe-candidate
,variation,NS03FHTT,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""",NS03FHTT,no-safe-candidate
,variable,TT-COMPOUND-ROLLER-WITH-FRAME,TapeTech Premium Compound Roller with Frame,TTCOMPOUNDROLLERWITHFRAME,no-safe-candidate
,variation,CROLL04CG,"TapeTech Premium Compound Roller with Frame - 4""",CROLL04CG,no-safe-candidate
,variation,CROLL09CG,"TapeTech Premium Compound Roller with Frame - 9""",CROLL09CG,no-safe-candidate
,variation,CROLL12CG,"TapeTech Premium Compound Roller with Frame - 12""",CROLL12CG,no-safe-candidate
,simple,CA07XHTT,"TapeTech 7"" Angle Box with Extendable XHTT Handle",CA07XHTT,no-safe-candidate
,simple,CA08TTXHTT,"TapeTech 8"" Angle Box with XHTT Extendable Handle",CA08TTXHTT,no-safe-candidate
,simple,15TTEXHTT,TapeTech Corner Roller with Extendable XHTT Handle,15TTEXHTT,no-safe-candidate
,simple,15TTEWHANDLE,TapeTech Corner Roller with Handle,15TTEWHANDLE,no-safe-candidate
,simple,FHTTCAATT,TapeTech Fiberglass Angle Box Handle (FHTT/CAA),FHTTCAATT,no-safe-candidate
,simple,FHTTCFA,TapeTech Fiberglass Angle Head Handle (FHTT/CFA),FHTTCFA,no-safe-candidate
,simple,14TT,TapeTech MudRunner®,14TT,no-safe-candidate
,simple,NS02WX1HDL,"TapeTech 2"" Nail Spotter with X1 Extension Handle",NS02WX1HDL,no-safe-candidate
,simple,FHTTNSA,TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA),FHTTNSA,no-safe-candidate
