action,from,to,note
rename,frontend\public\brands\wp_schematics_unified\DirectStandardFlusher-2015.webp,frontend\public\brands\wp_schematics_unified\DIRECTSTANDARDFLUSHER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\EHC07-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\EHC07-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\EHC10-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\EHC10-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\EHC12-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\EHC12-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\extendable-handle.webp,frontend\public\brands\wp_schematics_unified\EXTENDABLE-HANDLE-SCHEMATIC.webp,canonicalize
keep,frontend\public\brands\wp_schematics_unified\EXTENSION-HOUSING-SCHEMATIC-1.webp,frontend\public\brands\wp_schematics_unified\EXTENSION-HOUSING-SCHEMATIC-1.webp,already canonical
rename,frontend\public\brands\wp_schematics_unified\EZ07-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\EZ07-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\EZ10-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\EZ10-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\EZ12-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\EZ12-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\FA01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\FA01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\FAT-BOY-BOX.webp,frontend\public\brands\wp_schematics_unified\FAT-BOY-BOX-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\FBHE-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\FBHE-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\FBHE-AD-SCH-PAGE-002.webp,frontend\public\brands\wp_schematics_unified\FBHE-AD-SCHEMATIC-PAGE-002.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\FH-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\FH-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\FLAT-BOX-HINGED-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\FLAT-BOX-HINGED-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\GN01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\GN01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\Gooseneck-1-1.webp,frontend\public\brands\wp_schematics_unified\GOOSENECK-1-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\ICA1-2-2015.webp,frontend\public\brands\wp_schematics_unified\ICA1-2-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\ICA1-4-2015.webp,frontend\public\brands\wp_schematics_unified\ICA1-4-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\INSIDECORNERROLLER-2014-1-SQUARED.webp,frontend\public\brands\wp_schematics_unified\INSIDECORNERROLLER-2014-1-SQUARED-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\LP01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\LP01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\MATRIX-HANDLE.webp,frontend\public\brands\wp_schematics_unified\MATRIX-HANDLE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\MATRIX-HEAD.webp,frontend\public\brands\wp_schematics_unified\MATRIX-HEAD-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\MATRIX-LEVER-1.webp,frontend\public\brands\wp_schematics_unified\MATRIX-LEVER-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\MATRIX-PINCHBOX-1.webp,frontend\public\brands\wp_schematics_unified\MATRIX-PINCHBOX-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\MUD-PUMP-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\MUD-PUMP-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\NAIL-SPOTTER-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\NAIL-SPOTTER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\NS03-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\NS03-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\OutsideCornerRollers-2016-1.webp,frontend\public\brands\wp_schematics_unified\OUTSIDECORNERROLLERS-2016-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\PA07-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\PA07-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\PA10-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\PA10-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\PA12-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\PA12-AD-SCHEMATIC-PAGE-001.webp,canonicalize
keep,frontend\public\brands\wp_schematics_unified\PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001.png,frontend\public\brands\wp_schematics_unified\PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001.png,already canonical
rename,frontend\public\brands\wp_schematics_unified\PREDATOR-TAPER-BODY.webp,frontend\public\brands\wp_schematics_unified\PREDATOR-TAPER-BODY-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\PREDATOR-TAPER-HEAD.webp,frontend\public\brands\wp_schematics_unified\PREDATOR-TAPER-HEAD-SCHEMATIC.webp,canonicalize
keep,frontend\public\brands\wp_schematics_unified\SANDER-HEAD-SCHEMATIC.webp,frontend\public\brands\wp_schematics_unified\SANDER-HEAD-SCHEMATIC.webp,already canonical
rename,frontend\public\brands\wp_schematics_unified\SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\SEMI-AUTOMATIC-TAPER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\TALL-BOY-MUD-PUMP-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\TALL-BOY-MUD-PUMP-SCHEMATIC.webp,canonicalize
