old_schematic_id,new_schematic_id,sku,slug,source_json_path
columbia-outsidecornerrollers-2016-1,columbia-outside-corner-roller-sch,COLOUTSIDECORNERROLLER,columbia-outside-corner-roller,Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json
columbia-predator-taper-body,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,PTAPER,columbia-automatic-taper-predator-carbon-fiber-53-ptaper,Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json
columbia-predator-taper-head,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,PTAPER,columbia-automatic-taper-predator-carbon-fiber-53-ptaper,Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json
columbia-semi-automatic-taper-schematic-2022,columbia-semi-automatic-taper-sat-sch,SAT,columbia-semi-automatic-taper-sat,Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json
columbia-tomahawk-schematic-2022,columbia-tomahawk-smoothing-blade-sch,COLTOMAHAWKSMOOTHINGBLADE,columbia-tomahawk-smoothing-blade,Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\schematic_data.json
platinum-platinum-corner-roller-handle-page-001,platinum-50-corner-roller-handle-sch,PTCRH50,platinum-50-corner-roller-handle,Platinum\Schematics\CornerRollerHandle\schematic_data.json
platinum-flat-box,platinum-flat-finishing-box-sch,PTFB,platinum-flat-finishing-box,Platinum\Schematics\FlatBox\schematic_data.json
platinum-outside-corner-roller,platinum-outside-90-degree-corner-roller-sch,PTOCR,platinum-outside-90-degree-corner-roller,Platinum\Schematics\OutsideCornerRoller\schematic_data.json
platinum-compound-pump,platinum-drywall-pump-w-filler-sch,PTCP,platinum-drywall-pump-w-filler,Platinum\Schematics\CompoundPump\schematic_data.json
tapetech-07tt-sch-v11,tapetech-tapetech-lock-block-for-07tt-050212f-sch,050212F,tapetech-tapetech-lock-block-for-07tt-050212f,TapeTech\Schematics\07TT\schematic_data.json
tapetech-35tt-sch,tapetech-corner-applicator-tapetech-35tt-sch,TTCORNERAPPLICATOR,tapetech-corner-applicator,TapeTech\Schematics\35TT\schematic_data.json
tapetech-50tt-sch,tapetech-corner-applicator-tapetech-50tt-sch,TTCORNERAPPLICATOR,tapetech-corner-applicator,TapeTech\Schematics\50TT\schematic_data.json
tapetech-8054tt-sch,tapetech-flat-box-handle-sch,TTFLATBOXHANDLE,tapetech-flat-box-handle,TapeTech\Schematics\8054TT\schematic_data.json
