schematic_id,source_json_path,tool_sku,tool_name,part_count,image_count
tapetech-tapetech-lock-block-for-07tt-050212f-sch,TapeTech\Schematics\07TT\schematic_data.json,050212F,Lock Block for 07TT,326,6
tapetech-90-inside-corner-edger-tapetech-17tt-sch,TapeTech\Schematics\17TT\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,20,2
tapetech-90-inside-corner-edger-tapetech-20ttx-sch,TapeTech\Schematics\20TTX\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,53,1
tapetech-90-inside-corner-edger-tapetech-25ttx-sch,TapeTech\Schematics\25TTX\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,53,2
tapetech-90-inside-corner-edger-tapetech-30ttx-sch,TapeTech\Schematics\30TTX\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,52,1
tapetech-corner-applicator-sch,TapeTech\Schematics\35TT\schematic_data.json,TT-CORNER-APPLICATOR,TapeTech Corner Applicator,38,2
tapetech-90-inside-corner-edger-tapetech-40tt-sch,TapeTech\Schematics\40TT\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,18,2
tapetech-90-inside-corner-edger-tapetech-42tt-sch,TapeTech\Schematics\42TT\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,23,2
tapetech-90-inside-corner-edger-tapetech-45tt-sch,TapeTech\Schematics\45TT\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,20,1
tapetech-90-inside-corner-edger-tapetech-48tt-sch,TapeTech\Schematics\48TT\schematic_data.json,TTSIDECORNEREDGER,TapeTech 90° Inside Corner Edger,29,1
tapetech-corner-applicator-sch-2,TapeTech\Schematics\50TT\schematic_data.json,TT-CORNER-APPLICATOR,TapeTech Corner Applicator,32,1
tapetech-easyclean-nail-spotter-sch,TapeTech\Schematics\63TT\schematic_data.json,TTEASYCLEANNAILSPOTTER,TapeTech EasyClean® Nail Spotter,41,2
tapetech-easyclean-nail-spotter-sch-2,TapeTech\Schematics\68TT\schematic_data.json,TTEASYCLEANNAILSPOTTER,TapeTech EasyClean® Nail Spotter,44,1
tapetech-flat-box-handle-sch,TapeTech\Schematics\8054TT\schematic_data.json,TT-FLAT-BOX-HANDLE,TapeTech Flat Box Handle,23,3
