image,matched,prod_part_number,prod_name,prod_brand,schem_part_id,schem_part_sku,schem_part_name,schem_source
709007,yes,,,,"18","709007","Nut, 5/16-24 Hex.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709012,yes,,,,"37","709012","Washer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709023,yes,,,,"48","709023","CapScrew, 5/16-18 x 7/8 Hex. Hd.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709024,yes,,,,"47","709024","LockWasher, 5/16 Med.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709027,yes,,,,"39","709027","Lock Nut, 3/8-16 Flex. Loc. SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709046,yes,,,,"28","709046","Locator","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709052,yes,,,,"5","709052","Stop Nut, 1/4-20 Thin Pattern","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709055,yes,,,,"38","709055","Screw, 10-24 x 7/8 Rd. Hd. SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709056,yes,,,,"33","709056","Nut, 10-24, Hex. SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
720009,yes,,,,"25","720009","Piston Cup","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
720066F,yes,,,,"22","720066F","'O' Ring Enclosure","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
