sku,brand,name,old_price,old_price_numeric,new_price,new_price_numeric
atlc300m,Atlas Gloves,Atlas Fit with Blue Rubber Palm - Medium,,,$2.92,2.92
atl451m,Showa Best Gloves,SHOWA 451 - Medium,,,$3.58,3.58
atlkv350xl,Atlas Gloves,Atlas Cut Resistant Kevlar Glove XL,,,$8.33,8.33
atl3701m,Atlas Gloves,Atlas Lightweight Nitrile Gloves (Black/Gray) - Medium,,,$3.16,3.16
atlkv350m,Atlas Gloves,Atlas Cut Resistant Kevlar Glove Medium,,,$8.33,8.33
atlc300xl,Atlas Gloves,Atlas Fit with Blue Rubber Palm - X-Large,,,$2.92,2.92
atl300bl,Atlas Gloves,Atlas Gray/Black Coat Gloves- Large,,,$3.00,3
atl300bm,Atlas Gloves,Atlas Gray/Black Coat Gloves- Medium,,,$5.40,5.4
atlc330l,Atlas Gloves,Atlas Re-Grip with Rubber Palm - Large,,,$3.25,3.25
atlc330m,Atlas Gloves,Atlas Re-Grip with Rubber Palm - Medium,,,$3.25,3.25
atl300xxl,Atlas Gloves,Atlas Fit 300 Bulk Gloves - Gray with Blue Rubber Palm - 2XL,,,$2.92,2.92
dewdwe7800,DeWalt,DeWalt 4.7 AMP Electric Drywall Sander - Corded,,,$550.00,550
por429634,DeWalt,Clutch Assembly,,,$30.00,30
dewdw2045b,DeWalt,3 in DeWALT Magnetic Bit Tip Holder,,,$6.97,6.97
dew17684602,DeWalt,DeWALT DW274 Screw Gun Brush,,,$2.42,2.42
dewdwv010,DeWalt,8 Gallon HEPA/RRP Dust Extractor Vacuum with Automatic Filter Cleaning,,,$499.00,499
dewdck265d2,DeWalt,DeWalt 20V MAX* XRÂ® Brushless Drywall Screwgun and Cut-Out Tool Combo Kit 2.0 AH,,,$399.00,399
dewdw660,DeWalt,DeWalt Heavy-Duty Cut Out Tool,,,$65.00,65
dewdwv9402,DeWalt,Fleece Bag for DWV012 Dust Collector [5 Pack],,,$32.99,32.99
dewdw255,DeWalt,"DeWALT 5,300 RPM High Speed VSR Drywall Screwgun",,,$93.09,93.09
dewdwa8051t10,DeWalt,"4-1/2"" x .045"" x 7/8"" Metal Cut-Off Wheel-10 pack",,,$10.99,10.99
dewdw2004bl,DeWalt,"#2 Phillips 1"" Insert Bit Tips - 100 pack",,,$37.50,37.5
dewdwv9401,DeWalt,DeWALT Paper Bag for DeWALT Dust Extractors,,,$21.99,21.99
dewn402297,DeWalt,Dewalt Brush for DWE7800 Dewalt Sander,,,$10.70,10.7
dewdwa8011,DeWalt,14 in DeWALT Type 1 Metal Fast Cutting Chop Saw Wheel,,,$4.89,4.89
