brand,product_name,part_number,url,image_url,short_description,category,specifications
"Fastening Solutions, Inc.",Hammer Tacker Classic - HT550,DUOUHT550,https://www.tswfast.com/product/SOUHT550?categoryCode=brand_Fastening_Solutions_Inc,https://s3.amazonaws.com/gmscom/master/media-common/product/SOUHT550_med.jpg,,,"{""PART"": ""DUOUHT550"", ""MANUFACTURER"": ""Fastening Solutions, Inc."", ""full_description"": ""Product Details Resources Hammer Tacker Classic - HT550"", ""spec_source"": ""html""}"
Fomo Products,Handi-Foam Fireblock Foam Sealant with Straw  [24 oz.],FOMOP30192,https://www.tswfast.com/product/FOMOP30192?categoryCode=brand_FomoProducts,https://s3.amazonaws.com/tswfastcomfiles/product/FOMOP30192_M.jpg,,,"{""PART"": ""FOMOP30192"", ""MANUFACTURER"": ""Fomo Products"", ""full_description"": ""Product Details Resources Handi-Foam Fireblock Sealants are designed to seal, fill, bond and stop air infiltration. Handi-Foam is more effective than traditional fireblock materials at blocking flames and smoke. Handi-Foam Fireblock is available in straw foam, gun foam and cylinder dispensing systems. All Handi-Foam Sealants cure when ambient moisture/humidity in the air reacts with the foam sealant creating a rigid, closed cell barrier against draft, noise, moisture and air infiltration. Handi-Foam Sealants are tack free within 10 minutes and meet ASTM E84 Class 1 for caulk and sealants. Handi-Foam Fireblock is used to block the passage of flame and smoke in concealed penetrations from room to room and floor to floor in residential construction."", ""spec_source"": ""html""}"
Fomo Products,Fomo Handi-Foam Straw Foam Sealant 12 OZ.,FOMOP30002,https://www.tswfast.com/product/FOMOP30002?categoryCode=brand_FomoProducts,https://s3.amazonaws.com/gmscom/master/media-common/product/P30002_med.jpg,,,"{""PART"": ""FOMOP30002"", ""MANUFACTURER"": ""Fomo Products"", ""full_description"": ""Product Details Resources Handi-Foam Sealants are designed to seal and fill small cracks, gaps and voids. Handi-Foam sealants can be applied with a straw applicator, a professional dispensing unit or a professional hose kit (for use with cylinders). Handi-Foam Sealants are available in a variety of sizes to meet many application needs. This results in less waste on small jobs while having an economic impact on large jobs."", ""spec_source"": ""html""}"
Fomo Products,"Fomo 7"" HT550 Gun Foam Applicator",FOMOF61055,https://www.tswfast.com/product/FOMOF61055-handifoam-ht550-gun-foamapplicator?categoryCode=brand_FomoProducts,https://s3.amazonaws.com/tswfastcomfiles/product/FOMOF61055_M.jpg,,,"{""PART"": ""FOMOF61055"", ""MANUFACTURER"": ""Fomo Products"", ""full_description"": ""Product Details Resources The HT550 is a durable, intermediate dispensing unit designed for the professional contractor for frequent use. This gun allows for adjustable bead control, is solvent resistant, and includes a non-stick teflonized basket and needle valve. Features: Durable dispensing gun designed for the professional contractor Solvent resistant. Adjustable bead control."", ""spec_source"": ""html""}"
Fomo Products,Fomo Handi-Foam Fireblock Gun Foam Sealant 24 oz.,FOMOP30181,https://www.tswfast.com/product/FOMOP30181?categoryCode=brand_FomoProducts,https://s3.amazonaws.com/gmscom/master/media-common/product/Handi_Foam_med.jpg,,,"{""PART"": ""FOMOP30181"", ""MANUFACTURER"": ""Fomo Products"", ""full_description"": ""Product Details Resources Handi-FoamÂ® Sealants are designed to seal and fill small cracks, gaps and voids. Handi-FoamÂ® sealants can be applied with a straw applicator, a professional dispensing unit or a professional hose kit (for use with cylinders). Handi-Foam Sealants cure when ambient moisture/humidity in the air reacts with the foam sealant creating a rigid, closed cell barrier against draft, noise, moisture and air infiltration. Handi-Foam Sealants are tack free within 10 minutes and meet ASTM E84 Class 1 for caulk and sealants."", ""spec_source"": ""html""}"
Fomo Products,Fomo Products Handi-Foam Gun Foam Sealant 24 OZ,FOMOP30115,https://www.tswfast.com/product/FOMOP30115?categoryCode=brand_FomoProducts,https://s3.amazonaws.com/gmscom/master/media-common/product/FOMOP30115_M.jpg,,,"{""PART"": ""FOMOP30115"", ""MANUFACTURER"": ""Fomo Products"", ""full_description"": ""Product Details Resources Fomo Products Handi-Foam Gun Foam Sealant 24 OZ"", ""spec_source"": ""html""}"
Full Circle,Full Circle 360 Radius Sanding Tool,FCIR360CH,https://www.tswfast.com/product/FCR360CH?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-fullcircle_radius360_sander.jpg,,,"{""PART"": ""FCIR360CH"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Over the past 7 years, the Radius360 degree has simply changed how professionals sand paint and drywall. The 9” diameter head provides unparalleled range of motion and finish quality. Full Circle International is pleased to introduce the future of sanding. The redesigned Radius360 degree is the same great tool with the added ability to transform your pole sander to a handheld sander, or to switch out the round shape for the triangular head of the new Trigon180 degree sanding tool for detail corner sanding. The new Radius360 degree has a detachable center hub, which easily snaps in and out via a cam lock mechanism. This center hub can be snapped into the new Trigon180 degree sanding tool, or can be interchanged with the hub of the Pro Handle Adapter. Features Over the past 7 years, the Radius360 degree has simply changed how professionals sand paint and drywall. The 9” diameter head provides unparalleled range of motion and finish quality. Full Circle International is pleased to introduce the future of sanding. The redesigned Radius360 degree is the same great tool with the added ability to transform your pole sander to a handheld sander, or to switch out the round shape for the triangular head of the new Trigon180 degree sanding tool for detail corner sanding. The new Radius360 degree has a detachable center hub, which easily snaps in and out via a cam lock mechanism. This center hub can be snapped into the new Trigon180 degree sanding tool, or can be interchanged with the hub of the Pro Handle Adapter."", ""Features"": [""Over the past 7 years, the Radius360 degree has simply changed how professionals sand paint and drywall."", ""The 9” diameter head provides unparalleled range of motion and finish quality."", ""Full Circle International is pleased to introduce the future of sanding."", ""The redesigned Radius360 degree is the same great tool with the added ability to transform your pole sander to a handheld sander, or to switch out the round shape for the triangular head of the new Trigon180 degree sanding tool for detail corner sanding."", ""The new Radius360 degree has a detachable center hub, which easily snaps in and out via a cam lock mechanism."", ""This center hub can be snapped into the new Trigon180 degree sanding tool, or can be interchanged with the hub of the Pro Handle Adapter.""], ""spec_source"": ""html""}"
Full Circle,8 1/2 in Full Circle Power Pad,FCIPWRPAD,https://www.tswfast.com/product/FCIPWRPAD?categoryCode=brand_FullCircle,https://s3.amazonaws.com/gmscom/master/media-common/product/Power_Pad_med.jpg,,,"{""PART"": ""FCIPWRPAD"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources The Power Pad has a structural backing material that prevents premature tearing. This structural backing also keeps the disc totally flat when sanding; greatly reducing \""swirls\"". When using the Power Pad and Level360 sanding discs together; they are a fraction of the cost when comparing to fixed abrasive pads."", ""spec_source"": ""html""}"
Full Circle,8 3/4 in Full Circle Level360 Sanding Disc - 220 Grit,FCISD220,https://www.tswfast.com/product/FCSD220?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-FC100_D.jpg,,,"{""PART"": ""FCISD220"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Our aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking. 5 pcs/ctn"", ""spec_source"": ""html""}"
Full Circle,8 3/4 in Full Circle Level360 Sanding Disc - 150 Grit,FCISD150,https://www.tswfast.com/product/FCSD150?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-FC100_D.jpg,,,"{""PART"": ""FCISD150"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Our aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking. 5 pcs/ctn"", ""spec_source"": ""html""}"
