brand,name,sku,upc,price,price_numeric
DeWalt,Dewalt Brush for DWE7800 Dewalt Sander,DEWN402297,,$10.70,10.7
DeWalt,14 in DeWALT Type 1 Metal Fast Cutting Chop Saw Wheel,DEWDWA8011,,$4.89,4.89
DeWalt,Dewalt 20V MAX* Cordless Drywall Sander (Tool Only),DEWDCE800B,,$475.00,475
DeWalt,Steel Ball,DEW69663100,,$1.93,1.93
DeWalt,15' Anti-Static Hose for DeWalt Dust Extractor,DEWDWV9316,,$58.38,58.38
DeWalt,Belt Hook for DCF620,DEWN435687,,$4.28,4.28
DeWalt,DeWalt 10GAL Dust Extractor HEPA w/ Auto Clean,DEWDWV015,,$700.00,700
DeWalt,DeWALT Jab Saw,DEWDWHT20540,,$17.97,17.97
DeWalt,Brushes For DW130V Dewalt,DEW65521302,,$5.85,5.85
DeWalt,DeWALT 14 in Chop Saw w/ QUICK-CHANGE Keyless Blade Change System,DEWD28715,,$239.00,239
DeWalt,DeWALT 12V MAX* 3 x 360 Green Line Laser,DEWDW089LG,,$499.00,499
DeWalt,Nose Cone Assembly,DEWN435495,,$24.34,24.34
DeWalt,DeWALT 60V MAX Mixer/Drill w/ E-Clutch System Kit,DEWDCD130T1,,$449.00,449
DeWalt,DeWalt 20V MAX* Brushless Drywall Screw Gun (Tool Only),DEWDCF630B,,$165.00,165
DeWalt,DeWalt 20V Brushless Drywall Cordless Cut-Out Tool,DEWDCE555B,,$165.00,165
DeWalt,Carbon Fiber Composite Staple Gun,DEWDWHT80276,,$35.99,35.99
DeWalt,DeWalt 20V MAX* XR Trak-It C6 Gas Nailer (Bare Only),DEWDGN845B,,$290.00,290
DeWalt,DeWalt 20V MAX* XR Brushless Drywall Screwgun Kit (2.0Ah),DEWDCF630D2,,$129.00,129
DeWalt,Dewalt 20V MAX* Cordless Drywall Sander Kit,DEWDCE800P2,,$149.00,149
DeWalt,FLEXVOLTÂ® Ceramic Metal Cutoff Wheel Type 1,DEWDWAFV8918,,$249.00,249
Goldblatt,"12"" Taping Knife",GOLG05000,,$11.00,11
Goldblatt,"14"" Blue Steel Taping Knife",GOLG05003,,$10.00,10
Goldblatt,"14"" Stainless Steel Taping Knife",GOLG05644,,$12.00,12
Goldblatt,"6"" Stainless Steel Taping Knife",GOLG05636,,$5.00,5
Goldblatt,"8"" Taping Knife",GOLG05001,,$7.00,7
Goldblatt,"Goldblatt Stainless Steel Ultra Flexible Taping Knife - 10""",GOL05750,,$9.00,9
Hyde Tools,5 in HYDE Tools Flexible Black & Silver Hammer Head Joint Knife,HYD02770,,$13.00,13
Hyde Tools,6 in HYDE Tools Flexible Black & Silver Hammer Head Joint Knife,HYD02870,,$14.00,14
Hyde Tools,4 in HYDE Tools Flexible Black & Silver Hammer Head Joint Knife,HYD02570,,$12.00,12
Hyde Tools,6 in HYDE Tools Flexible Pro Stainless Joint Knife,HYD06878,,$15.25,15.25
