Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 used for variations,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 used for variations,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 used for variations,Attribute 3 global,meta: _mpn,meta:_dtb_seo_title,meta:_dtb_seo_description
variation,4-755,,Level 5 Nail Spotter (2nd Gen) with Bonus Storage Case - [4-755],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,320.00,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-754, 4-755, Automatic Taping Tools, Bonus, Level 5, level 5 nailspotter, nail spotter, nailspotter",,,,,LVL5-LEVEL-5-NAIL-SPOTTER,,,,,,2,Level 5,Size,"3""",,1,1,,,,,,,,,,,4-755,,
simple,5-392,,Level 5 Off-Set Knife Adapter - [5-392],1,0,visible,Off-Set Knife Adapter for Level 5 Offset Knives.,<p>Off-Set Knife Adapter for Level 5 Offset Knives.</p>,,,taxable,,1,,,0,0,0.5,,,,1,,,9.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-392, Level 5, Off-Set Knife Adapter, Taping & Finishing Tools, handles & accessories, offset, taping & finishing tools, taping knife",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,5-392,,
variable,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,"Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410]",1,0,visible,"These knives are lightweight, extremely comfortable in the hand, and clean up like a dream.","<p>These knives are lightweight, extremely comfortable in the hand, and clean up like a dream.</p> <ul> <li>Blade sizes available: 1.5"" / 2"" / 3” / 4” / 5” / 6” / 8” / 10”</li> <li>Manufactured from premium stainless steel for corrosion resistance.</li> <li>Patent pending full tang blade – tang goes beyond the hang hole in the handle.</li> <li>Robotically welded at four points of contact for ultimate strength and durability..</li> <li>Unique, hollow grind at mid blade ensures optimal mid-blade flex.</li> <li>Blade feels nicely “broken-in” from the first moment you use it – which means better feel for faster application rates, optimum blade control and smoother finishes.</li> <li>Precision ground blade edge.</li> <li>Ergonomically-designed handle for comfortable, all-day use on the jobsite.</li> <li>Robotically-welded handle has been mirror polished until seamless.</li> <li>Oversized integrated hang hole.</li> </ul> <ul></ul> <ul></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,,,,,,,0,Level 5,Size,"1.5"" | 2"" | 3"" | 4"" | 5"" | 6"" | 8"" | 10""",1,1,1,,,,,,,,,,,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410",,
variation,5-401,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-401],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,17.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,1,Level 5,Size,"1.5""",,1,1,,,,,,,,,,,5-401,,
variation,5-402,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-402],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,18.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,2,Level 5,Size,"2""",,1,1,,,,,,,,,,,5-402,,
variation,5-403,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-403],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,19.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,3,Level 5,Size,"3""",,1,1,,,,,,,,,,,5-403,,
variation,5-404,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-404],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,20.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,4,Level 5,Size,"4""",,1,1,,,,,,,,,,,5-404,,
variation,5-405,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-405],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,21.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,5,Level 5,Size,"5""",,1,1,,,,,,,,,,,5-405,,
variation,5-406,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-406],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,22.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,6,Level 5,Size,"6""",,1,1,,,,,,,,,,,5-406,,
variation,5-408,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-408],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,23.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,7,Level 5,Size,"8""",,1,1,,,,,,,,,,,5-408,,
variation,5-410,,Level 5 One Piece Stainless Steel Putty Knives with Welded Handle - [5-410],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,24.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-401, 5-402, 5-403, 5-404, 5-405, 5-406, 5-408, 5-410, Level 5, Taping & Finishing Tools, joint knife",,,,,LVL5-LEVEL-5-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES-WITH-WELDED-HANDLE,,,,,,8,Level 5,Size,"10""",,1,1,,,,,,,,,,,5-410,,
simple,4-746,,Level 5 Outside Corner Applicator Head (Red) - [4-746],1,0,visible,The LEVEL5 Outside Corner Applicator is a specialized tool for evenly applying compound onto 90 degree outside corners.,"<p><strong>The LEVEL5 Outside Corner Applicator is a specialized tool for evenly applying compound onto 90 degree outside corners.</strong></p> <p>Connect to any of your favorite LEVEL5 application tools, such as the MINISHOT™ Gas-Assisted Applicator Tube (#4-772), the Compound Tube (#4-741), or Corner Applicators (4-701 &amp; 4-702), and you will make quick work applying bedding mud to outside corners prior to applying bead.</p> <p>Manufactured from extruded glass-filled polymer, the LEVEL5 Outside Corner Applicator has channels for efficiency applying even ribbons of joint compound through the attachment onto both sides of the corner simultaneously. The LEVEL5 Outside Corner Applicator is longer than other competing applicator heads, which effectively eliminates ‘head flip’ when varying degrees of pressure are applied to the attachment while on the wall.</p> <p>For handle attachment, the LEVEL5 Outside Corner Applicator features an integrated universal ball socket manufactured from premium stainless steel. This socket is compatible with ball end adapters from most leading manufacturers.</p> <h3>Features</h3> <ul> <li>Extruded from durable glass-filled polymer</li> <li>Channels designed to apply the perfect amount of bedding mud to outside corners</li> <li>Longer design eliminates the tendency to ‘flip’ during use, like most competing models</li> <li>Integrated stainless steel universal ball socket for handle attachment. Fits LEVEL5 compound applicator tools, as well as those from most other leading manufacturers.</li> </ul>",,,taxable,,1,,,0,0,0.58,,,,1,,,82.00,Drywall Finishing Tools > Level 5 > Semi-Automatic Taping Tools,"4-746, Level 5, Semi Automatic Taping Tools, applicator",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,4-746,,
variable,LVL5-LEVEL-5-PRO-FLEX-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,,"Level 5 Pro Flex Curved Blade Stainless Steel Finishing Trowel - [4-988, 4-989]",1,0,visible,"LEVEL5 offers a full line of finishing trowels that are manufactured under a proprietary innovative design and strict quality manufacturing requirements in Europe. These hand trowels offer the finisher some outstanding features, including:","<p>LEVEL5 offers a full line of finishing trowels that are manufactured under a proprietary innovative design and strict quality manufacturing requirements in Europe. These hand trowels offer the finisher some outstanding features, including:</p> <ul> <li> Precision powder-coated aluminum handle mount that is rigid yet lightweight and durable.</li> <li> Robotically welded super-strong surface-mounted rivets that last longer than typical ""through-rivet"" designs.</li> <li> Premium grade, European hardened stainless steel blades</li> <li> Patented Leather Composite Handles</li> </ul> <p>LEVEL5 Trowels feature an ergonomic handle with a high impact composite core that has been overmolded with a brushed leather composite. This handle offers superior comfort, does not get slippery when wet, and is far more durable than traditional wound leather handles. The shape and position of the handle relative to the tang/blade mount ensures reduced fatigue during use. The handle height also provides adequate clearance from the blade tang so even those with larger hands can use this trowel with comfort.</p> <h3>FLEX 0.5 Curved Trowels</h3> <p>LEVEL5 FLEX 0.5 Trowels feature blades crafted using hardened 0.5mm stainless steel and deliver outstanding blade flex that reduces hand and wrist fatigue during use. These trowels leave a fantastic surface finish and are ideal for drywall joint compounds and final coats of plaster and EIFS. </p> <p>The blade on the FLEX 0.5 is mounted with premium quality, precision stainless steel rivets that are robotically welded to the blade surface. Unlike competitive models that ""tape"" the blade to a mounting platform using a double sided tape, LEVEL5 has developed a technology to weld thin steel directly to the rivets while maintaining structural integrity and flatness. The blade/rivet assembly is then press-fit to the precision aluminum tang making this the strongest 0.5mm stainless steel trowel on the market. These trowels are so strong the blade metal will tear before the rivets let loose. </p> <p>In addition, the design of the FLEX 0.5 trowels provide a wider working surface on the blade compared with other flex trowels on the market, making them easier to use with a flex and finish like no other trowel available. </p> <h3>Features</h3> <ul> <li>1/8"" concave curved blade</li> </ul> <ul></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-988, 4-989, Level 5, Taping & Finishing Tools, curved trowel, level 5 trowel, level5, stainless steel trowel, trowel",,,,,,,,,,,0,Level 5,Size,"4.75"" x 12"" Leather Handle | 4.75"" x 14"" Leather Handle",1,1,1,,,,,,,,,,,"4-988, 4-989",,
variation,4-988,,Level 5 Pro Flex Curved Blade Stainless Steel Finishing Trowel - [4-988],1,0,visible,,,,,taxable,,1,,,0,0,1,,,,1,,,54.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-988, 4-989, Level 5, Taping & Finishing Tools, curved trowel, level 5 trowel, level5, stainless steel trowel, trowel",,,,,LVL5-LEVEL-5-PRO-FLEX-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,,,,,,1,Level 5,Size,"4.75"" x 12"" Leather Handle",,1,1,,,,,,,,,,,4-988,,
variation,4-989,,Level 5 Pro Flex Curved Blade Stainless Steel Finishing Trowel - [4-989],1,0,visible,,,,,taxable,,1,,,0,0,1,,,,1,,,58.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-988, 4-989, Level 5, Taping & Finishing Tools, curved trowel, level 5 trowel, level5, stainless steel trowel, trowel",,,,,LVL5-LEVEL-5-PRO-FLEX-CURVED-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,,,,,,2,Level 5,Size,"4.75"" x 14"" Leather Handle",,1,1,,,,,,,,,,,4-989,,
simple,5-295,,Level 5 Pro Mixer Adaptor with Hex Key - [5-295],1,0,visible,Mixer Adaptor for Level 5 Pro Mixing Paddle.,<p>Mixer Adaptor for Level 5 Pro Mixing Paddle.</p>,,,taxable,,1,,,0,0,0.2,,,,1,,,12.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-295, Level 5, Taping & Finishing Tools, adapter, adaptor, level5, mixer, mixer adapter, mixing tool, pro mixer",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,5-295,,
simple,5-325,,Level 5 Professional Aluminum Hawk - [5-325],1,0,visible,"The patent-pending LEVEL5 Drywall Finishing Hawk features a hard coat, non-stick finish that is easy to clean, wear and corrosion resistant. Your trowel/knife will glide across the surface making it the smoothest hawk you’ve ever used. Made of solid extruded aluminum this hawk will hold up under extreme conditions.","<p>The patent-pending LEVEL5 Drywall Finishing Hawk features a hard coat, non-stick finish that is easy to clean, wear and corrosion resistant. Your trowel/knife will glide across the surface making it the smoothest hawk you’ve ever used.<br/>Made of solid extruded aluminum this hawk will hold up under extreme conditions.</p> <p>Developed for all-day use, the LEVEL5 Hawk features a soft-grip, ergonomic handle and durable foam pad for additional comfort. The hawk’s handle is also hollow for easy mounting on scaffold or workstations, and the handle can be easily removed for easy cleaning &amp; storage.</p> <h3>Features </h3> <ul> <li>Rounded corners for safety and comfort.</li> <li>Solid extruded aluminum construction.</li> <li>Ergonomic soft grip handle and durable foam pad for comfortable, all-day use.</li> <li>Hollow handle for mounting on scaffold or workstations.</li> <li>Handle is removable for easy cleaning and storage.</li> </ul> <ul></ul> <br/>",,,taxable,,1,,,0,0,3,,,,1,,,50.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-325, Level 5, Taping & Finishing Tools, hawk",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,5-325,,
variable,LVL5-LEVEL-5-PROFESSIONAL-MIXER,,"Level 5 Professional Mixer - [5-293, 5-294, 5-291, 5-292]",1,0,visible,"Level 5 hand tools have been built with over 20 years of feedback and input from professional finishers. Built to last with industry leading designs and high-quality materials and workmanship, these tools perform like no other. Level 5 Tools are OVER-BUILT, NOT OVER-PRICED and will exceed expectations on any drywall...","<p>Level 5 hand tools have been built with over 20 years of feedback and input from professional finishers. Built to last with industry leading designs and high-quality materials and workmanship, these tools perform like no other. Level 5 Tools are OVER-BUILT, NOT OVER-PRICED and will exceed expectations on any drywall job.</p> <ul> <li>Constructed out of sturdy carbon steel with high quality plating for corrosion protection and easy cleanup</li> <li>Industrial-quality materials and welds</li> <li>Patent-pending design reduces drag/wear on your power drill by over 20%</li> <li>Pulls material down into the center of the mixer rather than throwing it against the side of the bucket</li> <li>Filed edges won’t scrape plastic from the compound bucket</li> </ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-291, 5-292, Level 5, Taping & Finishing Tools, level 5, level5, mixer, mixing paddle, mixing tool",,,,,,,,,,,0,Level 5,Size,"13"" Length with 2"" Head | 28"" Length with 4"" Head | 32""Length with 5"" Head | 32"" Length with 7"" Head",1,1,1,,,,,,,,,,,"5-293, 5-294, 5-291, 5-292",,
variation,5-293,,Level 5 Professional Mixer - [5-293],1,0,visible,,,,,taxable,,1,,,0,0,2,,,,1,,,16.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-291, 5-292, Level 5, Taping & Finishing Tools, level 5, level5, mixer, mixing paddle, mixing tool",,,,,LVL5-LEVEL-5-PROFESSIONAL-MIXER,,,,,,1,Level 5,Size,"13"" Length with 2"" Head",,1,1,,,,,,,,,,,5-293,,
variation,5-294,,Level 5 Professional Mixer - [5-294],1,0,visible,,,,,taxable,,1,,,0,0,2,,,,1,,,27.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-291, 5-292, Level 5, Taping & Finishing Tools, level 5, level5, mixer, mixing paddle, mixing tool",,,,,LVL5-LEVEL-5-PROFESSIONAL-MIXER,,,,,,2,Level 5,Size,"28"" Length with 4"" Head",,1,1,,,,,,,,,,,5-294,,
variation,5-291,,Level 5 Professional Mixer - [5-291],1,0,visible,,,,,taxable,,1,,,0,0,2,,,,1,,,33.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-291, 5-292, Level 5, Taping & Finishing Tools, level 5, level5, mixer, mixing paddle, mixing tool",,,,,LVL5-LEVEL-5-PROFESSIONAL-MIXER,,,,,,3,Level 5,Size,"32""Length with 5"" Head",,1,1,,,,,,,,,,,5-291,,
variation,5-292,,Level 5 Professional Mixer - [5-292],1,0,visible,,,,,taxable,,1,,,0,0,2,,,,1,,,41.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-291, 5-292, Level 5, Taping & Finishing Tools, level 5, level5, mixer, mixing paddle, mixing tool",,,,,LVL5-LEVEL-5-PROFESSIONAL-MIXER,,,,,,4,Level 5,Size,"32"" Length with 7"" Head",,1,1,,,,,,,,,,,5-292,,
simple,5-651,,Level 5 Professional Stainless Steel Joint Knife Set 5-651 - [5-651],1,0,visible,"LEVEL5 Stainless Joint Knives with Soft-Grip Handles offer outstanding quality and a Lifetime Guarantee. Featuring a premium stainless steel construction, these knives are lightweight, extremely comfortable in the hand and clean up like a dream. LEVEL5 Hand Tool Sets offer professional finishers and DIYers an array...","<p>LEVEL5 Stainless Joint Knives with Soft-Grip Handles offer outstanding quality and a Lifetime Guarantee. Featuring a premium stainless steel construction, these knives are lightweight, extremely comfortable in the hand and clean up like a dream. LEVEL5 Hand Tool Sets offer professional finishers and DIYers an array of options for high-performance hand tools.</p> <h3>Features</h3> <ul> <li>Premium stainless steel blade for corrosion resistance.</li> <li>A precision hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The knife feels nicely ""broken in"" from its very first use.</li> <li>Lightweight and comfortable soft-grip handle ergonomically designed for all-day use with minimal fatigue</li> <li>Glass reinforced nylon handle core for impact resistance.</li> <li>Alloy metal hammer end for resetting nails and to counter balance for improved drop protection.</li> <li>Large hang hole and easy-peel label for convenience.</li> <li>LEVEL5 Lifetime Warranty.</li> </ul>",,,taxable,,1,,,0,0,2,,,,1,,,45.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-651, Level 5, Taping & Finishing Tools, blister, hand tool set, joint knife set, level 5 drywall tools, level 5 hand tool set, level 5 sets, level5, level5 taping knife set, taping knife set",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,5-651,,
simple,5-653,,Level 5 Professional Stainless Steel Joint Knife Set with Handle Grips 5-653 - [5-653],1,0,visible,"Level 5 drywall tools are premium grade. They are designed and built using nearly 20 years of input from professional finishers and meant for reliable, daily use on the jobsite.","<p>Level 5 drywall tools are premium grade. They are designed and built using nearly 20 years of input from professional finishers and meant for reliable, daily use on the jobsite. </p> <h3>Features</h3> <ul> <li>PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site.</li> <li>PREMIUM QUALITY | Precision hollow-grind blades provide proper flex points midway up the blade (versus near the handle). Each blade feels nicely ""broken-in"" from the first moment you use it! This means better feel for faster application rates, optimum blade control and smoother finishes. Polished for easy cleanup. Durable metal alloy hammer head for setting drywall nails.</li> <li>ERGONOMIC | Lightweight, impact resistant, full soft comfort grip handles ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon cores. Larger handle guards for better penetrating leverage and improved safety.</li> <li>GUARANTEED PERFORMANCE | Our tools are developed by professionals for professionals and guaranteed to exceed your expectations.</li> </ul>",,,taxable,,1,,,0,0,2,,,,1,,,59.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"5-404, 5-405, 5-406, 5-653, Level 5, Taping & Finishing Tools, blister, hand tool set, joint knife set, level 5 drywall tools, level 5 hand tool set, level 5 sets, level5, level5 taping knife set, taping knife set",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,5-653,,
simple,4-959,,Level 5 Replacement Aluminum-Body Skimming Blade End Caps - [4-959],1,0,visible,LEVEL5 skimming blade replacement end caps clip onto either end of any LEVEL5 aluminum-body skimming blade.,"<p>LEVEL5 skimming blade replacement end caps clip onto either end of any LEVEL5 aluminum-body skimming blade.</p> <p>If you have misplaced or damaged your skimming blade end caps, this set of two LEVEL5 skimming blade end caps will quickly and easily replace your old ones.</p> <p>Drywall skimming blade end caps assist in holding the replaceable stainless steel blade insert in place. They also ensure that the LEVEL5 skimming blade is easy to clean - the caps prohibit mud from entering the extruded aluminum housing during use.</p> <p>LEVEL5 skimming blade end caps are comprised of durable nylon composite. This set includes both a left and right end cap.</p>",,,taxable,,1,,,0,0,,,,,1,,,15.00,Drywall Finishing Tools > Level 5 > Parts,"4-959, Level 5, Parts, clearance",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,4-959,,
variable,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,"Level 5 Replacement Skimming Blade - [4-949, 4-951, 4-950, 4-952, 4-953, 4-954, 4-955, 4-956]",1,0,visible,Replacement blade only.,<p>Replacement blade only.</p> <ul></ul>,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,,,,,,,0,Level 5,Size,"7"" | 10"" | 14"" | 16"" | 24"" | 32"" | 40"" | 48""",1,1,1,,,,,,,,,,,"4-949, 4-951, 4-950, 4-952, 4-953, 4-954, 4-955, 4-956",,
variation,4-949,,Level 5 Replacement Skimming Blade - [4-949],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,18.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,1,Level 5,Size,"7""",,1,1,,,,,,,,,,,4-949,,
variation,4-951,,Level 5 Replacement Skimming Blade - [4-951],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,23.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,2,Level 5,Size,"10""",,1,1,,,,,,,,,,,4-951,,
variation,4-950,,Level 5 Replacement Skimming Blade - [4-950],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,28.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,3,Level 5,Size,"14""",,1,1,,,,,,,,,,,4-950,,
variation,4-952,,Level 5 Replacement Skimming Blade - [4-952],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,31.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,4,Level 5,Size,"16""",,1,1,,,,,,,,,,,4-952,,
variation,4-953,,Level 5 Replacement Skimming Blade - [4-953],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,37.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,5,Level 5,Size,"24""",,1,1,,,,,,,,,,,4-953,,
variation,4-954,,Level 5 Replacement Skimming Blade - [4-954],1,0,visible,,,,,taxable,,0,,,0,0,5,,,,1,,,50.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,6,Level 5,Size,"32""",,1,1,,,,,,,,,,,4-954,,
variation,4-955,,Level 5 Replacement Skimming Blade - [4-955],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,59.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,7,Level 5,Size,"40""",,1,1,,,,,,,,,,,4-955,,
variation,4-956,,Level 5 Replacement Skimming Blade - [4-956],1,0,visible,,,,,taxable,,1,,,0,0,5,,,,1,,,64.00,Drywall Finishing Tools > Level 5 > Taping & Finishing Tools,"4-949, 4-950, 4-951, 4-952, 4-953, 4-954, 4-955, 4-956, Level 5, Taping & Finishing Tools, smoothing blade",,,,,LVL5-LEVEL-5-REPLACEMENT-SKIMMING-BLADE,,,,,,8,Level 5,Size,"48""",,1,1,,,,,,,,,,,4-956,,
simple,4-839,,Level 5 Retainer Conversion Kit - [4-839],1,0,visible,Fits LEVEL5 Corner Finishers (All Models),<p>Fits LEVEL5 Corner Finishers (All Models)</p> <p> </p>,,,taxable,,1,,,0,0,0.01,,,,1,,,43.00,Drywall Finishing Tools > Level 5 > Parts,"4-839, Level 5, Level 5 Parts, Parts",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,4-839,,
simple,7094,,Level 5 Spring Drive Dog - [7094],1,0,visible,Spring Drive Dog,<p>Spring Drive Dog</p> <p>Compatible with: 4-760</p>,,,taxable,,1,,,0,0,,,,,1,,,3.14,Drywall Finishing Tools > Level 5 > Parts,"Level 5, Level 5 Automatic Taper Parts, Parts",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,7094,,
simple,7269,,Level 5 Drive Dog Body - [7269],1,0,visible,Drive Dog Body,<p>Drive Dog Body</p> <p>Compatible with: 4-760</p>,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Level 5 > Parts,"Level 5, Level 5 Automatic Taper Parts, Parts",,,,,,,,,,,0,Level 5,,,,,,,,,,,,,,,,7269,,
