category_name,family_name,family_type,attribute_name,member_count,member_titles,member_urls,variant_count,variants_json
Hand Tools,Finishing Hawks,single-page,,1,Finishing Hawks,https://www.columbiatools.com/columbia-tools/hand-tools/finishing-hawks/,0,[]
Hand Tools,Mud Pans,single-page,Size,1,Mud Pans,https://www.columbiatools.com/columbia-tools/hand-tools/mud-pans/,3,"[{""label"": ""12” Columbia Mud Pan 6 Pack"", ""sku"": ""C12MP-6""}, {""label"": ""14” Columbia Mud Pan 6 Pack"", ""sku"": ""C14MP-6""}, {""label"": ""16” Columbia Mud Pan 6 Pack"", ""sku"": ""C16MP-6""}]"
Hand Tools,Putty Knives,single-page,,1,Putty Knives,https://www.columbiatools.com/columbia-tools/hand-tools/putty-knives/,0,[]
Hand Tools,Taping Knives,single-page,Size,1,Taping Knives,https://www.columbiatools.com/columbia-tools/hand-tools/one-piece-putty-knives-copy/,4,"[{""label"": ""8” Columbia Taping Knife"", ""sku"": ""CTK8""}, {""label"": ""10” Columbia Taping Knife"", ""sku"": ""CTK10""}, {""label"": ""12” Columbia Taping Knife"", ""sku"": ""CTK12""}, {""label"": ""14” Columbia Taping Knife"", ""sku"": ""CTK14""}]"
Hand Tools,Trowels,single-page,Size,1,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,11,"[{""label"": ""12″ GOLD FINISHING TROWEL"", ""sku"": ""12-4.7-0.7-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL"", ""sku"": ""14-4.7-0.7-G-C""}, {""label"": ""16″ GOLD FINISHING TROWEL"", ""sku"": ""16-4.7-0.7-G-C""}, {""label"": ""18″ GOLD FINISHING TROWEL"", ""sku"": ""18-4.7-0.7-G-C""}, {""label"": ""12″ GOLD CURVE TROWEL"", ""sku"": ""12-4.7-0.7-G-C-C""}, {""label"": ""14″ GOLD CURVE TROWEL"", ""sku"": ""14-4.7-0.7-G-C-C""}, {""label"": ""16″ GOLD CURVE TROWEL"", ""sku"": ""16-4.7-0.7-G-C-C""}, {""label"": ""12″ SILVER CURVE TROWEL"", ""sku"": ""12-4.7-0.4-S-C-C""}, {""label"": ""14″ SILVER CURVE TROWEL"", ""sku"": ""14-4.7-0.4-S-C-C""}, {""label"": ""12″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""12-4.3-0.3-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""14-4.3-0.3-G-C""}]"
Handles,Closet Monster Flat Box Handle,single-page,,1,Closet Monster Flat Box Handle,https://www.columbiatools.com/columbia-tools/handles/closet-monster-flat-box-handle/,0,[]
Handles,Columbia One,single-page,Size,1,Columbia One,https://www.columbiatools.com/columbia-tools/handles/columbia-one/,3,"[{""label"": ""1\"""", ""sku"": ""C1H""}, {""label"": ""1\"""", ""sku"": ""C1HEXT""}, {""label"": ""1\"""", ""sku"": ""C1HS""}]"
Handles,Flat Box Handle,single-page,,1,Flat Box Handle,https://www.columbiatools.com/columbia-tools/handles/flat-box-handle/,0,[]
Handles,Long Extendible Handle,single-page,,1,Long Extendible Handle,https://www.columbiatools.com/columbia-tools/handles/long-extendible-handle/,1,"[{""label"": ""Long Extendible Handle"", ""sku"": ""CHXL""}]"
Handles,The Matrix Box Handles,single-page,Size,1,The Matrix Box Handles,https://www.columbiatools.com/columbia-tools/handles/the-matrix-box-handles/,3,"[{""label"": ""29\"""", ""sku"": ""MHS""}, {""label"": ""39\"""", ""sku"": ""MH""}, {""label"": ""40\"""", ""sku"": ""MHL""}]"
