group_id,canonical_file,file_name,duplicate_type,file_size,width,height,rmse_to_canonical,p999_to_canonical,already_hardlinked
group-0047,tapetech-056133-01.webp,tapetech-056133-02.webp,duplicate,19928,1200,1200,0.504362,6,no
group-0048,tapetech-059010D-01.webp,tapetech-059010D-01.webp,canonical,3436,500,500,0.0,0,no
group-0048,tapetech-059010D-01.webp,tapetech-059010D-02.webp,duplicate,3412,500,500,0.486361,7,no
group-0049,tapetech-059044-01.webp,tapetech-059044-01.webp,canonical,9094,500,500,0.0,0,no
group-0049,tapetech-059044-01.webp,tapetech-059044-02.webp,duplicate,9212,500,500,0.844838,7,no
group-0050,tapetech-059225-01.webp,tapetech-059225-01.webp,canonical,9020,500,500,0.0,0,no
group-0050,tapetech-059225-01.webp,tapetech-059225-02.webp,duplicate,9098,500,500,0.875095,7,no
group-0051,tapetech-059227-01.webp,tapetech-059227-01.webp,canonical,8498,500,500,0.0,0,no
group-0051,tapetech-059227-01.webp,tapetech-059227-02.webp,duplicate,8602,500,500,0.799479,7,no
group-0052,tapetech-07TT-052404B-01.webp,tapetech-07TT-052404B-01.webp,canonical,26652,1200,1200,0.0,0,no
group-0052,tapetech-07TT-052404B-01.webp,tapetech-07TT-052404B-02.webp,duplicate,26832,1200,1200,0.586145,5,no
group-0053,tapetech-07TT-52036-01.webp,tapetech-07TT-52036-01.webp,canonical,59638,1200,1200,0.0,0,no
group-0053,tapetech-07TT-52036-01.webp,tapetech-07TT-52036-02.webp,duplicate,59348,1200,1200,0.829576,7,no
group-0054,tapetech-07TT-52051-01.webp,tapetech-07TT-52051-01.webp,canonical,11170,1200,1200,0.0,0,no
group-0054,tapetech-07TT-52051-01.webp,tapetech-07TT-52051-02.webp,duplicate,11286,1200,1200,0.397567,5,no
group-0055,tapetech-07TT-52052-01.webp,tapetech-07TT-52052-01.webp,canonical,21498,1200,1200,0.0,0,no
group-0055,tapetech-07TT-52052-01.webp,tapetech-07TT-52052-02.webp,duplicate,21484,1200,1200,0.476403,5,no
group-0056,tapetech-07TT-52226-01.webp,tapetech-07TT-52226-01.webp,canonical,33350,1200,1200,0.0,0,no
group-0056,tapetech-07TT-52226-01.webp,tapetech-07TT-52226-02.webp,duplicate,33492,1200,1200,0.614129,6,no
group-0057,tapetech-07TT-59331-01.webp,tapetech-07TT-59331-01.webp,canonical,10078,1200,1200,0.0,0,no
group-0057,tapetech-07TT-59331-01.webp,tapetech-07TT-59331-02.webp,duplicate,10082,1200,1200,0.354411,5,no
group-0058,tapetech-10-203010-01.webp,tapetech-10-203010-01.webp,canonical,4448,500,500,0.0,0,no
group-0058,tapetech-10-203010-01.webp,tapetech-10-203010-02.webp,duplicate,4436,500,500,0.507704,6,no
