brand,image_file,extension,image_body,normalized_key,sequence,assigned_product_count,assigned_skus,assigned_types,assignment_statuses,assignment_methods,coverage_status,suggested_product_count,suggested_skus,suggested_types,suggested_names,suggestion_scores
columbia,columbia-AH3-2-5-02.webp,.webp,AH3-2-5,ah3-2-5,2,1,AH3-2-5,simple,mapped,direct_sku,mapped,3,AH3-2-5 | AH-3-3IN | AH3-2,simple | simple | simple,"2.5"" Top Blade - | AH3 - 3 - 3"" Top Blade - | 2"" Top Blade -",100 | 85 | 85
columbia,columbia-AH3-3-02.webp,.webp,AH3-3,ah3-3,2,1,AH3-3,simple,mapped,direct_sku,mapped,3,AH3-3 | AH-3-3IN | AH3-3-5,simple | simple | simple,"3"" Top Blade - | AH3 - 3 - 3"" Top Blade - | 3.5"" Top Blade -",100 | 85 | 85
columbia,columbia-AH3-3-5-02.webp,.webp,AH3-3-5,ah3-3-5,2,1,AH3-3-5,simple,mapped,direct_sku,mapped,3,AH3-3-5 | AH-3-3IN | AH3-3,simple | simple | simple,"3.5"" Top Blade - | AH3 - 3 - 3"" Top Blade - | 3"" Top Blade -",100 | 85 | 85
columbia,columbia-AH4-02.webp,.webp,AH4,ah4,2,1,AH4,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-AH5-02.webp,.webp,AH5,ah5,2,1,AH5,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-AH6A-02.webp,.webp,AH6A,ah6a,2,1,AH6A,simple,mapped,direct_sku,mapped,1,AH6A,simple,Funnel Retainer Clip -,100
columbia,columbia-AH7-2-02.webp,.webp,AH7-2,ah7-2,2,1,AH7-2,simple,mapped,direct_sku,mapped,3,AH7-2 | AH-7-2-5IN | AH-7-3IN,simple | simple | simple,"Frame Tension Spring - 2"" - | AH7 - 2.5 - Frame Tension Spring - 2.5"" - | AH7 - 3 - Framer Tention Spring - 3"" -",100 | 85 | 85
columbia,columbia-AH7-2-5-02.webp,.webp,AH7-2-5,ah7-2-5,2,1,AH7-2-5,simple,mapped,direct_sku,mapped,3,AH7-2-5 | AH-7-2-5IN | AH-7-3IN,simple | simple | simple,"Frame Tension Spring - 2.5"" - | AH7 - 2.5 - Frame Tension Spring - 2.5"" - | AH7 - 3 - Framer Tention Spring - 3"" -",100 | 85 | 85
columbia,columbia-AH7-3-02.webp,.webp,AH7-3,ah7-3,2,1,AH7-3,simple,mapped,direct_sku,mapped,3,AH7-3 | AH-7-2-5IN | AH-7-3IN,simple | simple | simple,"Framer Tention Spring - 3"" - | AH7 - 2.5 - Frame Tension Spring - 2.5"" - | AH7 - 3 - Framer Tention Spring - 3"" -",100 | 85 | 85
columbia,columbia-AH7-3-5-02.webp,.webp,AH7-3-5,ah7-3-5,2,1,AH7-3-5,simple,mapped,direct_sku,mapped,3,AH7-3-5 | AH-7-2-5IN | AH-7-3IN,simple | simple | simple,"Frame Tension Spring - 3.5"" - | AH7 - 2.5 - Frame Tension Spring - 2.5"" - | AH7 - 3 - Framer Tention Spring - 3"" -",100 | 85 | 85
columbia,columbia-AH8-02.webp,.webp,AH8,ah8,2,1,AH8,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-AH8A-02.webp,.webp,AH8A,ah8a,2,1,AH8A,simple,mapped,direct_sku,mapped,2,AH8A | AH8,simple | simple,"Top Retainer Corner Clip - 3.5"" or All Sizes Post 2014 - | Top Retainer Corner Clip -",100 | 85
columbia,columbia-AH9-02.webp,.webp,AH9,ah9,2,1,AH9,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-AH9A-02.webp,.webp,AH9A,ah9a,2,1,AH9A,simple,mapped,direct_sku,mapped,2,AH9A | AH9,simple | simple,"Bottom Retainer Corner Clip - 3.5"" or All Sizes Post 2014 - | Bottom Retainer Corner Clip -",100 | 85
columbia,columbia-AHA-01.webp,.webp,AHA,aha,1,0,,,,,orphan,0,,,,
columbia,columbia-automatic-flat-boxes-01.webp,.webp,automatic-flat-boxes,automatic-flat-boxes,1,1,COL-AUTOMATIC-FLAT-BOX,variable,mapped,manual_override,mapped,0,,,,
columbia,columbia-BF-01.webp,.webp,BF,bf,1,1,BF,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH1-02.webp,.webp,BH1,bh1,2,1,BH1,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH1-03.webp,.webp,BH1,bh1,3,1,BH1,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH11-02.webp,.webp,BH11,bh11,2,1,BH11,simple,mapped,direct_sku,mapped,2,BH11 | BH1,simple | simple,Strap Connecting Pin - | Mounting Plate -,100 | 85
columbia,columbia-BH2-02.webp,.webp,BH2,bh2,2,1,BH2,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH24A-02.webp,.webp,BH24A,bh24a,2,1,BH24A,simple,mapped,direct_sku,mapped,2,BH24A | BH2,simple | simple,Bearing Sleeve - | Plate -,100 | 85
columbia,columbia-BH26-02.webp,.webp,BH26,bh26,2,1,BH26,simple,mapped,direct_sku,mapped,2,BH26 | BH2,simple | simple,Cam - | Plate -,100 | 85
columbia,columbia-BH3-02.webp,.webp,BH3,bh3,2,1,BH3,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH4-02.webp,.webp,BH4,bh4,2,1,BH4,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH5-02.webp,.webp,BH5,bh5,2,1,BH5,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH5-03.webp,.webp,BH5,bh5,3,1,BH5,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH6-02.webp,.webp,BH6,bh6,2,1,BH6,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH6-03.webp,.webp,BH6,bh6,3,1,BH6,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-BH7-02.webp,.webp,BH7,bh7,2,1,BH7,simple,mapped,direct_sku,mapped,0,,,,
