SKU,Parent SKU,Type,Name,Categories,Brand,Regular price
CF-8,,simple,Corner Flusher Wheel Cap (CF8),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-TA,,simple,Corner Flusher Taper Adapter (CFTA),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-TS-3-5IN,,simple,"Tension Spring 3.5"" - Flusher (CF5 - 3.5)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CF1A,,simple,Direct Plate - Flusher (CF1B),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF1B,,simple,Direct Plate - Flusher (CF1B),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF2,,simple,Corner Flusher Wheel Retainer (CF2),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF3,,simple,Skid - Flusher (CF3),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF3A,,simple,Screw for Corner Flusher Wheel (CF3A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF3B,,simple,Wheel for Corner Flusher (CF - 3B),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF4L,,simple,Ball Spring Long Flusher (CF4L),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF5-3-5IN,,simple,"Tension Spring 3.5"" - Flusher (CF5 - 3.5)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB1-8IN,,simple,Rear Plate 8 in (CFB1 - 8),Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB19,,simple,Angle Box Nylatron Bushing (CFB - 19),Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB1A,,simple,Angle Box Hinge Seal (CFB - 1A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB2-8IN,,simple,"8"" Roll Face (CFB28)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB3-8IN,,simple,"CFB3 - 8 - Side Plate 8""",Drywall Finishing Tools > Columbia > Parts,Columbia,40.0
CFB4-8IN,,simple,"CFB4 - 8 - Door 8""",Drywall Finishing Tools > Columbia > Parts,Columbia,14.0
CFB5A,,simple,Corner Box Cone Ball End (Large),Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB5C,,simple,Corner Box Cone Ball End (Standard),Drywall Finishing Tools > Columbia > Parts,Columbia,
CFB7-8IN,,simple,"CFB7 - 8 - Door Gasket 8""",Drywall Finishing Tools > Columbia > Parts,Columbia,40.0
CFB8A,,simple,ONE Angle Box Door Adaptor #14499 (CFB8A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CFBH,,simple,Columbia 4' Fixed Length Aluminum Corner Flusher Box Handle (Old Style),Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,44.0
CLT-12,,simple,Cam Lock Tube Locking Sleeve (CLT12),Drywall Finishing Tools > Columbia > Parts,Columbia,
CLT-13,,simple,Cam Lock Tube Cam Body (CLT13),Drywall Finishing Tools > Columbia > Parts,Columbia,
CLT-14,,simple,Cam Lock Tube Locking Pin (CLT14),Drywall Finishing Tools > Columbia > Parts,Columbia,
CLT-16,,simple,Cam Lock Tube End Cap (CLT16),Drywall Finishing Tools > Columbia > Parts,Columbia,
CLT-BF,,simple,Columbia Cam Lock Tube Box Filler,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,66.0
CLT15,,simple,Cam Lock Tube Return Spring (CLT15),Drywall Finishing Tools > Columbia > Parts,Columbia,
CLTHA,,simple,Columbia Tomalock Adaptor,Drywall Finishing Tools > Columbia > Handles & Extensions,Columbia,94.0
CMH,,simple,Columbia Closet Monster Flat Box Handle,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,115.0
CMH-2,,simple,"Closet Monster 18"" Flat Box Handle (CMH)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CMH-8,,simple,"Closet Monster 18"" Flat Box Handle (CMH)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT-1-24,,simple,Barrel Main Body 24 in (CMT1 - 24),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT-1A-22,,simple,Draw Tube 22 in (CMT1A - 22),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT1-24IN,,simple,Barrel Main Body 24 in (CMT1 - 24),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT1A-24IN,,simple,"Draw Tube - 24"" (CMT1A - 24)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT2,,simple,Cone insert(Bottom),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT4,,simple,Plunger Housing (CMT4),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT5,,simple,Plastic Handle Collar (CMT5),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT6,,simple,Cone insert(Top),Drywall Finishing Tools > Columbia > Parts,Columbia,
CMT8,,simple,Mastic Tube Washer (CMT8),Drywall Finishing Tools > Columbia > Parts,Columbia,
CPFGN,,simple,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,275.0
CPT125B,,simple,Teflon Threaded Insert (CPT125B),Drywall Finishing Tools > Columbia > Parts,Columbia,
CR-2A,,simple,Corner Roller (CR),Drywall Finishing Tools > Columbia > Parts,Columbia,
CR-2B,,simple,Corner Roller (CR),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT-140,,simple,Predator Taper Tape Advance Plate (CT140),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT00,,simple,Predator Taper Head Cover Plate (CT00),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT02,,simple,Predator Taper Insert Bushing (CT02),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT03,,simple,Predator Taper Left Insert Bushing (CT03),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT054,,simple,Predator Taper Toe Kicker Rail (CT054),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT10,,simple,Taper Crimping Arm Bushing Right (CT10),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT106A,,simple,Taper Bearing Shaft - CT106 (CT - 106A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT10I,,simple,Taper Crimping Arm Bushing Right (CT10),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT110,,simple,Piston Cup Relief Washer (CT110),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT114,,simple,Predator Taper Locking Block (CT114),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT115A,,simple,Taper Gasket New Style End Ring (CT115A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT117A,,simple,Base - New (CT117A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT118A,,simple,Retaining Spring Clip(Quick Realease),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT119A,,simple,Spool Retaining Spring (CT - 119),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT12,,simple,Tape Advance Release Bracket (CT12),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT121B,,simple,Tape Spool Shaft (Quick Release),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT122A,,simple,Taper Strap - CT122 (CT - 122A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT123A,,simple,Taper Retaining Spring Shaft (CT - 123),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT124A,,simple,Grip Guard Ring Top (CT124A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT124B,,simple,Grip Guard Ring Bottom (CT124B),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT126PA,,simple,Hand Grip Body Pump Action (CT126PA),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT128A,,simple,Taper Shaft Guide Roller Bushing (CT128A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT154,,simple,Predator Taper Cam Roller (CT154),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT15A,,simple,Old Style Ratchet Rod (CT15A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT17,,simple,Separation Plate (CT17),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT18,,simple,Predator Taper Guide Bracket (CT18),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT1R,,simple,Head (No Holes for Cap) (CT1R),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT22,,simple,Taper Brass Bracket (CT22),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT23,,simple,Reinforcing Rod (CT23),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT24,,simple,Predator Taper Brass Bushing (CT24),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT240-DL,,simple,Predator Taper Deep Lever Assembly (CT240 - DL),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT34,,simple,Cover Plate Attachment Block (CT34),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT34CL,,simple,Cam Lock Cap Side Block (CT34 - CL),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT364,,simple,Predator Taper Knife Guide Bracket (CT364),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT39,,simple,Taper Knife Return Spring (CT39),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT49,,simple,Taper Crimping Arm Right (CT49),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT52,,simple,Predator Taper Spacer Bar (CT52),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT59,,simple,Magnet (CT59),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT6,,simple,Taper Side Plate Right (CT - 6),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT624,,simple,Predator Taper Needle Shaft Assembly (CT624),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT66,,simple,Taper Drive Drum (CT66),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT69,,simple,Predator Taper Drive Cam (CT69),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT6R,,simple,Taper Side Plate Right - CT6 (CT - 6),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT7,,simple,Side Plate Support  Right (CT7),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT711A,,simple,Predator Taper Crimping Arm Bearing (CT711A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT726,,simple,Predator Taper Drive Chain Predator (CT726),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT74,,simple,Predator Taper Cable Guide Pulley (CT74),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT741A,,simple,Predator Taper Cutter Block Clamp (CT741A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT747,,simple,Predator Taper Crimping Wheel Bushing (CT747),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT759,,simple,Predator Taper Hollow Shaft Predator (CT759),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT765,,simple,Predator Taper Manual Drive Grip (CT765),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT768,,simple,Predator Taper Clutch Lever (CT768),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT771,,simple,Predator Taper Drive Sprocket Small (CT771),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT776,,simple,Predator Taper Drive Sprocket Large (CT776),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT77S,,simple,Taper Drive Sprocket Large (CT - 77),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT790,,simple,Predator Taper Rod Sleeve Housing (CT790),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT794,,simple,Predator Taper Mud Shut Off Upper Plate (CT794),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT8,,simple,Side Plate Support  Left (CT8),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT840,,simple,Predator Taper Control Valve Body (CT840),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT87-CL,,simple,Cam Lock Taper Cap (CT87 - CL),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT87-CS,,simple,Rubber Seal,Drywall Finishing Tools > Columbia > Parts,Columbia,7.0
CT93,,simple,Taper Mud Shut Off Lever Arm (CT93),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT94,,simple,Mud Shut - Off Upper Plate (CT94),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT95,,simple,Control Valve (CT95),Drywall Finishing Tools > Columbia > Parts,Columbia,
CT99,,simple,Removable Cover Plate Pin (CT - 99),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTA128,,simple,Predator Taper Shaft Guide Roller Bushing Assembly (CTA128),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTA1A,,simple,Predator Taper Cutter Block Assembly (CTA1A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTS6,,simple,Carriage Guide Rod Stop (CT56),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTS6A,,simple,Carriage Guide Rod Stop A (CT56A),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTS9,,simple,Magnet (CT59),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTSAA,,simple,Predator Taper Side Assembly Left (CTSAA),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTSS,,simple,Carriage Guide Rod (CT55),Drywall Finishing Tools > Columbia > Parts,Columbia,
CTYS,,simple,Predator Taper Y - Cam Spring (CTYS),Drywall Finishing Tools > Columbia > Parts,Columbia,
EA-CLS,,simple,Predator Taper Cam Lock Sleeve (EA:CLS),Drywall Finishing Tools > Columbia > Parts,Columbia,
EA200,,simple,Predator Taper External Adapter 200 (EA200),Drywall Finishing Tools > Columbia > Parts,Columbia,
ER2LT,,simple,Predator Taper Tension Rod Left (ER2LT),Drywall Finishing Tools > Columbia > Parts,Columbia,
EXT35,,simple,Extension Tube 35 in (EXT35),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-266,,simple,"8 - 32 X 1"" Flat Head Screw (FA266)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-279,,simple,10 - 24 X 1 - 1/4in Hex Bolt (FA279),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-319,,simple,3/8 - 16 Hex Nut (FA319),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-321,,simple,3/8 - 16 x 3/4 Socket Head Screw (FA321),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-325,,simple,3/8 - 16 x 1 - 1/2 Socket Head Screw (FA325),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-326,,simple,Rivet - Flusher (FA326),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-347,,simple,1/4 - 20 Nyloc Nut (FA347),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-348,,simple,1/4 Flat Washer (FA348),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-383,,simple,1/4 - 20 x 3/8 Flat Head Screw (FA383),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA-S26,,simple,6 - 32 x 1/4 Set Screw (FA S26),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA20A,,simple,4 - 40 x 3/16 Flat Head Screw (FA20A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA21A,,simple,4 - 40 X 1/2 in Fill. Head Screw (FA219),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA221,,simple,#6 Belleville Washer (FA221),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA22K,,simple,4 - 40 Nyloc Nut (FA22K),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA242,,simple,6 - 32 x 3/8 Pan Head Screw (FA242),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA263,,simple,8 - 32 x 5/8 Flat Head Screw (FA263),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA27A,,simple,6 - 32 x 1/4 Pan Head Screw (FA27A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA28,,simple,#8 Lock Washer (FA28),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA283,,simple,"4 - 40 X 3/4"" Hex Bolt (FA283)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FA284,,simple,3/16 x 3/8 SS Pop Rivet (FA284),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA285,,simple,"1/4"" Plastic Washer (FA285)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FA287,,simple,1/4 x 5/8 Split Pin (FA287),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA290,,simple,1/4 - 20 Nyloc Nut (FA290),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA2AS,,simple,1/4 in Plastic Washer (FA285),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA2J0,,simple,#10 Belleville Washer (FA280),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA2L3,,simple,"4 - 40 X 3/4"" Hex Bolt (FA283)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FA304,,simple,5/16 Flat Washer (FA - 304),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA309,,simple,5/16 - 18 x 1/2 Socket Head Screw (FA309),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA314,,simple,10 - 24 X 1 - 1/2 Pan Slot (FA314),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA318,,simple,3/8 - 16 x 1 - 1/4 Hex Bolt (FA318),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA323,,simple,"1/4 - 20 X 1"" Hex Bolt (FA323)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FA324,,simple,10 - 24 x 1/4 Set Screw (FA324),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA327,,simple,8 - 32 x 1/4 Pan Head Screw (FA327),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA328,,simple,3/8 Flat Washer (FA328),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA32S,,simple,"1/4 - 20 X 1"" Hex Bolt (FA323)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FA337,,simple,1/4 - 20 x 5/8 Flat Socket Head (FA337),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA340,,simple,1/4 - 20 x 1 - 1/4 Socket Head (FA340),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA341,,simple,1/4 - 20 x 1 - 3/4 Hex Bolt (FA341),Drywall Finishing Tools > Columbia > Parts,Columbia,
