"old_parent_sku","old_variation_sku","old_variation_name","new_simple_parent_sku","new_simple_sku","new_simple_name","available"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH6A","AH6A - Funnel Retainer Clip","COL-AH6A-FUNNEL-RETAINER-CLIP","AH6A","AH6A - Funnel Retainer Clip","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH7-2","AH7-2 - Frame Tension Spring- 2""","COL-AH7-2-FRAME-TENSION-SPRING-2","AH7-2","AH7-2 - Frame Tension Spring- 2""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH7-2.5","AH7-2.5 - Frame Tension Spring- 2.5""","COL-AH7-2-5-FRAME-TENSION-SPRING-2-5","AH7-2.5","AH7-2.5 - Frame Tension Spring- 2.5""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH7-3","AH7-3 - Framer Tention Spring- 3""","COL-AH7-3-FRAMER-TENTION-SPRING-3","AH7-3","AH7-3 - Framer Tention Spring- 3""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH7-3.5","AH7-3.5 - Frame Tension Spring- 3.5""","COL-AH7-3-5-FRAME-TENSION-SPRING-3-5","AH7-3.5","AH7-3.5 - Frame Tension Spring- 3.5""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH8","AH8 - Top Retainer Corner Clip","COL-AH8-TOP-RETAINER-CORNER-CLIP","AH8","AH8 - Top Retainer Corner Clip","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH8A","AH8A - Top Retainer Corner Clip- 3.5"" or All Sizes Post 2014","COL-AH8A-TOP-RETAINER-CORNER-CLIP-3-5-OR-ALL-SIZES-POST-2014","AH8A","AH8A - Top Retainer Corner Clip- 3.5"" or All Sizes Post 2014","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH9","AH9 - Bottom Retainer Corner Clip","COL-AH9-BOTTOM-RETAINER-CORNER-CLIP","AH9","AH9 - Bottom Retainer Corner Clip","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH9A","AH9A - Bottom Retainer Corner Clip - 3.5"" or All Sizes Post 2014","COL-AH9A-BOTTOM-RETAINER-CORNER-CLIP-3-5-OR-ALL-SIZES-POST-2014","AH9A","AH9A - Bottom Retainer Corner Clip - 3.5"" or All Sizes Post 2014","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH18","AH18 - Socket Wear Cap","COL-AH18-SOCKET-WEAR-CAP","AH18","AH18 - Socket Wear Cap","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA227","FA227 - 6-32 X 1/4"" Flat Slot","COL-FA227-6-32-X-1-4-FLAT-SLOT","FA227","FA227 - 6-32 X 1/4"" Flat Slot","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA235","FA235 - 6-32 X 1/8"" Set Screw","COL-FA235-6-32-X-1-8-SET-SCREW","FA235","FA235 - 6-32 X 1/8"" Set Screw","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA236","FA236 - 6-32 X 1/8"" Binder Slot","COL-FA236-6-32-X-1-8-BINDER-SLOT","FA236","FA236 - 6-32 X 1/8"" Binder Slot","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA245__COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA245 - 6-32 X 1/2"" Fillister Slot","COL-FA245-6-32-X-1-2-FILLISTER-SLOT","FA245__COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA245 - 6-32 X 1/2"" Fillister Slot","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA258__COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA258 - 8-32X 1/4 Half Dog Set","COL-FA258-8-32X-1-4-HALF-DOG-SET","FA258__COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","FA258 - 8-32X 1/4 Half Dog Set","true"
"COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT","AHR-2-2","Columbia Angle Head Spring Repair Kit - 2""","COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT-2","AHR-2-2","Columbia Angle Head Spring Repair Kit - 2""","false"
"COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT","AHR-2-2.5","Columbia Angle Head Spring Repair Kit - 2.5""","COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT-2-5","AHR-2-2.5","Columbia Angle Head Spring Repair Kit - 2.5""","false"
"COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT","AHR-2-3","Columbia Angle Head Spring Repair Kit - 3""","COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT-3","AHR-2-3","Columbia Angle Head Spring Repair Kit - 3""","false"
"COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT","AHR-2-3.5","Columbia Angle Head Spring Repair Kit - 3.5""","COL-COLUMBIA-ANGLE-HEAD-SPRING-REPAIR-KIT-3-5","AHR-2-3.5","Columbia Angle Head Spring Repair Kit - 3.5""","false"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT72__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT72 - Cable","COL-CT72-CABLE","CT72__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT72 - Cable","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT103","CT103 - Barrel- Main Body","COL-CT103-BARREL-MAIN-BODY","CT103","CT103 - Barrel- Main Body","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT104","CT104 - Connection Strap","COL-CT104-CONNECTION-STRAP","CT104","CT104 - Connection Strap","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT105","CT105 - Crimper Lever","COL-CT105-CRIMPER-LEVER","CT105","CT105 - Crimper Lever","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT107","CT107 - Piston Body","COL-CT107-PISTON-BODY","CT107","CT107 - Piston Body","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT109","CT109 - 1/4 - 20 Hex Nut","COL-CT109-1-4-20-HEX-NUT","CT109","CT109 - 1/4 - 20 Hex Nut","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT111","CT111 - Piston Cup","COL-CT111-PISTON-CUP","CT111","CT111 - Piston Cup","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT112","CT112 - Connecting Stud","COL-CT112-CONNECTING-STUD","CT112","CT112 - Connecting Stud","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT115","CT115 - Guard Ring","COL-CT115-GUARD-RING","CT115","CT115 - Guard Ring","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT116A","CT116A - Strap","COL-CT116A-STRAP","CT116A","CT116A - Strap","true"
