group_id,canonical_file,file_name,is_canonical,group_size
66,columbia-automatic-taper-TAPER-06.webp,columbia-sawed-off-taper-39-inch-STAPER-04.webp,0,3
67,columbia-corner-flusher-box-repair-parts-FA219-01.webp,columbia-automatic-taper-body-repair-parts-FA219-01.webp,0,3
67,columbia-corner-flusher-box-repair-parts-FA219-01.webp,columbia-automatic-taper-head-repair-parts-FA219-01.webp,0,3
67,columbia-corner-flusher-box-repair-parts-FA219-01.webp,columbia-corner-flusher-box-repair-parts-FA219-01.webp,1,3
68,columbia-flat-finishing-box-repair-parts-FA239-01.webp,columbia-automatic-taper-body-repair-parts-FA239-01.webp,0,3
68,columbia-flat-finishing-box-repair-parts-FA239-01.webp,columbia-automatic-taper-head-repair-parts-FA239-01.webp,0,3
68,columbia-flat-finishing-box-repair-parts-FA239-01.webp,columbia-flat-finishing-box-repair-parts-FA239-01.webp,1,3
69,columbia-corner-flusher-box-repair-parts-FA228-01.webp,columbia-automatic-taper-head-repair-parts-FA228-01.webp,0,3
69,columbia-corner-flusher-box-repair-parts-FA228-01.webp,columbia-corner-flusher-box-repair-parts-FA228-01.webp,1,3
69,columbia-corner-flusher-box-repair-parts-FA228-01.webp,columbia-hinged-nailspotter-repair-parts-FA228-01.webp,0,3
70,columbia-corner-flusher-box-repair-parts-FA238-01.webp,columbia-automatic-taper-head-repair-parts-FA238-01.webp,0,3
70,columbia-corner-flusher-box-repair-parts-FA238-01.webp,columbia-corner-flusher-box-repair-parts-FA238-01.webp,1,3
70,columbia-corner-flusher-box-repair-parts-FA238-01.webp,columbia-flat-finishing-box-repair-parts-FA238-01.webp,0,3
71,columbia-corner-flusher-box-repair-parts-FA231-01.webp,columbia-corner-flusher-box-repair-parts-FA231-01.webp,1,3
71,columbia-corner-flusher-box-repair-parts-FA231-01.webp,columbia-flat-finishing-box-repair-parts-FA231-01.webp,0,3
71,columbia-corner-flusher-box-repair-parts-FA231-01.webp,columbia-hinged-nailspotter-repair-parts-FA231-01.webp,0,3
72,columbia-corner-flusher-box-repair-parts-FA247-01.webp,columbia-corner-flusher-box-repair-parts-FA247-01.webp,1,3
72,columbia-corner-flusher-box-repair-parts-FA247-01.webp,columbia-flat-finishing-box-repair-parts-FA247-01.webp,0,3
72,columbia-corner-flusher-box-repair-parts-FA247-01.webp,columbia-hinged-nailspotter-repair-parts-FA247-01.webp,0,3
73,columbia-corner-flusher-box-repair-parts-FA280-01.webp,columbia-corner-flusher-box-repair-parts-FA280-01.webp,1,3
73,columbia-corner-flusher-box-repair-parts-FA280-01.webp,columbia-flat-finishing-box-repair-parts-FA280-01.webp,0,3
73,columbia-corner-flusher-box-repair-parts-FA280-01.webp,columbia-hinged-nailspotter-repair-parts-FA280-01.webp,0,3
74,columbia-corner-flusher-box-repair-parts-FFB32-01.webp,columbia-corner-flusher-box-repair-parts-FFB32-01.webp,1,3
74,columbia-corner-flusher-box-repair-parts-FFB32-01.webp,columbia-flat-finishing-box-repair-parts-FFB32-01.webp,0,3
74,columbia-corner-flusher-box-repair-parts-FFB32-01.webp,columbia-hinged-nailspotter-repair-parts-FFB32-01.webp,0,3
75,columbia-corner-flusher-box-repair-parts-FFB32A-01.webp,columbia-corner-flusher-box-repair-parts-FFB32A-01.webp,1,3
75,columbia-corner-flusher-box-repair-parts-FFB32A-01.webp,columbia-flat-finishing-box-repair-parts-FFB32A-01.webp,0,3
75,columbia-corner-flusher-box-repair-parts-FFB32A-01.webp,columbia-hinged-nailspotter-repair-parts-FFB32A-01.webp,0,3
76,columbia-hot-mud-pump-repair-parts-FA271-01.webp,columbia-flat-finishing-box-repair-parts-FA271-01.webp,0,3
76,columbia-hot-mud-pump-repair-parts-FA271-01.webp,columbia-hinged-nailspotter-repair-parts-FA271-01.webp,0,3
76,columbia-hot-mud-pump-repair-parts-FA271-01.webp,columbia-hot-mud-pump-repair-parts-FA271-01.webp,1,3
77,columbia-flat-finishing-box-repair-parts-FFB11-8-01.webp,columbia-flat-finishing-box-repair-parts-FFB11-10-01.webp,0,3
77,columbia-flat-finishing-box-repair-parts-FFB11-8-01.webp,columbia-flat-finishing-box-repair-parts-FFB11-12-01.webp,0,3
77,columbia-flat-finishing-box-repair-parts-FFB11-8-01.webp,columbia-flat-finishing-box-repair-parts-FFB11-8-01.webp,1,3
78,columbia-hot-mud-pump-repair-parts-FA256-01.webp,columbia-hot-mud-pump-repair-parts-FA256-01.webp,1,3
78,columbia-hot-mud-pump-repair-parts-FA256-01.webp,columbia-hydra-reach-box-handle-repair-parts-FA256-01.webp,0,3
78,columbia-hot-mud-pump-repair-parts-FA256-01.webp,columbia-matrix-handle-repair-parts-FA256-01.webp,0,3
79,columbia-tomalock-CLTHA-02.webp,columbia-tomahawk-smoothing-blades-7-TSB7-08.webp,0,3
79,columbia-tomalock-CLTHA-02.webp,columbia-tomahawk-smoothing-blades-7-inch-TSB7-08.webp,0,3
79,columbia-tomalock-CLTHA-02.webp,columbia-tomalock-CLTHA-02.webp,1,3
80,columbia-tomalock-CLTHA-03.webp,columbia-tomahawk-smoothing-blades-7-TSB7-09.webp,0,3
80,columbia-tomalock-CLTHA-03.webp,columbia-tomahawk-smoothing-blades-7-inch-TSB7-09.webp,0,3
80,columbia-tomalock-CLTHA-03.webp,columbia-tomalock-CLTHA-03.webp,1,3
81,graco-fastfinish-cf9-air-compressor-25D490-01.webp,graco-fastfinish-cf9-air-compressor-25D490-01.webp,1,3
81,graco-fastfinish-cf9-air-compressor-25D490-01.webp,graco-fastfinish-cf9-air-compressor-25D490-02.webp,0,3
81,graco-fastfinish-cf9-air-compressor-25D490-01.webp,graco-texspray-fast-finish-pro-texture-system-25D492-01-dup2.webp,0,3
82,graco-fastfinish-pressure-boosted-hopper-gun-25D496-01.webp,graco-fastfinish-pressure-boosted-hopper-gun-25D496-01.webp,1,3
82,graco-fastfinish-pressure-boosted-hopper-gun-25D496-01.webp,graco-fastfinish-pressure-boosted-hopper-gun-25D496-02.webp,0,3
82,graco-fastfinish-pressure-boosted-hopper-gun-25D496-01.webp,graco-texspray-fast-finish-pro-texture-system-25D492-01-dup5.webp,0,3
83,tapetech-premium-stainless-steel-joint-knife-JK01SSTT-01.webp,tapetech-0-75-premium-stainless-steel-joint-knife-JK34SSTT-01.webp,0,3
83,tapetech-premium-stainless-steel-joint-knife-JK01SSTT-01.webp,tapetech-1-25-premium-stainless-steel-joint-knife-JK125SSTT-01.webp,0,3
83,tapetech-premium-stainless-steel-joint-knife-JK01SSTT-01.webp,tapetech-premium-stainless-steel-joint-knife-JK01SSTT-01.webp,1,3
84,tapetech-angle-box-handle-adapter-CAA-TT-02.webp,tapetech-angle-box-handle-adapter-CAA-TT-02.webp,1,3
84,tapetech-angle-box-handle-adapter-CAA-TT-02.webp,tapetech-extendable-angle-box-handle-xhtt-caa-XHTT-CAA-TT-003.webp,0,3
84,tapetech-angle-box-handle-adapter-CAA-TT-02.webp,tapetech-fiberglass-angle-box-handle-fhtt-caa-FHTT-CAA-TT-003.webp,0,3
85,tapetech-corner-applicator-head-CA08TT-01.webp,tapetech-angle-box-w-handle-CA08-FHTT-002.webp,0,3
85,tapetech-corner-applicator-head-CA08TT-01.webp,tapetech-corner-applicator-head-CA08TT-01.webp,1,3
85,tapetech-corner-applicator-head-CA08TT-01.webp,tapetech-tt35ext-tapetech-angle-box-w-extendable-handle-CA08TT-XHTT-02.webp,0,3
86,tapetech-corner-applicator-head-CA07TT-06.webp,tapetech-corner-applicator-head-CA07TT-06.webp,1,3
86,tapetech-corner-applicator-head-CA07TT-06.webp,tapetech-tt35ext-tapetech-angle-box-w-extendable-handle-CA08TT-XHTT-04.webp,0,3
86,tapetech-corner-applicator-head-CA07TT-06.webp,tapetech-tt50ext-tapetech-angle-box-w-extendable-handle-CA07-XHTT-04.webp,0,3
87,tapetech-corner-roller-head-15TTE-01.webp,tapetech-corner-roller-head-15TTE-01.webp,1,3
87,tapetech-corner-roller-head-15TTE-01.webp,tapetech-corner-roller-w-extendable-handle-15TTE-XHTT-04.webp,0,3
87,tapetech-corner-roller-head-15TTE-01.webp,tapetech-corner-roller-w-handle-15TTE-w-Handle-04.webp,0,3
88,tapetech-corner-roller-head-15TTE-02.webp,tapetech-corner-roller-head-15TTE-02.webp,1,3
88,tapetech-corner-roller-head-15TTE-02.webp,tapetech-corner-roller-w-extendable-handle-15TTE-XHTT-03.webp,0,3
88,tapetech-corner-roller-head-15TTE-02.webp,tapetech-corner-roller-w-handle-15TTE-w-Handle-03.webp,0,3
89,tapetech-corner-roller-head-15TTE-03.webp,tapetech-corner-roller-head-15TTE-03.webp,1,3
89,tapetech-corner-roller-head-15TTE-03.webp,tapetech-corner-roller-w-extendable-handle-15TTE-XHTT-02.webp,0,3
89,tapetech-corner-roller-head-15TTE-03.webp,tapetech-corner-roller-w-handle-15TTE-w-Handle-02.webp,0,3
90,tapetech-easyclean-automatic-taper-07TT-09.webp,tapetech-easyclean-automatic-mini-taper-03TT-02.webp,0,3
90,tapetech-easyclean-automatic-taper-07TT-09.webp,tapetech-easyclean-automatic-taper-07TT-09.webp,1,3
90,tapetech-easyclean-automatic-taper-07TT-09.webp,tapetech-maxi-taper-07tt-w-atx01tt-extension-media-04.webp,0,3
91,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-002.webp,tapetech-extendable-smoothing-blade-handle-XHTT-PFKHATT-002.webp,0,3
91,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-002.webp,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-002.webp,1,3
91,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-002.webp,tapetech-premium-finishing-knife-handle-adapter-PFKHATT-002.webp,0,3
92,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-003.webp,tapetech-extendable-smoothing-blade-handle-XHTT-PFKHATT-003.webp,0,3
92,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-003.webp,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-003.webp,1,3
92,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-003.webp,tapetech-premium-finishing-knife-handle-adapter-PFKHATT-003.webp,0,3
93,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-004.webp,tapetech-extendable-smoothing-blade-handle-XHTT-PFKHATT-004.webp,0,3
93,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-004.webp,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-004.webp,1,3
93,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-004.webp,tapetech-premium-finishing-knife-handle-adapter-PFKHATT-004.webp,0,3
94,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-005.webp,tapetech-extendable-smoothing-blade-handle-XHTT-PFKHATT-005.webp,0,3
94,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-005.webp,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-005.webp,1,3
94,tapetech-fixed-smoothing-blade-handle-FHTT-PFKHATT-005.webp,tapetech-premium-finishing-knife-handle-adapter-PFKHATT-005.webp,0,3
95,tapetech-ez-wash-adapters-CNA-TT-01.webp,tapetech-ez-wash-adapters-CNA-TT-01.webp,1,3
95,tapetech-ez-wash-adapters-CNA-TT-01.webp,tapetech-ez-wash-adapters-CNA-TT-02.webp,0,3
95,tapetech-ez-wash-adapters-CNA-TT-01.webp,tapetech-ez-wash-adapters-CNA-TT-03.webp,0,3
96,tapetech-fiberglass-nail-spotter-handle-FHTT-NSA-05.webp,tapetech-fiberglass-angle-box-handle-fhtt-caa-FHTT-CAA-TT-002.webp,0,3
96,tapetech-fiberglass-nail-spotter-handle-FHTT-NSA-05.webp,tapetech-fiberglass-nail-spotter-handle-FHTT-NSA-05.webp,1,3
96,tapetech-fiberglass-nail-spotter-handle-FHTT-NSA-05.webp,tapetech-interchangeable-fiberglass-support-handle-FHTT-02.webp,0,3
97,tapetech-trowel-wallet-8-10-TTCASE0810TT-01.webp,tapetech-trowel-wallet-12-14-TTCASE1214TT-01.webp,0,3
97,tapetech-trowel-wallet-8-10-TTCASE0810TT-01.webp,tapetech-trowel-wallet-16-18-TTCASE1618TT-01.webp,0,3
97,tapetech-trowel-wallet-8-10-TTCASE0810TT-01.webp,tapetech-trowel-wallet-8-10-TTCASE0810TT-01.webp,1,3
98,asgard-3-angle-head-AH30-AD-01.webp,asgard-3-angle-head-AH30-AD-01.webp,1,2
98,asgard-3-angle-head-AH30-AD-01.webp,asgard-ag48-asgard-3-angle-head-AH30-AD-01.webp,0,2
99,asgard-the-hammer-automatic-taper-AT01-AD-01.webp,asgard-ag05-asgard-the-hammer-automatic-taper-AT01-AD-01.webp,0,2
99,asgard-the-hammer-automatic-taper-AT01-AD-01.webp,asgard-the-hammer-automatic-taper-AT01-AD-01.webp,1,2
100,asgard-corner-roller-with-fixed-handle-CR01-AD-FH-AD-01.webp,asgard-ag15-asgard-corner-roller-with-fixed-handle-CR01-AD-FH-AD-01.webp,0,2
100,asgard-corner-roller-with-fixed-handle-CR01-AD-FH-AD-01.webp,asgard-corner-roller-with-fixed-handle-CR01-AD-FH-AD-01.webp,1,2
101,asgard-inside-corner-roller-head-CR01-AD-01.webp,asgard-ag15a-asgard-inside-corner-roller-head-CR01-AD-01.webp,0,2
101,asgard-inside-corner-roller-head-CR01-AD-01.webp,asgard-inside-corner-roller-head-CR01-AD-01.webp,1,2
102,asgard-corner-roller-with-extendable-handle-CR01-AD-XH-AD-01.webp,asgard-ag15ext-asgard-corner-roller-with-extendable-handle-CR01-AD-XH-AD-01.webp,0,2
102,asgard-corner-roller-with-extendable-handle-CR01-AD-XH-AD-01.webp,asgard-corner-roller-with-extendable-handle-CR01-AD-XH-AD-01.webp,1,2
103,asgard-finishing-box-EZ07-AD-01.webp,asgard-ag20-asgard-finishing-box-EZ07-AD-01.webp,0,2
103,asgard-finishing-box-EZ07-AD-01.webp,asgard-finishing-box-EZ07-AD-01.webp,1,2
104,asgard-maxxbox-finishing-box-EHC07-AD-01.webp,asgard-ag22-asgard-maxxbox-finishing-box-EHC07-AD-01.webp,0,2
104,asgard-maxxbox-finishing-box-EHC07-AD-01.webp,asgard-maxxbox-finishing-box-EHC07-AD-01.webp,1,2
