Brands,Type,SKU,MPN,Name,Short description,Description
Columbia,simple,C1H,C1H,"Columbia One Handle","Columbia One Handle","Columbia One Handle"
Columbia,simple,C1HEXT,C1HEXT,"Columbia One Extendible Handle (3-5’)","Columbia One Extendible Handle (3-5’)","Columbia One Extendible Handle (3-5’)"
Columbia,simple,CHXL,CHXL,"Columbia Long Extendible Handle (4-8’)","Columbia Long Extendible Handle (4-8’)","Columbia Long Extendible Handle (4-8’)"
Columbia,simple,C1HS,C1HS,"Columbia One Handle Stubby","Columbia One Handle Stubby","Columbia One Handle Stubby"
Columbia,simple,AHA,AHA,"Angle Head Adapter","Angle Head Adapter","Angle Head Adapter"
Columbia,simple,3BH,3BH,"3’ 180° Grip Flat Box Handle","3’ 180° Grip Flat Box Handle","3’ 180° Grip Flat Box Handle"
Columbia,simple,42BH,42BH,"42” 180° Grip Flat Box Handle","42” 180° Grip Flat Box Handle","42” 180° Grip Flat Box Handle"
Columbia,simple,4BH,4BH,"4’ 180° Grip Flat Box Handle","4’ 180° Grip Flat Box Handle","4’ 180° Grip Flat Box Handle"
Columbia,simple,5BH,5BH,"5’ 180° Grip Flat Box Handle","5’ 180° Grip Flat Box Handle","5’ 180° Grip Flat Box Handle"
Columbia,simple,6BH,6BH,"6’ 180° Grip Flat Box Handle","6’ 180° Grip Flat Box Handle","6’ 180° Grip Flat Box Handle"
Columbia,simple,CMH,CMH,"Closet Monster Handle","Closet Monster Handle","Closet Monster Handle"
Columbia,simple,MH,MH,"Matrix Flat Box Handle 40-60”","Matrix Flat Box Handle 40-60”","Matrix Flat Box Handle 40-60”"
Columbia,simple,MHS,MHS,"Matrix Flat Box Handle 29-39”","Matrix Flat Box Handle 29-39”","Matrix Flat Box Handle 29-39”"
Columbia,simple,MHL,MHL,"Matrix Flat Box Handle 56-76”","Matrix Flat Box Handle 56-76”","Matrix Flat Box Handle 56-76”"
Columbia,simple,SAT,SAT,"Semi Automatic Taper","Semi Automatic Taper","Semi Automatic Taper"
Columbia,simple,CMT24,CMT24,"24” Compound Tube","24” Compound Tube","24” Compound Tube"
Columbia,simple,CMT32,CMT32,"32” Compound Tube","32” Compound Tube","32” Compound Tube"
Columbia,simple,CMT42,CMT42,"42” Compound Tube","42” Compound Tube","42” Compound Tube"
Columbia,simple,CMT55,CMT55,"55” Compound Tube","55” Compound Tube","55” Compound Tube"
Columbia,simple,CLT24,CLT24,"24” Cam Lock Tube","24” Cam Lock Tube","24” Cam Lock Tube"
Columbia,simple,CLT32,CLT32,"32” Cam Lock Tube","32” Cam Lock Tube","32” Cam Lock Tube"
Columbia,simple,CLT42,CLT42,"42” Cam Lock Tube","42” Cam Lock Tube","42” Cam Lock Tube"
Columbia,simple,CLT55,CLT55,"55” Cam Lock Tube","55” Cam Lock Tube","55” Cam Lock Tube"
Columbia,simple,ICATW,ICATW,"Two-Way Internal Corner Applicator (4 Wheels)","Two-Way Internal Corner Applicator (4 Wheels)","Two-Way Internal Corner Applicator (4 Wheels)"
Columbia,simple,ICA2-1,ICA2-1,"Inside Corner Applicator (2 Wheels) – 1”","Inside Corner Applicator (2 Wheels) – 1”","Inside Corner Applicator (2 Wheels) – 1”"
Columbia,simple,ICA4-1,ICA4-1,"Inside Corner Applicator (4 Wheels) – 1”","Inside Corner Applicator (4 Wheels) – 1”","Inside Corner Applicator (4 Wheels) – 1”"
Columbia,simple,CEXT90,CEXT90,"External 90 Applicator","External 90 Applicator","External 90 Applicator"
Columbia,simple,CFLT,CFLT,"Flat Applicator","Flat Applicator","Flat Applicator"
Columbia,simple,FMH,FMH,"L-Trim Applicator (Plastic)","L-Trim Applicator (Plastic)","L-Trim Applicator (Plastic)"
Columbia,simple,IA90,IA90,"Inside 90° Applicator (Plastic)","Inside 90° Applicator (Plastic)","Inside 90° Applicator (Plastic)"
Columbia,simple,OA90,OA90,"Outside 90° Applicator (Plastic)","Outside 90° Applicator (Plastic)","Outside 90° Applicator (Plastic)"
Columbia,simple,OA90-325,OA90-325,"Outside 90° 325 Applicator (Plastic)","Outside 90° 325 Applicator (Plastic)","Outside 90° 325 Applicator (Plastic)"
Columbia,simple,2.5SF,2.5SF,"2.5” Standard Flusher","2.5” Standard Flusher","2.5” Standard Flusher"
Columbia,simple,3SF,3SF,"3” Standard Flusher","3” Standard Flusher","3” Standard Flusher"
Columbia,simple,3WTSF,3WTSF,"3” Widetrack Standard Flusher","3” Widetrack Standard Flusher","3” Widetrack Standard Flusher"
Columbia,simple,3.5SF,3.5SF,"3.5” Standard Flusher","3.5” Standard Flusher","3.5” Standard Flusher"
Columbia,simple,4SF,4SF,"4” Standard Flusher","4” Standard Flusher","4” Standard Flusher"
Columbia,simple,2.5DF,2.5DF,"2.5” Direct Flusher","2.5” Direct Flusher","2.5” Direct Flusher"
Columbia,simple,3DF,3DF,"3” Direct Flusher","3” Direct Flusher","3” Direct Flusher"
Columbia,simple,3WTDF,3WTDF,"3” Widetrack Direct Flusher","3” Widetrack Direct Flusher","3” Widetrack Direct Flusher"
Columbia,simple,3.5DF,3.5DF,"3.5” Direct Flusher","3.5” Direct Flusher","3.5” Direct Flusher"
Columbia,simple,4DF,4DF,"4” Direct Flusher","4” Direct Flusher","4” Direct Flusher"
Columbia,simple,2.5CSF,2.5CSF,"2.5” Combo Flusher","2.5” Combo Flusher","2.5” Combo Flusher"
Columbia,simple,3CSF,3CSF,"3” Combo Flusher","3” Combo Flusher","3” Combo Flusher"
Columbia,simple,3WTCSF,3WTCSF,"3” Widetrack Combo Flusher","3” Widetrack Combo Flusher","3” Widetrack Combo Flusher"
Columbia,simple,3.5CSF,3.5CSF,"3.5” Combo Flusher","3.5” Combo Flusher","3.5” Combo Flusher"
Columbia,simple,PDDM,PDDM,"Phantom DDM Sander","Phantom DDM Sander","Phantom DDM Sander"
Columbia,simple,CS,CS,"Columbia Sander Head","Columbia Sander Head","Columbia Sander Head"
Columbia,simple,CSH,CSH,"Columbia Sander Pole","Columbia Sander Pole","Columbia Sander Pole"
Columbia,simple,TL-3-8,TL-3-8,"Twist Lock Handle with PHA","Twist Lock Handle with PHA","Twist Lock Handle with PHA"
Columbia,simple,TCS,TCS,"Columbia Gun Case","Columbia Gun Case","Columbia Gun Case"
Columbia,simple,RC,RC,"Columbia Road Case","Columbia Road Case","Columbia Road Case"
TapeTech,simple,76TT,76TT,"EasyClean Pump","EasyClean Pump","EasyClean Pump"
TapeTech,simple,76XLTT,76XLTT,"Extra Long EasyClean Pump","Extra Long EasyClean Pump","Extra Long EasyClean Pump"
TapeTech,simple,76TT-CA,76TT-CA,"EasyClean Pump","EasyClean Pump","EasyClean Pump"
TapeTech,simple,85T,85T,"Gooseneck (fits 72TT, 73TT, 76TT)","Gooseneck (fits 72TT, 73TT, 76TT)","Gooseneck (fits 72TT, 73TT, 76TT)"
TapeTech,simple,85XLTT,85XLTT,"Extra Long Gooseneck","Extra Long Gooseneck","Extra Long Gooseneck"
TapeTech,simple,90T,90T,"Filler Adapter","Filler Adapter","Filler Adapter"
TapeTech,simple,GSR-TT,GSR-TT,"Gooseneck Riser","Gooseneck Riser","Gooseneck Riser"
TapeTech,simple,03TT,03TT,"EasyClean Automatic Mini-Taper","EasyClean Automatic Mini-Taper","EasyClean Automatic Mini-Taper"
TapeTech,simple,07TT,07TT,"EasyClean Automatic Taper","EasyClean Automatic Taper","EasyClean Automatic Taper"
TapeTech,simple,07TT-C,07TT-C,"EasyClean Automatic Taper – Short (Sawed Off)","EasyClean Automatic Taper – Short (Sawed Off)","EasyClean Automatic Taper – Short (Sawed Off)"
TapeTech,simple,ATX01TT,ATX01TT,"Automatic Taper Extension","Automatic Taper Extension","Automatic Taper Extension"
TapeTech,simple,15TTE,15TTE,"Inside Corner Roller","Inside Corner Roller","Inside Corner Roller"
TapeTech,simple,17TT,17TT,"Outside Corner Roller","Outside Corner Roller","Outside Corner Roller"
TapeTech,simple,17TTE,17TTE,"Outside Corner Roller (EasyRoll)","Outside Corner Roller (EasyRoll)","Outside Corner Roller (EasyRoll)"
TapeTech,simple,16TT,16TT,"Applicator Head – Outside Corner","Applicator Head – Outside Corner","Applicator Head – Outside Corner"
TapeTech,simple,16TT90,16TT90,"Applicator Head – Inside Corner","Applicator Head – Inside Corner","Applicator Head – Inside Corner"
TapeTech,simple,CH55TT,CH55TT,"Cove Applicator Head","Cove Applicator Head","Cove Applicator Head"
TapeTech,simple,CH75TT,CH75TT,"Cove Applicator Head","Cove Applicator Head","Cove Applicator Head"
TapeTech,simple,CH83TT,CH83TT,"Cove Applicator Head","Cove Applicator Head","Cove Applicator Head"
TapeTech,simple,CH90TT,CH90TT,"Cove Applicator Head","Cove Applicator Head","Cove Applicator Head"
TapeTech,simple,NS02TT,NS02TT,"2"" Nail Spotter","2"" Nail Spotter","2"" Nail Spotter"
TapeTech,simple,NS03TT,NS03TT,"3"" Nail Spotter","3"" Nail Spotter","3"" Nail Spotter"
TapeTech,simple,NSW01,NSW01,"Nail Spotter Wheel Kit","Nail Spotter Wheel Kit","Nail Spotter Wheel Kit"
TapeTech,simple,CA07TT,CA07TT,"7"" Corner Applicator","7"" Corner Applicator","7"" Corner Applicator"
TapeTech,simple,CA08TT,CA08TT,"8"" Corner Applicator","8"" Corner Applicator","8"" Corner Applicator"
TapeTech,simple,MR01TT,MR01TT,"MudRunner Pro","MudRunner Pro","MudRunner Pro"
TapeTech,simple,MRX01TT,MRX01TT,"MudRunner Extension","MudRunner Extension","MudRunner Extension"
TapeTech,simple,40XTT,40XTT,"2"" Corner Finisher","2"" Corner Finisher","2"" Corner Finisher"
TapeTech,simple,42TT,42TT,"2.5"" Corner Finisher","2.5"" Corner Finisher","2.5"" Corner Finisher"
TapeTech,simple,45TT,45TT,"3"" Corner Finisher","3"" Corner Finisher","3"" Corner Finisher"
TapeTech,simple,48TT,48TT,"3"" EasyRoll Adjustable Corner Finisher","3"" EasyRoll Adjustable Corner Finisher","3"" EasyRoll Adjustable Corner Finisher"
TapeTech,simple,48XTT,48XTT,"3.5"" EasyRoll Adjustable Corner Finisher","3.5"" EasyRoll Adjustable Corner Finisher","3.5"" EasyRoll Adjustable Corner Finisher"
TapeTech,simple,CFA-TT,CFA-TT,"Corner Finisher Adapter","Corner Finisher Adapter","Corner Finisher Adapter"
TapeTech,simple,NSA-TT,NSA-TT,"Nail Spotter Adapter","Nail Spotter Adapter","Nail Spotter Adapter"
TapeTech,simple,EZ07TT,EZ07TT,"7"" EasyClean Box","7"" EasyClean Box","7"" EasyClean Box"
TapeTech,simple,EZ10TT,EZ10TT,"10"" EasyClean Box","10"" EasyClean Box","10"" EasyClean Box"
TapeTech,simple,EZ12TT,EZ12TT,"12"" EasyClean Box","12"" EasyClean Box","12"" EasyClean Box"
TapeTech,simple,EZ15TT,EZ15TT,"15"" EasyClean Box","15"" EasyClean Box","15"" EasyClean Box"
TapeTech,simple,EHC07,EHC07,"7"" MaxxBox High Capacity Box","7"" MaxxBox High Capacity Box","7"" MaxxBox High Capacity Box"
TapeTech,simple,EHC10,EHC10,"10"" MaxxBox High Capacity Box","10"" MaxxBox High Capacity Box","10"" MaxxBox High Capacity Box"
TapeTech,simple,EHC12,EHC12,"12"" MaxxBox High Capacity Box","12"" MaxxBox High Capacity Box","12"" MaxxBox High Capacity Box"
TapeTech,simple,PAHC07,PAHC07,"7"" Power Assist MaxxBox","7"" Power Assist MaxxBox","7"" Power Assist MaxxBox"
TapeTech,simple,PAHC10,PAHC10,"10"" Power Assist MaxxBox","10"" Power Assist MaxxBox","10"" Power Assist MaxxBox"
