path,rel_path,extension,bytes_size,width,height,format,sha1,readable,reasons,keep,action,duplicate_group_size,kept_canonical_rel_path
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-SHDW-jpg__30577cd0f09e04.webp,wp-content-uploads-2022-06-NS02TT-SHDW-jpg__30577cd0f09e04.webp,.webp,44410,1200,1200,WEBP,6cd208fa0c6abd7b586d92e82d429280c46edd30,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-01-jpg__2675475c5515b8.webp,wp-content-uploads-2022-06-NS03TT-01-jpg__2675475c5515b8.webp,.webp,51800,1200,1200,WEBP,0a1c20517a708b0de9a47df7ec45250a87e10772,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-03-jpg__31d1b00701873f.webp,wp-content-uploads-2022-06-NS03TT-03-jpg__31d1b00701873f.webp,.webp,40826,1020,1020,WEBP,16795af307096501ce5343cc804bc2c71ce5cd50,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-04-jpg__cfca63fc0afa3d.webp,wp-content-uploads-2022-06-NS03TT-04-jpg__cfca63fc0afa3d.webp,.webp,46720,1020,1020,WEBP,ffec1250f3e59d48e0cae2061ff5e1f83e3a575d,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-10-jpg__1c518841631116.webp,wp-content-uploads-2022-06-NS03TT-10-jpg__1c518841631116.webp,.webp,144170,1200,1200,WEBP,0bad836739b6e08dc4b592eac87de2a55d34f7a7,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-11-jpg__5b72e4ec906ba6.webp,wp-content-uploads-2022-06-NS03TT-11-jpg__5b72e4ec906ba6.webp,.webp,138130,1200,1200,WEBP,1fab14f5d60d8afa4d5c04329c2eaa02dcf79c76,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-12-jpg__8c0c33d4a7a86a.webp,wp-content-uploads-2022-06-NS03TT-12-jpg__8c0c33d4a7a86a.webp,.webp,71718,1200,1200,WEBP,93ae88fa6f24dbbb18bf89f084f439ac34b74074,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS03TT-13-jpg__30260c2df608ec.webp,wp-content-uploads-2022-06-NS03TT-13-jpg__30260c2df608ec.webp,.webp,70490,1200,1200,WEBP,2bef13d822f4400cd81bb6f6729a7e203ef9aa2b,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NSA-TT-02-jpg__083db25fef1478.webp,wp-content-uploads-2022-06-NSA-TT-02-jpg__083db25fef1478.webp,.webp,27940,1020,1020,WEBP,53237e4e1e728fd63d757514ce71a04d67c2b78b,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-03-jpg__992888b43d717a.webp,wp-content-uploads-2022-06-PAHC07-03-jpg__992888b43d717a.webp,.webp,32540,847,847,WEBP,d24fdcc0b42fde4d15de052621ed1470f75eae81,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-05-jpg__4e5db2d101d86c.webp,wp-content-uploads-2022-06-PAHC07-05-jpg__4e5db2d101d86c.webp,.webp,53784,919,919,WEBP,be1a3326b7fc341e27e69202c7667e9c4abae27f,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-06-jpg__fec2a367c9617d.webp,wp-content-uploads-2022-06-PAHC07-06-jpg__fec2a367c9617d.webp,.webp,43896,877,877,WEBP,270ecdde777206829e3d9b256acc410156851a55,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-07-jpg__dbe7caddeb0425.webp,wp-content-uploads-2022-06-PAHC07-07-jpg__dbe7caddeb0425.webp,.webp,44816,1061,1061,WEBP,eef156a93426b9303b6ee0bfcee25ae642a1ecaa,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-08-jpg__bf4fdb37ecffc7.webp,wp-content-uploads-2022-06-PAHC07-08-jpg__bf4fdb37ecffc7.webp,.webp,27488,874,874,WEBP,5492e828880185cf922252137fdd0a250229f218,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-09-jpg__6f4fb3e3f91d73.webp,wp-content-uploads-2022-06-PAHC07-09-jpg__6f4fb3e3f91d73.webp,.webp,24044,824,824,WEBP,386ace3e8e484cde17931e039de671cfbec3454d,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-10-jpg__cbd5f2d0f00d89.webp,wp-content-uploads-2022-06-PAHC07-10-jpg__cbd5f2d0f00d89.webp,.webp,55952,750,750,WEBP,81dd7b06f74e241b884d04639e98a84d357e1956,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-11-jpg__cf4f931f2d5d5c.webp,wp-content-uploads-2022-06-PAHC07-11-jpg__cf4f931f2d5d5c.webp,.webp,147906,1200,1200,WEBP,11a5f55af87db8168936944f9bf7bd50f24ad0a6,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-12-jpg__d381cb0c197a26.webp,wp-content-uploads-2022-06-PAHC07-12-jpg__d381cb0c197a26.webp,.webp,136722,1200,1200,WEBP,d01c0508e2b8329ebc95db6a9f7345bf72711f7d,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-13-jpg__0e65400b583150.webp,wp-content-uploads-2022-06-PAHC07-13-jpg__0e65400b583150.webp,.webp,97324,1200,1200,WEBP,4b6ad66fec2bc9e48580bade7bf732bca04622a3,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-14-jpg__55e4f196a72af0.webp,wp-content-uploads-2022-06-PAHC07-14-jpg__55e4f196a72af0.webp,.webp,61030,1200,1200,WEBP,b74a6237ac68ef2e11745684cba6896e32a67838,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC07-16-jpg__0713e3e60e3897.webp,wp-content-uploads-2022-06-PAHC07-16-jpg__0713e3e60e3897.webp,.webp,62112,1200,1200,WEBP,5eb78d79b253d07803201bcef6473142cd64f130,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-03-jpg__3f8e920befd143.webp,wp-content-uploads-2022-06-PAHC10-03-jpg__3f8e920befd143.webp,.webp,36834,923,923,WEBP,fae6b1fcc7e1b9c1a12b3cbd9ab506bf5c30eee2,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-04-jpg__9ac86421a5cfc0.webp,wp-content-uploads-2022-06-PAHC10-04-jpg__9ac86421a5cfc0.webp,.webp,63654,1054,1054,WEBP,1c0d2dce1340d2453e82df8677f7dd255b8102ea,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-05-jpg__b18f7550aee3c9.webp,wp-content-uploads-2022-06-PAHC10-05-jpg__b18f7550aee3c9.webp,.webp,44860,1084,1084,WEBP,ec73f047a261acaee015340f6dd60c2fc5b69312,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-06-jpg__0b67c5e21dce29.webp,wp-content-uploads-2022-06-PAHC10-06-jpg__0b67c5e21dce29.webp,.webp,27432,927,927,WEBP,7249838d326f3611eb3d030f0893c42ca64c5ebb,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-07-jpg__d36cc4628ad279.webp,wp-content-uploads-2022-06-PAHC10-07-jpg__d36cc4628ad279.webp,.webp,43772,907,907,WEBP,2a4bc156527360f002db9d912dee7233caf52a43,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-08-jpg__aa1864afda1019.webp,wp-content-uploads-2022-06-PAHC10-08-jpg__aa1864afda1019.webp,.webp,26882,834,834,WEBP,dfd207a21ac0dbf4b61e7917bdb867063a009aab,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-09-jpg__36708f02eab99d.webp,wp-content-uploads-2022-06-PAHC10-09-jpg__36708f02eab99d.webp,.webp,57096,750,750,WEBP,83bb436b7f4e8f96ba1507d2a7d503f9cb05ca24,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-10-jpg__67124bed6bdf67.webp,wp-content-uploads-2022-06-PAHC10-10-jpg__67124bed6bdf67.webp,.webp,147546,1200,1200,WEBP,794175e3db0ed985fc48afe8be3baf6a97b45d57,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-11-jpg__6b7b2bda96a117.webp,wp-content-uploads-2022-06-PAHC10-11-jpg__6b7b2bda96a117.webp,.webp,86618,1200,1200,WEBP,7046e40da03509a4d0fc6662a1ced78c40178328,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-12-jpg__f91750a6c8f0d3.webp,wp-content-uploads-2022-06-PAHC10-12-jpg__f91750a6c8f0d3.webp,.webp,73710,1200,1200,WEBP,677dd05311b50ec4a87a75be397d2c7ab2be3fb8,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-13-jpg__a8c9b9d3e2529f.webp,wp-content-uploads-2022-06-PAHC10-13-jpg__a8c9b9d3e2529f.webp,.webp,92706,1200,1200,WEBP,1178b42b434b5c8e53edbf6cc20741b8a74bb0d6,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC10-14-jpg__fc21c126b29b91.webp,wp-content-uploads-2022-06-PAHC10-14-jpg__fc21c126b29b91.webp,.webp,90690,1200,1200,WEBP,d3edce4ea10a9c040a6e8034c0bb61e310c35e70,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC12-03-jpg__d3071166e5979f.webp,wp-content-uploads-2022-06-PAHC12-03-jpg__d3071166e5979f.webp,.webp,31692,852,852,WEBP,95325785700927498ee674d6f89d3b8636f56e9a,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC12-04-jpg__dcc73be25e2a84.webp,wp-content-uploads-2022-06-PAHC12-04-jpg__dcc73be25e2a84.webp,.webp,44860,1076,1076,WEBP,911797d145bd222857e5cb92c77ece4834ec676b,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC12-05-jpg__9601996644bdd1.webp,wp-content-uploads-2022-06-PAHC12-05-jpg__9601996644bdd1.webp,.webp,27618,906,906,WEBP,12ec22152373c9aeab5a9192ea919d3d6065a2ed,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC12-06-jpg__c9753149638f88.webp,wp-content-uploads-2022-06-PAHC12-06-jpg__c9753149638f88.webp,.webp,43942,1020,1020,WEBP,eee1446faf0d7b0a1f3c384cde7d9829583a6380,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-PAHC12-07-jpg__89f15701178384.webp,wp-content-uploads-2022-06-PAHC12-07-jpg__89f15701178384.webp,.webp,54296,1200,1200,WEBP,0257656fe0df83cc026cd4aaec8742d388760cbc,True,,True,keep,1,
