sku,type,image_count,image_files,image_urls
BH11,variation,1,columbia-180-grip-box-handle-repair-parts-BH11-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH11-01.webp
BH1__COL-180-GRIP-BOX-HDL-REPAIR-PARTS,variation,2,columbia-180-grip-box-handle-repair-parts-BH1-01.webp | columbia-hydra-reach-box-handle-repair-parts-BH1-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH1-01.webp
BH1__COL-HYDRA-REACH-BOX-HDL-REPAIR-PARTS,variation,2,columbia-180-grip-box-handle-repair-parts-BH1-01.webp | columbia-hydra-reach-box-handle-repair-parts-BH1-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH1-01.webp
BH2,variation,1,columbia-180-grip-box-handle-repair-parts-BH2-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH2-01.webp
BH24A,variation,1,columbia-180-grip-box-handle-repair-parts-BH24A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH24A-01.webp
BH26,variation,1,columbia-180-grip-box-handle-repair-parts-BH26-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH26-01.webp
BH3,variation,1,columbia-180-grip-box-handle-repair-parts-BH3-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH3-01.webp
BH4,variation,1,columbia-180-grip-box-handle-repair-parts-BH4-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH4-01.webp
BH5__COL-180-GRIP-BOX-HDL-REPAIR-PARTS,variation,2,columbia-180-grip-box-handle-repair-parts-BH5-01.webp | columbia-hydra-reach-box-handle-repair-parts-BH5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH5-01.webp
BH5__COL-HYDRA-REACH-BOX-HDL-REPAIR-PARTS,variation,2,columbia-180-grip-box-handle-repair-parts-BH5-01.webp | columbia-hydra-reach-box-handle-repair-parts-BH5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH5-01.webp
BH6__COL-180-GRIP-BOX-HDL-REPAIR-PARTS,variation,2,columbia-180-grip-box-handle-repair-parts-BH6-01.webp | columbia-hydra-reach-box-handle-repair-parts-BH6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH6-01.webp
BH6__COL-HYDRA-REACH-BOX-HDL-REPAIR-PARTS,variation,2,columbia-180-grip-box-handle-repair-parts-BH6-01.webp | columbia-hydra-reach-box-handle-repair-parts-BH6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH6-01.webp
BH7,variation,1,columbia-180-grip-box-handle-repair-parts-BH7-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH7-01.webp
BH9-3,variation,1,columbia-180-grip-box-handle-repair-parts-BH9-3-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH9-3-01.webp
BH9-4,variation,1,columbia-180-grip-box-handle-repair-parts-BH9-4-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH9-4-01.webp
BH9-42,variation,1,columbia-180-grip-box-handle-repair-parts-BH9-42-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH9-42-01.webp
