"row_index","sku","name","url","status","source_mpn","source_price","note"
"242","CA07FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"242","CA07FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"242","CA07FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"242","CA07FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
